,date,time,type,group-sku,sku,description,quantity,order city,order state,order postal,product sales,selling fees,fba fees,landing cost
0,2019-01-01,7:56:01 PM PST,Order,,LUX-NEO320B,Luxe Bidet Neo 320 (Elite Series) - Self Cleaning Dual Nozzle - Hot and Cold Water Non-Electric Mechanical Bidet Toilet Attachment w/ Strong Faucet Va,1.0,Maple,Ontario,L6A 0H6,69.85,10.48,7.35,27.4
1,2019-01-01,7:56:08 PM PST,Order,,LUX-NEO320B,Luxe Bidet Neo 320 (Elite Series) - Self Cleaning Dual Nozzle - Hot and Cold Water Non-Electric Mechanical Bidet Toilet Attachment w/ Strong Faucet Va,1.0,Toronto,Ontario,M2J 0A9,69.85,20.96,17.24,27.4
2,2019-01-01,7:56:08 PM PST,Order,,LUX-NEO320B,Luxe Bidet Neo 320 (Elite Series) - Self Cleaning Dual Nozzle - Hot and Cold Water Non-Electric Mechanical Bidet Toilet Attachment w/ Strong Faucet Va,1.0,Toronto,Ontario,M2J 0A9,69.85,-0.0,7.35,27.4
3,2019-01-01,7:58:37 PM PST,Order,,LUX-NEO110B,Luxe Bidet Neo 110 - Fresh Water Non-Electric Mechanical Bidet Toilet Seat Attachment (blue and white),1.0,Brampton,Ontario,L6P 1H2,33.95,5.09,7.35,14.65
4,2019-01-01,7:58:43 PM PST,Order,,LUX-NEO320B,Luxe Bidet Neo 320 (Elite Series) - Self Cleaning Dual Nozzle - Hot and Cold Water Non-Electric Mechanical Bidet Toilet Attachment w/ Strong Faucet Va,1.0,Richmond Hill,Ontario,L4C 9L5,69.85,10.48,7.35,27.4
5,2019-01-01,8:09:01 PM PST,Order,,LUX-NEO320B,Luxe Bidet Neo 320 (Elite Series) - Self Cleaning Dual Nozzle - Hot and Cold Water Non-Electric Mechanical Bidet Toilet Attachment w/ Strong Faucet Va,1.0,Montreal,Quebec,H1Y 1N9,69.85,10.48,7.35,27.4
6,2019-01-01,8:09:10 PM PST,Order,,PRK-12-02(1),"Spectra PAR12-02 Parker Laboratories 360 Electrode Gel, 2 oz. Tube",1.0,Greenfield Park,Quebec,J4V 3J4,8.33,1.0,6.58,0.0
7,2019-01-01,10:47:16 PM PST,Order,,PRK-12-02(1),"Spectra PAR12-02 Parker Laboratories 360 Electrode Gel, 2 oz. Tube",1.0,London,Ontario,N6E 2M9,8.33,1.0,6.58,0.0
8,2019-01-01,10:49:32 PM PST,Order,,LUX-NEO185B,Luxe Bidet Neo 185 (Elite Series) - Self Cleaning Dual Nozzle - Fresh Water Non-Electric Mechanical Bidet Toilet Attachment w/ Strong Faucet Valves an,1.0,London,Ontario,N6P 1B3,49.95,7.49,14.89,24.03
9,2019-01-01,11:01:00 PM PST,Order,,LUX-NEO185B,Luxe Bidet Neo 185 (Elite Series) - Self Cleaning Dual Nozzle - Fresh Water Non-Electric Mechanical Bidet Toilet Attachment w/ Strong Faucet Valves an,1.0,Trois-Rivieres,Quebec,G8Z 1X5,49.95,7.49,15.73,24.03
10,2019-01-01,11:11:55 PM PST,Order,3MM-R1547,3MM-R1547,"3M Steri-Strip reinforced Skin Closures - 1/2"" x 4"" - 10 pack of 6 strip envelope (60 strips)",1.0,Welland,Ontario,L3C 1B1,9.7,1.46,3.81,13.37
11,2019-01-02,12:24:08 AM PST,Order,3MM-R1547,3MM-R1547,"3M Steri-Strip reinforced Skin Closures - 1/2"" x 4"" - 10 pack of 6 strip envelope (60 strips)",1.0,London,Ontario,N5X 0A6,9.7,1.46,3.81,13.37
12,2019-01-02,1:16:40 AM PST,Order,3MM-R1547,3MM-R1547,"3M Steri-Strip reinforced Skin Closures - 1/2"" x 4"" - 10 pack of 6 strip envelope (60 strips)",2.0,Ottawa,Ontario,K1C 4W8,19.4,2.92,7.62,26.74
