,date,time,type,group-sku,sku,description,quantity,order city,order state,order postal,product sales,selling fees,fba fees,landing cost
0,2019-01-02,2:05:06 PM PST,Refund,,LUX-NEO320B,Luxe Bidet Neo 320 (Elite Series) - Self Cleaning Dual Nozzle - Hot and Cold Water Non-Electric Mechanical Bidet Toilet Attachment w/ Strong Faucet Va,1.0,Winnipeg,MB,R3W 1N9,-69.85,-8.38,-0.0,27.4
1,2019-01-03,4:26:23 AM PST,Refund,,LUX-NEO320B,Luxe Bidet Neo 320 (Elite Series) - Self Cleaning Dual Nozzle - Hot and Cold Water Non-Electric Mechanical Bidet Toilet Attachment w/ Strong Faucet Va,1.0,Toronto,Ontario,M2J 0A9,0.0,-0.0,-9.89,27.4
2,2019-01-03,4:26:23 AM PST,Refund,,LUX-NEO320B,Luxe Bidet Neo 320 (Elite Series) - Self Cleaning Dual Nozzle - Hot and Cold Water Non-Electric Mechanical Bidet Toilet Attachment w/ Strong Faucet Va,1.0,Toronto,Ontario,M2J 0A9,0.0,-0.0,-0.0,27.4
3,2019-01-03,8:44:05 PM PST,Refund,3MM-R1547,3MM-R1547,"3M Steri-Strip reinforced Skin Closures - 1/2"" x 4"" - 10 pack of 6 strip envelope (60 strips)",1.0,Rosslyn,ON,P7K 0B4,-13.0,-1.56,-0.0,13.37
4,2019-01-04,11:38:19 PM PST,Refund,,OMR-BP742N,Omron BP742N 5 Series Upper Arm Blood Pressure Monitor with Cuff that fits Standard and Large Arms,1.0,Richmond,British Columbia,V6Y 1Z3,-67.9,-8.15,-0.0,29.15
5,2019-01-05,5:19:08 PM PST,Refund,,LUX-NEO320W,Luxe Bidet Neo 320 - Self Cleaning Dual Nozzle - Hot and Cold Water Non-Electric Mechanical Bidet Toilet Attachment (white and white),1.0,Spruce grove,Alberta,T7X 0A5,-69.85,-8.38,-0.0,27.4
6,2019-01-05,5:21:49 PM PST,Refund,,LFE-77-52566,"Lifeproof FR&#x112; SERIES iPhone 6/6s Waterproof Case (4.7"" Version) - Retail Packaging - BANZAI (COWABUNGA/WAVE CRASH/LONGBOARD)",1.0,Vancouver,British Columbia,V6G 2R9,0.0,-0.0,-0.0,28.18
7,2019-01-05,6:54:11 PM PST,Refund,,LUX-NEO320B,Luxe Bidet Neo 320 (Elite Series) - Self Cleaning Dual Nozzle - Hot and Cold Water Non-Electric Mechanical Bidet Toilet Attachment w/ Strong Faucet Va,1.0,Ottawa,Ontario,K1C7G8,-69.85,-8.38,-0.0,27.4
8,2019-01-05,7:08:57 PM PST,Refund,,LUX-NEO110B,Luxe Bidet Neo 110 - Fresh Water Non-Electric Mechanical Bidet Toilet Seat Attachment (blue and white),2.0,Ottawa,Ontario,K2C 4C5,-67.9,-8.14,-0.0,29.3
9,2019-01-05,7:59:28 PM PST,Refund,,LUX-NEO110W,Luxe Bidet Neo 110 - Fresh Water Non-Electric Mechanical Bidet Toilet Seat Attachment (white and white),1.0,new westminster,british columbia,V3M 5L7,-40.32,-4.84,-0.0,14.65
10,2019-01-07,12:01:44 AM PST,Refund,,LUX-NEO185B,Luxe Bidet Neo 185 (Elite Series) - Self Cleaning Dual Nozzle - Fresh Water Non-Electric Mechanical Bidet Toilet Attachment w/ Strong Faucet Valves an,1.0,Burnaby,British Columbia,V5C 3C3,-49.95,-5.99,-0.0,24.03
11,2019-01-07,3:11:22 PM PST,Refund,,OMR-BP742N,Omron BP742N 5 Series Upper Arm Blood Pressure Monitor with Cuff that fits Standard and Large Arms,1.0,Toronto,Ontario,M4T 1R1,-67.9,-8.15,-0.0,29.15
12,2019-01-08,2:07:03 AM PST,Refund,,OMR-BP742N,Omron BP742N 5 Series Upper Arm Blood Pressure Monitor with Cuff that fits Standard and Large Arms,1.0,Richmond Hill,Ontario,L4E 4K2,-69.9,-8.39,-0.0,29.15
13,2019-01-09,5:04:42 AM PST,Refund,,OMR-BP742N,Omron BP742N 5 Series Upper Arm Blood Pressure Monitor with Cuff that fits Standard and Large Arms,1.0,Woodbridge,Ontario,L4H 3H8,-70.0,-8.4,-0.0,29.15
14,2019-01-09,5:54:36 AM PST,Refund,,LUX-NEO320W,Luxe Bidet Neo 320 - Self Cleaning Dual Nozzle - Hot and Cold Water Non-Electric Mechanical Bidet Toilet Attachment (white and white),1.0,Gatineau,Quebec,J8R 1M4,-69.85,-8.38,-0.0,27.4
15,2019-01-09,11:28:03 AM PST,Refund,,PRK 12-08(1),"Spectra_ 360 electrode gel, 250gm (8.5oz) tube - each",1.0,Ottawa,Ontario,K2J 4Z6,-11.85,-1.42,-0.0,0.0
