,date,time,type,group-sku,sku,description,quantity,order city,order state,order postal,product sales,selling fees,fba fees,landing cost
0,2019-01-24,4:24:44 PM PST,Service Fee,,NAN,SellerPayments_Report_Fee_Subscription,,,,,0.0,-0.0,-0.0,
1,2019-02-24,4:33:56 PM PST,Service Fee,,NAN,SellerPayments_Report_Fee_Subscription,,,,,0.0,-0.0,-0.0,
2,2019-03-24,9:24:46 PM PDT,Service Fee,,NAN,SellerPayments_Report_Fee_Subscription,,,,,0.0,-0.0,-0.0,
3,2019-04-24,11:15:25 PM PDT,Service Fee,,NAN,SellerPayments_Report_Fee_Subscription,,,,,0.0,-0.0,-0.0,
4,2019-05-24,9:24:06 PM PDT,Service Fee,,NAN,SellerPayments_Report_Fee_Subscription,,,,,0.0,-0.0,-0.0,
5,2019-06-24,8:37:35 PM PDT,Service Fee,,NAN,SellerPayments_Report_Fee_Subscription,,,,,0.0,-0.0,-0.0,
6,2019-07-24,7:13:31 PM PDT,Service Fee,,NAN,SellerPayments_Report_Fee_Subscription,,,,,0.0,-0.0,-0.0,
7,2019-08-24,5:30:08 PM PDT,Service Fee,,NAN,SellerPayments_Report_Fee_Subscription,,,,,0.0,-0.0,-0.0,
8,2019-09-24,9:01:26 PM PDT,Service Fee,,NAN,SellerPayments_Report_Fee_Subscription,,,,,0.0,-0.0,-0.0,
9,2019-10-24,8:27:47 PM PDT,Service Fee,,NAN,SellerPayments_Report_Fee_Subscription,,,,,0.0,-0.0,-0.0,
