,date,time,type,order id,group-sku,sku,description,quantity,order city,order state,order postal,product sales,selling fees,fba fees,landing cost
0,2019-01-07,4:50:06 AM PST,Adjustment,701-3692823-6425847,,PRK-01-08,FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,1.66
1,2019-01-07,5:53:53 AM PST,Adjustment,701-8838471-5423454,,LFE-77-52566,FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,28.18
2,2019-01-10,4:32:02 AM PST,Adjustment,702-4649453-1557841,3MM-1626W,3MM-1626W,FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,9.82
3,2019-01-12,3:30:14 AM PST,Adjustment,702-7460674-4453032,,PRK-12-02(1),FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,0.0
4,2019-01-12,5:26:09 AM PST,Adjustment,,,PRK-03-08,FBA Inventory Reimbursement - Damaged:Warehouse,1.0,,,,0.0,-0.0,-0.0,1.72
5,2019-01-12,11:35:21 PM PST,Adjustment,702-0457290-6820214,3MM-1626W,3MM-1626W,FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,9.82
6,2019-01-15,2:24:03 AM PST,Adjustment,701-5897745-4341805,,LUX-NEO110B,FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,14.65
7,2019-01-24,2:18:02 AM PST,Adjustment,702-9333487-4765847,MOL-295300,MOL-295300,FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,10.32
8,2019-01-25,11:37:00 PM PST,Adjustment,702-0252353-9023468,MOL-295300,MOL-295300,FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,10.32
9,2019-01-28,5:20:40 PM PST,Adjustment,S01-4893914-3227463,,LUX-NEO320B,FBA Inventory Reimbursement - Lost:Outbound,1.0,,,,0.0,-0.0,-0.0,27.4
10,2019-01-29,4:51:27 PM PST,Adjustment,S01-4249210-0574949,,LUX-NEO320B,FBA Inventory Reimbursement - Customer Service Issue,1.0,,,,0.0,-0.0,-0.0,27.4
11,2019-02-02,2:23:04 AM PST,Adjustment,701-0842418-5796246,,LUX-NEO180W,FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,24.03
12,2019-02-02,2:28:38 AM PST,Adjustment,,,LUX-NEO185W,FBA Inventory Reimbursement - Damaged:Warehouse,1.0,,,,0.0,-0.0,-0.0,24.03
13,2019-02-05,11:28:43 AM PST,Adjustment,S01-1977954-9162307,,OMR-BP742N,FBA Inventory Reimbursement - Customer Service Issue,1.0,,,,0.0,-0.0,-0.0,29.15
14,2019-02-05,11:47:38 AM PST,Adjustment,S01-1977954-9162307,,PRK-01-08,FBA Inventory Reimbursement - Customer Service Issue,1.0,,,,0.0,-0.0,-0.0,1.66
15,2019-02-14,10:05:52 PM PST,Adjustment,,,PRK-03-08(X2),FBA Inventory Reimbursement - Damaged:Warehouse,1.0,,,,0.0,-0.0,-0.0,3.44
16,2019-02-16,11:51:49 PM PST,Adjustment,702-1206888-3305004,,OMR-BP742N,FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,29.15
17,2019-02-19,2:32:31 AM PST,Adjustment,702-4977754-2857823,,PRK 12-08(1),FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,0.0
18,2019-02-21,4:54:41 AM PST,Adjustment,701-7387950-9252236,,LUX-NEO185B,FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,24.03
