,date,time,type,order id,group-sku,sku,description,quantity,order city,order state,order postal,product sales,selling fees,fba fees,landing cost
0,2019-01-03,3:04:05 PM PST,FBA Inventory Fee,181231I26,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
1,2019-01-04,1:48:41 PM PST,FBA Inventory Fee,190102G4U,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
2,2019-01-04,2:58:34 PM PST,FBA Inventory Fee,190102R2R,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
3,2019-01-07,5:31:29 PM PST,FBA Inventory Fee,,,NAN,FBA Inventory Storage Fee,,,,,0.0,-0.0,-0.0,
4,2019-01-10,1:47:56 PM PST,FBA Inventory Fee,190109EW7,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
5,2019-01-10,2:41:36 PM PST,FBA Inventory Fee,190107GKG,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
6,2019-01-10,2:41:36 PM PST,FBA Inventory Fee,190107GKG,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
7,2019-01-10,4:14:32 PM PST,FBA Inventory Fee,190104GEC,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
8,2019-01-17,3:07:45 PM PST,FBA Inventory Fee,190115TRJ,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
9,2019-01-17,3:07:45 PM PST,FBA Inventory Fee,190115TRJ,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
10,2019-01-17,3:07:45 PM PST,FBA Inventory Fee,190115TRJ,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
11,2019-01-25,12:22:39 PM PST,FBA Inventory Fee,,,NAN,FBA Amazon-Partnered Carrier Shipment Fee,,,,,0.0,-0.0,-0.0,
12,2019-01-26,9:19:20 AM PST,FBA Inventory Fee,190125ZU5,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
13,2019-01-27,4:57:48 PM PST,FBA Inventory Fee,190127NHS,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
14,2019-01-28,11:58:55 PM PST,FBA Inventory Fee,190124WA4,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
15,2019-01-29,9:40:36 PM PST,FBA Inventory Fee,19012310QY,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
16,2019-01-29,9:40:36 PM PST,FBA Inventory Fee,19012310QY,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
17,2019-02-04,6:38:21 PM PST,FBA Inventory Fee,190131GQT,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
18,2019-02-04,6:38:21 PM PST,FBA Inventory Fee,190131GQT,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
19,2019-02-07,5:38:38 PM PST,FBA Inventory Fee,,,NAN,FBA Inventory Storage Fee,,,,,0.0,-0.0,-0.0,
20,2019-02-13,5:19:22 PM PST,FBA Inventory Fee,190207ZSM,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
21,2019-02-22,11:55:54 AM PST,FBA Inventory Fee,,,NAN,FBA Amazon-Partnered Carrier Shipment Fee,,,,,0.0,-0.0,-0.0,
22,2019-03-02,4:59:51 PM PST,FBA Inventory Fee,190222HRQ,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
23,2019-03-02,4:59:51 PM PST,FBA Inventory Fee,190222HRQ,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
24,2019-03-07,5:39:42 PM PST,FBA Inventory Fee,,,NAN,FBA Inventory Storage Fee,,,,,0.0,-0.0,-0.0,
25,2019-03-07,8:28:43 PM PST,FBA Inventory Fee,190304M3G,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
26,2019-03-08,11:38:20 AM PST,FBA Inventory Fee,190307JVN,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
27,2019-03-22,10:40:01 PM PDT,FBA Inventory Fee,190318H8R,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
28,2019-03-22,10:40:01 PM PDT,FBA Inventory Fee,190318H8R,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
29,2019-03-27,9:10:56 AM PDT,FBA Inventory Fee,,,NAN,FBA Amazon-Partnered Carrier Shipment Fee,,,,,0.0,-0.0,-0.0,
30,2019-03-28,10:41:59 AM PDT,FBA Inventory Fee,,,NAN,FBA Amazon-Partnered Carrier Shipment Fee,,,,,0.0,-0.0,-0.0,
31,2019-03-29,6:00:10 PM PDT,FBA Inventory Fee,190325FGG,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
32,2019-03-29,6:00:10 PM PDT,FBA Inventory Fee,190325FGG,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
33,2019-03-29,6:00:10 PM PDT,FBA Inventory Fee,190325FGG,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
34,2019-03-29,6:00:13 PM PDT,FBA Inventory Fee,190325FGG,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
35,2019-03-29,6:00:13 PM PDT,FBA Inventory Fee,190325FGG,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
36,2019-03-30,11:17:10 AM PDT,FBA Inventory Fee,,,NAN,FBA Amazon-Partnered Carrier Shipment Fee,,,,,0.0,-0.0,-0.0,
37,2019-04-08,2:55:54 PM PDT,FBA Inventory Fee,,,NAN,FBA Inventory Storage Fee,,,,,0.0,-0.0,-0.0,
38,2019-04-10,1:24:37 PM PDT,FBA Inventory Fee,190403OJ9,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
39,2019-04-10,1:24:37 PM PDT,FBA Inventory Fee,190403OJ9,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
40,2019-04-10,1:24:37 PM PDT,FBA Inventory Fee,190403OJ9,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
41,2019-04-10,1:24:37 PM PDT,FBA Inventory Fee,190403OJ9,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
42,2019-04-10,1:24:37 PM PDT,FBA Inventory Fee,190403OJ9,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
43,2019-04-11,7:23:08 PM PDT,FBA Inventory Fee,190408J1J,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
44,2019-04-11,7:23:08 PM PDT,FBA Inventory Fee,190408J1J,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
45,2019-04-12,9:50:11 PM PDT,FBA Inventory Fee,190405UG2,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
46,2019-04-12,9:50:11 PM PDT,FBA Inventory Fee,190405UG2,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
47,2019-04-12,9:50:11 PM PDT,FBA Inventory Fee,190405UG2,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
48,2019-04-13,1:03:22 PM PDT,FBA Inventory Fee,,,NAN,FBA Amazon-Partnered Carrier Shipment Fee,,,,,0.0,-0.0,-0.0,
49,2019-04-18,1:21:52 PM PDT,FBA Inventory Fee,190411OEO,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
50,2019-04-18,1:21:52 PM PDT,FBA Inventory Fee,190411OEO,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
51,2019-04-18,1:21:52 PM PDT,FBA Inventory Fee,190411OEO,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
52,2019-04-19,11:11:41 AM PDT,FBA Inventory Fee,,,NAN,FBA Amazon-Partnered Carrier Shipment Fee,,,,,0.0,-0.0,-0.0,
53,2019-04-29,7:27:38 PM PDT,FBA Inventory Fee,190423IHW,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
54,2019-04-29,7:27:38 PM PDT,FBA Inventory Fee,190423IHW,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
