,date,time,type,order id,group-sku,sku,description,quantity,order city,order state,order postal,product sales,selling fees,fba fees,landing cost
0,2019-01-07,9:32:19 AM PST,Transfer,,,NAN,To account ending with: 8217,,,,,0.0,-0.0,-0.0,
1,2019-01-22,9:51:52 AM PST,Transfer,,,NAN,To account ending with: 8217,,,,,0.0,-0.0,-0.0,
2,2019-02-04,9:32:39 AM PST,Transfer,,,NAN,To account ending with: 8217,,,,,0.0,-0.0,-0.0,
3,2019-02-18,9:28:10 AM PST,Transfer,,,NAN,To account ending with: 8217,,,,,0.0,-0.0,-0.0,
4,2019-03-04,9:24:42 AM PST,Transfer,,,NAN,To account ending with: 8217,,,,,0.0,-0.0,-0.0,
5,2019-03-18,10:26:45 AM PDT,Transfer,,,NAN,To account ending with: 8217,,,,,0.0,-0.0,-0.0,
6,2019-04-01,10:14:17 AM PDT,Transfer,,,NAN,To account ending with: 8217,,,,,0.0,-0.0,-0.0,
7,2019-04-29,10:24:40 AM PDT,Transfer,,,NAN,To account ending with: 8217,,,,,0.0,-0.0,-0.0,
8,2019-05-13,10:14:36 AM PDT,Transfer,,,NAN,To account ending with: 8217,,,,,0.0,-0.0,-0.0,
9,2019-05-27,10:40:34 AM PDT,Transfer,,,NAN,To account ending with: 8217,,,,,0.0,-0.0,-0.0,
10,2019-06-10,10:14:00 AM PDT,Transfer,,,NAN,To account ending with: 8217,,,,,0.0,-0.0,-0.0,
11,2019-06-24,10:30:56 AM PDT,Transfer,,,NAN,To account ending with: 8217,,,,,0.0,-0.0,-0.0,
12,2019-07-08,10:14:55 AM PDT,Transfer,,,NAN,To account ending with: 8217,,,,,0.0,-0.0,-0.0,
13,2019-07-22,10:24:27 AM PDT,Transfer,,,NAN,To account ending with: 8217,,,,,0.0,-0.0,-0.0,
14,2019-08-05,10:33:31 AM PDT,Transfer,,,NAN,To account ending with: 8217,,,,,0.0,-0.0,-0.0,
15,2019-08-19,10:36:54 AM PDT,Transfer,,,NAN,To account ending with: 8217,,,,,0.0,-0.0,-0.0,
16,2019-09-02,10:34:59 AM PDT,Transfer,,,NAN,To account ending with: 8217,,,,,0.0,-0.0,-0.0,
17,2019-09-16,10:37:46 AM PDT,Transfer,,,NAN,To account ending with: 8217,,,,,0.0,-0.0,-0.0,
18,2019-09-30,10:34:09 AM PDT,Transfer,,,NAN,To account ending with: 8217,,,,,0.0,-0.0,-0.0,
19,2019-10-14,10:23:58 AM PDT,Transfer,,,NAN,To account ending with: 8217,,,,,0.0,-0.0,-0.0,
20,2019-10-28,10:13:30 AM PDT,Transfer,,,NAN,To account ending with: 8217,,,,,0.0,-0.0,-0.0,
