"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in CAD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks and shipping holdbacks."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","fulfillment","order city","order state","order postal","product sales","shipping credits","gift wrap credits","promotional rebates","sales tax collected","selling fees","fba fees","other transaction fees","other","total"
"2018-01-01 9:51:00 PM PST","6534510861","Order","702-0955046-6985866","OMR-BP742N","OMRON OMRBP742N, 5 Series Advanced-Accuracy Upper Arm Blood Pressure Monitor","1","amazon.ca","Amazon","Scarborough","Ontario","M1M 1B9","78.00","6.99","0","-6.99","10.14","-11.70","-6.78","-0.29","0","69.37"
"2018-01-01 10:18:01 PM PST","6534510861","Order","702-1843147-6576261","1439","Tubigrip Size G Tubular Bandage 10M Box Natural (32.8ft/10.9yards)","1","amazon.ca","Amazon","Ottawa","Ontario","K2A 1H2","54.32","1.13","0","-1.13","7.06","-6.52","-6.78","-0.20","0","47.88"
"2018-01-01 10:59:54 PM PST","6534510861","Order","701-5120958-4952221","LUX-1516","Luxe Metal T-adapter with Shut-off Valve, 3-way Tee Connector, Chrome Finish, for Luxe Neo Bidets","1","amazon.ca","Amazon","Scarborough","Ontario","M1B 6E6","14.94","4.88","0","0","2.57","-2.24","-11.84","-0.07","0","8.24"
"2018-01-02 3:34:29 AM PST","6534510861","Order","702-0601787-7789850","LUX-1516","Luxe Metal T-adapter with Shut-off Valve, 3-way Tee Connector, Chrome Finish, for Luxe Neo Bidets","1","amazon.ca","Amazon","Renfrew","Ontario","K7V 0A1","14.94","3.93","0","-3.93","1.94","-2.24","-6.33","-0.06","0","8.25"
"2018-01-02 3:36:07 AM PST","6534510861","Order","702-9534468-1709038","LUX-NEO320B","Luxe Bidet Neo 320 (Elite Series) - Self Cleaning Dual Nozzle - Hot and Cold Water Non-Electric Mechanical Bidet Toilet Attachment w/ Strong Faucet Va","1","amazon.ca","Amazon","Ottawa","ON","K2J 0N2","70.00","5.90","0","-5.90","9.10","-8.40","-7.23","-0.26","0","63.21"
"2018-01-02 11:31:27 AM PST","6534510861","Order","701-7645377-7641043","LUX-1516","Luxe Metal T-adapter with Shut-off Valve, 3-way Tee Connector, Chrome Finish, for Luxe Neo Bidets","1","amazon.ca","Amazon","Kingston","Ontario","K7L 4V1","14.94","3.92","0","-3.92","1.94","-2.24","-6.33","-0.06","0","8.25"
"2018-01-02 12:01:44 PM PST","6534510861","Order","701-0570342-5725815","LUX-NEO320B","Luxe Bidet Neo 320 (Elite Series) - Self Cleaning Dual Nozzle - Hot and Cold Water Non-Electric Mechanical Bidet Toilet Attachment w/ Strong Faucet Va","1","amazon.ca","Amazon","Maple","Ontario","L6A 3Y9","76.00","5.90","0","-5.90","9.88","-9.12","-7.23","-0.29","0","69.24"
"2018-01-02 12:05:24 PM PST","6534510861","Order","701-6763126-3066612","LUX-NEO320B","Luxe Bidet Neo 320 (Elite Series) - Self Cleaning Dual Nozzle - Hot and Cold Water Non-Electric Mechanical Bidet Toilet Attachment w/ Strong Faucet Va","1","amazon.ca","Amazon","MADOC","Ontario","K0K 2K0","76.00","5.90","0","-5.90","9.88","-9.12","-7.23","-0.29","0","69.24"
"2018-01-02 1:43:26 PM PST","6534510861","Order","701-5499203-7595409","3MM-1624W","3M Health Care 1624W Tegaderm Film Dressing, Frame Style, 2.75"" Length X 2.375"" Width, Transparent (Pack of 100)","1","amazon.ca","Amazon","Ilderton","ON","N0M 2A0","40.64","3.27","0","-3.27","5.28","-4.88","-6.33","-0.15","0","34.56"
"2018-01-02 3:24:24 PM PST","6534510861","Order","701-2194081-9427464","MDL-NON80328","Medline NON80328 Emesis Bags, Blue, 24 Count","1","amazon.ca","Amazon","Halifax","NS","B3M 2L9","20.00","2.39","0","-2.39","3.00","-2.40","-6.33","-0.09","0","14.18"
"2018-01-02 3:39:07 PM PST","6534510861","Order","701-4622758-0987407","LUX-1516","Luxe Metal T-adapter with Shut-off Valve, 3-way Tee Connector, Chrome Finish, for Luxe Neo Bidets","1","amazon.ca","Amazon","Harrowsmith","Ontario","K0H 1V0","14.94","3.93","0","-3.93","1.94","-2.24","-6.33","-0.06","0","8.25"
"2018-01-02 5:50:47 PM PST","6534510861","Order","701-3648597-5669066","LUX-NEO120B","Luxe Bidet Neo 120 - Self Cleaning Nozzle - Fresh Water Non-Electric Mechanical Bidet Toilet Attachment (blue and white)","1","amazon.ca","Amazon","Thornhill","Ontario","L3T 3K1","45.00","5.90","0","-5.90","5.85","-5.40","-7.69","-0.17","0","37.59"
