date,time,type,order id,group-sku,sku,description,quantity,order city,order state,order postal,product sales,selling fees,fba fees,landing cost
2019-01-01,7:56:01 PM PST,Order,702-5889472-3075408,,LUX-NEO320B,Luxe Bidet Neo 320 (Elite Series) - Self Cleaning Dual Nozzle - Hot and Cold Water Non-Electric Mechanical Bidet Toilet Attachment w/ Strong Faucet Va,1,Maple,Ontario,L6A 0H6,69.85,-10.48,-7.35,27.4
2019-01-01,7:56:08 PM PST,Order,701-7218821-3163451,,LUX-NEO320B,Luxe Bidet Neo 320 (Elite Series) - Self Cleaning Dual Nozzle - Hot and Cold Water Non-Electric Mechanical Bidet Toilet Attachment w/ Strong Faucet Va,1,Toronto,Ontario,M2J 0A9,69.85,-20.96,-17.24,27.4
2019-01-01,7:56:08 PM PST,Order,701-7218821-3163451,,LUX-NEO320B,Luxe Bidet Neo 320 (Elite Series) - Self Cleaning Dual Nozzle - Hot and Cold Water Non-Electric Mechanical Bidet Toilet Attachment w/ Strong Faucet Va,1,Toronto,Ontario,M2J 0A9,69.85,0,-7.35,27.4
2019-01-01,7:58:37 PM PST,Order,702-6870704-8572226,,LUX-NEO110B,Luxe Bidet Neo 110 - Fresh Water Non-Electric Mechanical Bidet Toilet Seat Attachment (blue and white),1,Brampton,Ontario,L6P 1H2,33.95,-5.09,-7.35,14.65
2019-01-01,7:58:43 PM PST,Order,701-4182545-1251421,,LUX-NEO320B,Luxe Bidet Neo 320 (Elite Series) - Self Cleaning Dual Nozzle - Hot and Cold Water Non-Electric Mechanical Bidet Toilet Attachment w/ Strong Faucet Va,1,Richmond Hill,Ontario,L4C 9L5,69.85,-10.48,-7.35,27.4
2019-01-01,8:09:01 PM PST,Order,702-4449880-3123447,,LUX-NEO320B,Luxe Bidet Neo 320 (Elite Series) - Self Cleaning Dual Nozzle - Hot and Cold Water Non-Electric Mechanical Bidet Toilet Attachment w/ Strong Faucet Va,1,Montreal,Quebec,H1Y 1N9,69.85,-10.48,-7.35,27.4
2019-01-01,8:09:10 PM PST,Order,701-7922138-7999447,,PRK-12-02(1),"Spectra PAR12-02 Parker Laboratories 360 Electrode Gel, 2 oz. Tube",1,Greenfield Park,Quebec,J4V 3J4,8.33,-1,-6.58,0
2019-01-01,10:47:16 PM PST,Order,702-2270298-4585813,,PRK-12-02(1),"Spectra PAR12-02 Parker Laboratories 360 Electrode Gel, 2 oz. Tube",1,London,Ontario,N6E 2M9,8.33,-1,-6.58,0
2019-01-01,10:49:32 PM PST,Order,702-0166729-9569868,,LUX-NEO185B,Luxe Bidet Neo 185 (Elite Series) - Self Cleaning Dual Nozzle - Fresh Water Non-Electric Mechanical Bidet Toilet Attachment w/ Strong Faucet Valves an,1,London,Ontario,N6P 1B3,49.95,-7.49,-14.89,24.03
2019-01-01,11:01:00 PM PST,Order,702-5598472-3165837,,LUX-NEO185B,Luxe Bidet Neo 185 (Elite Series) - Self Cleaning Dual Nozzle - Fresh Water Non-Electric Mechanical Bidet Toilet Attachment w/ Strong Faucet Valves an,1,Trois-Rivieres,Quebec,G8Z 1X5,49.95,-7.49,-15.73,24.03
2019-01-01,11:11:55 PM PST,Order,701-6090098-5251422,3MM-R1547,3MM-R1547,"3M Steri-Strip reinforced Skin Closures - 1/2"" x 4"" - 10 pack of 6 strip envelope (60 strips)",1,Welland,Ontario,L3C 1B1,9.7,-1.46,-3.81,13.37
2019-01-02,12:24:08 AM PST,Order,701-8925365-2293043,3MM-R1547,3MM-R1547,"3M Steri-Strip reinforced Skin Closures - 1/2"" x 4"" - 10 pack of 6 strip envelope (60 strips)",1,London,Ontario,N5X 0A6,9.7,-1.46,-3.81,13.37
2019-01-02,1:16:40 AM PST,Order,702-2092365-9305056,3MM-R1547,3MM-R1547,"3M Steri-Strip reinforced Skin Closures - 1/2"" x 4"" - 10 pack of 6 strip envelope (60 strips)",2,Ottawa,Ontario,K1C 4W8,19.4,-2.92,-7.62,26.74
2019-01-02,1:28:15 AM PST,Order,702-3434522-0117829,,LUX-NEO320W,Luxe Bidet Neo 320 - Self Cleaning Dual Nozzle - Hot and Cold Water Non-Electric Mechanical Bidet Toilet Attachment (white and white),1,Laval,Quebec,H7N 2J2,69.85,-10.48,-7.35,27.4
2019-01-02,1:32:35 AM PST,Order,701-3901878-1190642,,PRK-12-02(1),"Spectra PAR12-02 Parker Laboratories 360 Electrode Gel, 2 oz. Tube",1,Yellowknife,Northwest Territories,X1A 3C7,8.32,-1,-6.58,0
2019-01-02,3:19:24 AM PST,Order,701-8146860-3034665,,LUX-NEO110B,Luxe Bidet Neo 110 - Fresh Water Non-Electric Mechanical Bidet Toilet Seat Attachment (blue and white),1,Calgary,Alberta,T2Y 4P6,33.95,-5.09,-6.83,14.65
2019-01-02,3:20:17 AM PST,Order,702-8139684-9298667,,LUX-NEO320W,Luxe Bidet Neo 320 - Self Cleaning Dual Nozzle - Hot and Cold Water Non-Electric Mechanical Bidet Toilet Attachment (white and white),1,Calgary,Alberta,T3J 3T7,69.85,-10.48,-6.83,27.4
2019-01-02,8:13:57 AM PST,Order,701-6789512-3702622,,LUX-NEO185B,Luxe Bidet Neo 185 (Elite Series) - Self Cleaning Dual Nozzle - Fresh Water Non-Electric Mechanical Bidet Toilet Attachment w/ Strong Faucet Valves an,1,Rimouski,Quebec,G5L 1M4,49.95,-7.49,-7.35,24.03
2019-01-02,8:15:02 AM PST,Order,702-4436951-6832243,,LUX-NEO185B,Luxe Bidet Neo 185 (Elite Series) - Self Cleaning Dual Nozzle - Fresh Water Non-Electric Mechanical Bidet Toilet Attachment w/ Strong Faucet Valves an,1,Petrolia,Ontario,N0N 1R0,49.95,-7.49,-13.32,24.03
2019-01-02,9:03:13 AM PST,Order,701-1461541-7710636,,LUX-NEO110B,Luxe Bidet Neo 110 - Fresh Water Non-Electric Mechanical Bidet Toilet Seat Attachment (blue and white),1,Halifax,Nova Scotia,B3H 4S9,33.95,-5.09,-6.83,14.65
2019-01-02,9:04:03 AM PST,Order,702-0834484-5281851,,LUX-NEO120B,Luxe Bidet Neo 120 - Self Cleaning Nozzle - Fresh Water Non-Electric Mechanical Bidet Toilet Attachment (blue and white),1,OTTAWA,ON,K1W 1K0,47.01,-7.05,-7.35,18.31
2019-01-02,9:13:42 AM PST,Order,701-1241022-5569045,,LUX-NEO120B,Luxe Bidet Neo 120 - Self Cleaning Nozzle - Fresh Water Non-Electric Mechanical Bidet Toilet Attachment (blue and white),1,CHARLOTTETOWN,PRINCE EDWARD ISLAND,C1A7X4,47.01,-7.05,-7.35,18.31
2019-01-02,9:49:21 AM PST,Order,701-1157052-6060233,3MM-R1547,3MM-R1547,"3M Steri-Strip reinforced Skin Closures - 1/2"" x 4"" - 10 pack of 6 strip envelope (60 strips)",1,kitchener,ontario,N2E3N7,9.7,-1.46,-3.54,13.37
2019-01-02,9:49:30 AM PST,Order,702-2814863-6738600,,3MM-1624W(50),"Pack of 50 3M Tegaderm 2 3/8 x 2 3/4"" 1624W",1,North Vancouver,British Columbia,V7P 1S4,16,-2.4,-3.75,4.5
2019-01-02,9:49:55 AM PST,Order,702-6765115-7191401,,LUX-NEO110B,Luxe Bidet Neo 110 - Fresh Water Non-Electric Mechanical Bidet Toilet Seat Attachment (blue and white),1,Corbyville,Ontario,K0K 1V0,33.95,-5.09,-6.83,14.65
2019-01-02,9:56:21 AM PST,Order,702-8097540-5087443,,OMR-BP742N,Omron BP742N 5 Series Upper Arm Blood Pressure Monitor with Cuff that fits Standard and Large Arms,1,Waterford,Ontario,N0E 1Y0,67.9,-10.19,-13.64,29.15
2019-01-02,9:59:58 AM PST,Order,702-1942760-8150631,,PRK 12-08(2),"SPECTRA 360 12-08 Electrode Gel, 250 g Tube (Pack of 2)",1,Toronto,Ontario,M4R 1C1,17.75,-2.13,-6.11,0
2019-01-02,10:00:28 AM PST,Order,701-3826782-7408219,,OMR-BP742N,Omron BP742N 5 Series Upper Arm Blood Pressure Monitor with Cuff that fits Standard and Large Arms,1,Montreal,Québec,H2A2K6,67.9,-10.19,-6.11,29.15
2019-01-02,10:02:41 AM PST,Order,701-6638868-5249867,3MM-R1547,3MM-R1547,"3M Steri-Strip reinforced Skin Closures - 1/2"" x 4"" - 10 pack of 6 strip envelope (60 strips)",1,Toronto,ON,M1C 1P8,9.7,-1.46,-3.54,13.37
2019-01-02,10:02:51 AM PST,Order,701-0941923-0329826,,PRK-03-08,2 X Aquasonic CLEAR Ultrasound Transmission Gel Doppler Tens (0.25 ltr) (Pack of 2),1,Port Colborne,Ontario,L3K 5V4,13.35,-2,-6.11,1.72
2019-01-02,10:03:24 AM PST,Order,702-2670718-0557022,,PRK-03-08,2 X Aquasonic CLEAR Ultrasound Transmission Gel Doppler Tens (0.25 ltr) (Pack of 2),1,Toronto,ON,M6R 2A4,13.35,-2,-6.11,1.72
2019-01-02,10:04:31 AM PST,Order,702-8986377-6373845,3MM-R1547,3MM-R1547,"3M Steri-Strip reinforced Skin Closures - 1/2"" x 4"" - 10 pack of 6 strip envelope (60 strips)",1,NORTH GOWER,Ontario,K0A2T0,9.7,-1.46,-3.54,13.37
