date,time,type,order id,sku,description,quantity,order city,order state,order postal,product sales,selling fees,fba fees
01-Feb-18,8:38:18 PM PST,Order,114-8596191-9993060,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,Hackensack,NJ,7601,9.25,-1.39,-2.99
01-Feb-18,8:54:07 PM PST,Order,112-6275708-3394665,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,GRASS VALLEY,CA,95949-6321,9.25,-1.39,-2.99
01-Feb-18,10:32:47 PM PST,Order,114-7055150-2205817,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,ORMOND BEACH,FL,32176-4139,9.2,-1.38,-2.99
02-Feb-18,1:54:30 PM PST,Order,111-8672273-8021849,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,WOODBRIDGE,VA,22191-6383,9.2,-1.38,-2.99
02-Feb-18,1:55:19 PM PST,Order,112-4660812-8237066,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,SAN DIEGO,CA,92109-4834,9.2,-1.38,-2.99
02-Feb-18,1:56:08 PM PST,Order,111-8334205-3841818,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,ROUND ROCK,TX,78664-3922,9.2,-1.38,-2.99
02-Feb-18,1:57:26 PM PST,Order,114-8295995-4310657,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,NEWBURY PARK,CA,91320-3120,9.2,-1.38,-2.99
02-Feb-18,3:24:55 PM PST,Order,111-6727830-4133802,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,WILMINGTON,NC,28411-7262,9.25,-1.39,-2.99
02-Feb-18,4:26:04 PM PST,Order,113-6576920-5502610,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,Puyallup,WA,98372,9.21,-1.38,-2.99
02-Feb-18,4:29:59 PM PST,Order,113-0527614-7726642,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",2,Syracuse,UT,84075-8992,18.4,-2.76,-5.98
02-Feb-18,7:21:48 PM PST,Order,114-4280650-4402604,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,PICKERINGTON,OH,43147-2231,9.2,-1.38,-2.99
02-Feb-18,7:22:49 PM PST,Order,114-3286954-3445841,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,MIDLOTHIAN,VA,23113-3974,9.2,-1.38,-2.99
02-Feb-18,7:24:41 PM PST,Order,112-6357303-0025042,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,VIRGINIA BEACH,VA,23464-5017,9.2,-1.38,-2.99
02-Feb-18,9:20:38 PM PST,Order,114-9097976-2565830,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,ALAMEDA,CA,94501-4713,9.2,-1.38,-2.99
02-Feb-18,9:22:29 PM PST,Order,113-0981009-4082664,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,EL SOBRANTE,CA,94803,9.34,-1.4,-2.99
02-Feb-18,10:18:28 PM PST,Order,113-4896901-8591468,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,MONETA,VA,24121-2102,9.2,-1.38,-2.99
02-Feb-18,10:32:24 PM PST,Order,112-1024353-8534611,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,TYLER,TX,75703-7308,9.2,-1.38,-2.99
02-Feb-18,11:18:19 PM PST,Order,114-1785259-1293020,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,PORT HUENEME,CA,93041-4307,9.34,-1.4,-2.99
02-Feb-18,11:55:50 PM PST,Order,113-4062617-9849057,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,Cincinnati,OH,45219-1340-41,9.34,-1.4,-2.99
02-Feb-18,11:56:07 PM PST,Order,112-0605135-0877839,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,Cambridge,MA,2138,9.34,-1.4,-2.99
03-Feb-18,12:17:44 AM PST,Order,111-9756363-0837858,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,GRAND BLANC,MI,48439-8701,9.2,-1.38,-2.99
03-Feb-18,12:19:26 AM PST,Order,114-0294805-0738621,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,BRENTWOOD,TN,37027-7877,9.34,-1.4,-2.99
03-Feb-18,3:29:20 AM PST,Order,114-9521757-2282660,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,OKC,OK,73162-1210,9.25,-1.39,-2.99
03-Feb-18,8:24:06 AM PST,Order,113-4952476-5689063,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,NEW ORLEANS,LOUISIANA,70125-4828,9.34,-1.4,-2.99
03-Feb-18,8:28:35 AM PST,Order,113-6043687-2599465,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,LOS ANGELES,CA,90066-5603,9.34,-1.4,-2.99
03-Feb-18,9:23:53 AM PST,Order,111-9154721-3967445,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,BROADVIEW HEIGHTS,OH,44147-1319,9.2,-1.38,-2.99
03-Feb-18,11:34:45 AM PST,Order,111-3432489-7907435,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,MIDLAND,TX,79707-1506,9.34,-1.4,-6.98
03-Feb-18,12:16:34 PM PST,Order,113-7910746-3946601,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,STERLING,CO,80751-2219,9.26,-1.39,-2.99
03-Feb-18,2:04:25 PM PST,Order,113-6255022-5269038,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,RUSTON,WA,98407-3123,9.34,-1.4,-2.99
03-Feb-18,2:40:46 PM PST,Order,114-3213209-2659457,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,ESSEXVILLE,MI,48732-1184,9.34,-1.4,-2.99
03-Feb-18,3:33:42 PM PST,Order,111-3890579-5057859,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,SEATTLE,WA,98118-2519,9.34,-1.4,-2.99
03-Feb-18,4:38:27 PM PST,Order,114-1151798-9381856,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",3,KENNER,LA,70065-1142,28.02,-4.2,-8.97
03-Feb-18,6:22:13 PM PST,Order,114-9446407-6552204,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,KENOSHA,WI,53143-4567,9.34,-1.4,-2.99
03-Feb-18,7:30:49 PM PST,Order,112-3656520-1627452,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,KYLE,TX,78640-4311,9.34,-1.4,-2.99
03-Feb-18,7:34:38 PM PST,Order,111-5064410-2821833,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,SALINAS,CA,93901-1807,9.34,-1.4,-2.99
03-Feb-18,7:36:26 PM PST,Order,114-9879797-9744216,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,TUCSON,AZ,85718-1323,9.34,-1.4,-2.99
03-Feb-18,8:20:35 PM PST,Order,111-4660731-8661859,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,CHICAGO,IL,60625,9.2,-1.38,-2.99
04-Feb-18,12:03:11 AM PST,Order,114-0551597-8722625,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,EDEN PRAIRIE,MN,55346-3428,9.34,-1.4,-2.99
04-Feb-18,1:10:03 AM PST,Order,111-2628818-5281051,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,SACRAMENTO,CA,95838-3016,9.34,-1.4,-2.99
04-Feb-18,2:07:11 AM PST,Order,113-4842895-5852216,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,ALVIN,TEXAS,77511-4781,9.34,-1.4,-2.99
04-Feb-18,2:59:51 AM PST,Order,113-9183998-6839401,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,SEATTLE,WA,98101-2828,9.34,-1.4,-2.99
04-Feb-18,3:19:48 AM PST,Order,111-8978190-0737044,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,SAN ANTONIO,TX,78249-1537,9.34,-1.4,-2.99
04-Feb-18,3:30:01 AM PST,Order,113-0807038-0273036,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,SAN MARCOS,TX,78666,9.34,-1.4,-2.99
04-Feb-18,3:37:59 AM PST,Order,111-5462991-5129820,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,OKLAHOMA CITY,OK,73112-1262,9.34,-1.4,-2.99
04-Feb-18,5:18:04 AM PST,Order,112-4259783-1733820,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,Nashua,NH,3063,9.34,-1.4,-2.99
04-Feb-18,12:22:29 PM PST,Order,112-5158048-5209039,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,LINCOLN,NE,68502-4042,9.34,-1.4,-2.99
04-Feb-18,12:40:16 PM PST,Order,112-1168401-4737028,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,LOUISVILLE,KY,40245-5836,9.34,-1.4,-2.99
04-Feb-18,1:33:28 PM PST,Order,112-0726793-5746603,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,CEDAR PARK,TX,78613-1529,9.34,-1.4,-2.99
04-Feb-18,2:31:49 PM PST,Order,114-3934737-6083439,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,CAMANO ISLAND,WA,98282-8400,9.34,-1.4,-2.99
04-Feb-18,3:19:03 PM PST,Order,111-6860947-8809061,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,Addison,IL,60101-3165,9.34,-1.4,-2.99
04-Feb-18,3:25:23 PM PST,Order,112-8746969-3037017,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,Tavares,FL,32778,9.34,-1.4,-2.99
04-Feb-18,3:27:42 PM PST,Order,111-7530794-9878662,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,cincinnati,oh,45248,9.34,-1.4,-2.99
04-Feb-18,3:35:03 PM PST,Order,112-7428712-3562648,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,WEST CHESTER,OH,45069-1894,9.34,-1.4,-2.99
04-Feb-18,3:41:56 PM PST,Order,111-4128392-5631454,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",2,ULLIN,IL,62992-1206,18.68,-2.8,-5.98
04-Feb-18,7:26:33 PM PST,Order,114-5393233-3017003,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,COBBTOWN,GA,30420-6318,9.34,-1.4,-2.99
04-Feb-18,7:27:07 PM PST,Order,114-6046455-3085050,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,BERLIN HEIGHTS,OHIO,44814-9201,9.34,-1.4,-2.99
04-Feb-18,9:12:04 PM PST,Order,111-2598098-8083409,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,DES PLAINES,IL,60016-1858,9.34,-1.4,-2.99
04-Feb-18,9:15:55 PM PST,Order,112-4767102-3681801,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,katy,TX,77449,9.34,-1.4,-2.99
04-Feb-18,9:22:05 PM PST,Order,114-0278804-8212200,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,ALEXANDRIA,VA,22315-4048,9.2,-1.38,-2.99
04-Feb-18,9:33:09 PM PST,Order,111-8140597-1240234,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,HAPPY VALLEY,OREGON,97086-4297,9.34,-1.4,-13.72
04-Feb-18,9:39:56 PM PST,Order,113-7239116-2241003,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",3,LACEY,WA,98503-3006,28.02,-4.2,-8.97
04-Feb-18,11:02:21 PM PST,Order,113-2239491-5574639,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,VANCOUVER,WA,98661-5438,9.34,-1.4,-2.99
04-Feb-18,11:58:23 PM PST,Order,114-6523152-7318657,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,NEWPORT BEACH,CA,92660-4334,9.34,-1.4,-2.99
05-Feb-18,1:07:27 AM PST,Order,113-7223386-1538639,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,EAST LANSING,MICHIGAN,48823-9230,9.34,-1.4,-2.99
05-Feb-18,1:11:24 AM PST,Order,113-7204192-7474629,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,CHESAPEAKE,VA,23320-6770,9.34,-1.4,-2.99
05-Feb-18,3:31:16 AM PST,Order,113-5213286-8757842,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,Choctaw,OK,73020,9.34,-1.4,-2.99
05-Feb-18,8:59:03 AM PST,Order,113-2170171-3641867,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,DPO,AE,09701-0061,9.34,-1.4,-2.99
05-Feb-18,12:10:35 PM PST,Order,114-3690508-8801022,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,CARMICHAEL,CA,95608-5705,9.34,-1.4,-2.99
05-Feb-18,12:18:45 PM PST,Order,112-5602401-8496211,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,NORWAY,MI,49870-1451,9.34,-1.4,-2.99
05-Feb-18,2:32:08 PM PST,Order,112-2885187-5365846,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,HIBBING,MN,55746-2116,9.34,-1.4,-2.99
05-Feb-18,3:10:41 PM PST,Order,113-5041058-4683444,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,wilder,ID,83676-0362,9.34,-1.4,-2.99
05-Feb-18,3:49:53 PM PST,Order,114-3214924-6321833,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,MENDOTA HEIGHTS,MN,55118-1156,9.33,-1.4,-2.99
05-Feb-18,5:15:34 PM PST,Order,114-9639130-1316238,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,BOTHELL,WA,98011-4536,9.34,-1.4,-2.99
05-Feb-18,5:22:34 PM PST,Order,111-6186269-4615401,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,HILLSDALE,NJ,07642-2510,9.34,-1.4,-2.99
05-Feb-18,7:31:35 PM PST,Transfer,,,"To your account ending in: 8217, Bank Transfer ID: 102018A00001GD",,,,,0,0,0
05-Feb-18,9:57:07 PM PST,Order,113-6719241-3725823,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,LONGMONT,CO,80501-3452,9.32,-1.4,-2.99
05-Feb-18,11:38:15 PM PST,Order,112-6988146-3279413,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,LAKELAND,FL,33801-9709,9.34,-1.4,-2.99
05-Feb-18,11:59:35 PM PST,Order,114-9050722-9793849,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,DUBUQUE,IA,52001-1574,9.34,-1.4,-2.99
06-Feb-18,1:23:24 AM PST,Order,112-8599338-3399466,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,WAXAHACHIE,TX,75165-4800,9.34,-1.4,-2.99
06-Feb-18,1:43:31 AM PST,Order,111-7721069-6303440,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",3,SAN JOSE,CA,95121-1559,27.96,-4.2,-8.97
06-Feb-18,1:49:48 AM PST,Order,111-4859870-3533828,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,WATERTOWN,SD,57201-3023,9.34,-1.4,-2.99
06-Feb-18,2:14:50 AM PST,Order,113-3897146-2566609,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,Elkhorn,Nebraska,68022,9.32,-1.4,-2.99
06-Feb-18,2:19:48 AM PST,Order,113-9907971-9359452,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,Palatka,FL,32177,9.33,-1.4,-2.99
06-Feb-18,2:37:39 AM PST,Order,113-8039485-5264227,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,GULF BREEZE,FL,32563-2669,9.34,-1.4,-2.99
06-Feb-18,3:26:39 AM PST,Order,112-6429447-5265049,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,RICHFIELD,MN,55423-2835,9.32,-1.4,-2.99
06-Feb-18,3:33:28 AM PST,Order,113-7521919-1371434,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,MADISON,SD,57042-0151,9.32,-1.4,-2.99
06-Feb-18,7:47:49 AM PST,Order,111-7511874-9856222,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,ALBUQUERQUE,NM,87109-6503,9.32,-1.4,-2.99
06-Feb-18,8:31:12 AM PST,Order,111-8174482-2174612,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,Fairfax,Va,22032,9.34,-1.4,-2.99
06-Feb-18,8:31:24 AM PST,Order,114-7005152-0414628,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,DENVER,CO,80203-1247,9.32,-1.4,-2.99
06-Feb-18,10:41:16 AM PST,Order,114-2129913-9278656,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,NEWPORT BEACH,CA,92660-2928,9.32,-1.4,-2.99
06-Feb-18,10:58:52 AM PST,Order,111-3317175-8139408,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,LAKE STEVENS,WA,98258-3616,9.32,-1.4,-2.99
06-Feb-18,11:25:43 AM PST,Order,113-9784436-9818649,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",2,SPRING HILL,TN,37174-8211,18.68,-2.8,-5.98
06-Feb-18,11:56:44 AM PST,Order,111-7697344-1661013,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,Temecula,CA,92591,9.32,-1.4,-2.99
06-Feb-18,12:09:02 PM PST,Order,111-0617965-1330635,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,BREMERTON,WA,98312-2827,9.32,-1.4,-2.99
06-Feb-18,12:24:06 PM PST,Order,114-1499965-1725804,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,CENTRAL POINT,OR,97502-9460,9.32,-1.4,-2.99
06-Feb-18,1:01:59 PM PST,Order,112-8125235-9881017,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,SCIO,OR,97374,9.32,-1.4,-2.99
06-Feb-18,1:24:33 PM PST,Order,114-7315145-1357843,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,Loveland,Ohio,45140,9.32,-1.4,-6.98
