,date/time,settlement id,type,order id,group-sku,sku,description,quantity,marketplace,fulfillment,order city,order state,order postal,product sales,selling fees,fba fees,landing cost
0,"Jan 1, 2019 2:24:14 AM PST",11263149161,Adjustment,,3MM-2864(X3),3MM-2864(3),FBA Inventory Reimbursement - Lost:Warehouse,1.0,,,,,,0.0,-0.0,-0.0,8.88
1,"Jan 4, 2019 3:33:53 AM PST",11263149161,Adjustment,112-4881901-9315414,3MM-1628,3MM-1628,FBA Inventory Reimbursement - Customer Return,1.0,,,,,,0.0,-0.0,-0.0,7.92
2,"Jan 4, 2019 4:01:23 AM PST",11263149161,Adjustment,112-4881901-9315414,3MM-1628,3MM-1628,FBA Inventory Reimbursement - Customer Return,1.0,,,,,,0.0,-0.0,-0.0,7.92
3,"Jan 5, 2019 2:02:37 AM PST",11263149161,Adjustment,111-7027033-9075433,3MM-1628,3MM-1628,FBA Inventory Reimbursement - Customer Return,1.0,,,,,,0.0,-0.0,-0.0,7.92
4,"Jan 5, 2019 2:45:57 AM PST",11263149161,Adjustment,113-4106157-2054661,,3MM-2164(1),FBA Inventory Reimbursement - Customer Return,1.0,,,,,,0.0,-0.0,-0.0,0.0
5,"Jan 5, 2019 5:43:49 AM PST",11263149161,Adjustment,111-6564479-9877844,3MM-2113,3MM-2113,FBA Inventory Reimbursement - Customer Return,1.0,,,,,,0.0,-0.0,-0.0,52.48
6,"Jan 8, 2019 2:52:11 AM PST",11524204271,Adjustment,111-0961705-6865010,,3MM-2164(1),FBA Inventory Reimbursement - Customer Return,1.0,,,,,,0.0,-0.0,-0.0,0.0
7,"Jan 8, 2019 3:57:03 AM PST",11524204271,Adjustment,111-0311502-0790673,3MM-1628,3MM-1628,FBA Inventory Reimbursement - Customer Return,1.0,,,,,,0.0,-0.0,-0.0,7.92
8,"Jan 9, 2019 12:32:26 AM PST",11524204271,Adjustment,112-8722669-9401864,3MM-1527-2,3MM-1527-2,FBA Inventory Reimbursement - Customer Return,1.0,,,,,,0.0,-0.0,-0.0,4.3
9,"Jan 9, 2019 5:24:10 AM PST",11524204271,Adjustment,,3MM-2863(X2),3MM-2863(2),FBA Inventory Reimbursement - Damaged:Warehouse,2.0,,,,,,0.0,-0.0,-0.0,9.44
10,"Jan 9, 2019 1:30:05 PM PST",11524204271,Adjustment,113-8222027-6190612,,3MM-6153,FBA Inventory Reimbursement - Return Adjustment,1.0,,,,,,0.0,-0.0,-0.0,0.0
11,"Jan 11, 2019 12:29:33 AM PST",11524204271,Adjustment,112-3673337-8099448,MOL-295300,MOL-295300,FBA Inventory Reimbursement - Customer Return,1.0,,,,,,0.0,-0.0,-0.0,10.32
12,"Jan 11, 2019 1:26:47 AM PST",11524204271,Adjustment,112-1820009-2561865,MOL-295300,MOL-295300,FBA Inventory Reimbursement - Customer Return,1.0,,,,,,0.0,-0.0,-0.0,10.32
13,"Jan 11, 2019 3:06:09 AM PST",11524204271,Adjustment,112-3673337-8099448,MOL-295300,MOL-295300,FBA Inventory Reimbursement - Customer Return,1.0,,,,,,0.0,-0.0,-0.0,10.32
14,"Jan 11, 2019 3:28:59 AM PST",11524204271,Adjustment,112-3819736-1287413,,3MM-R1541(10),FBA Inventory Reimbursement - Customer Return,1.0,,,,,,0.0,-0.0,-0.0,0.0
15,"Jan 11, 2019 6:05:24 AM PST",11524204271,Adjustment,112-3673337-8099448,MOL-295300,MOL-295300,FBA Inventory Reimbursement - Customer Return,1.0,,,,,,0.0,-0.0,-0.0,10.32
16,"Jan 12, 2019 4:03:22 AM PST",11524204271,Adjustment,113-9778623-2437067,3MM-1527-2,3MM-1527-2,FBA Inventory Reimbursement - Customer Return,1.0,,,,,,0.0,-0.0,-0.0,4.3
17,"Jan 12, 2019 4:05:10 AM PST",11524204271,Adjustment,112-3220894-4817845,3MM-1539(X3),3MM-1539,FBA Inventory Reimbursement - Customer Return,1.0,,,,,,0.0,-0.0,-0.0,8.25
18,"Jan 12, 2019 6:40:34 AM PST",11524204271,Adjustment,114-1846721-8725806,MOL-295300,MOL-295300,FBA Inventory Reimbursement - Customer Return,1.0,,,,,,0.0,-0.0,-0.0,10.32
19,"Jan 17, 2019 2:38:40 AM PST",11524204271,Adjustment,111-3660645-4942631,3MM-1527-2,3MM-1527-2,FBA Inventory Reimbursement - Customer Return,1.0,,,,,,0.0,-0.0,-0.0,4.3
20,"Jan 18, 2019 12:50:13 AM PST",11524204271,Adjustment,113-0414069-7691450,3MM-1539(X3),3MM-1539,FBA Inventory Reimbursement - Customer Return,1.0,,,,,,0.0,-0.0,-0.0,8.25
21,"Jan 19, 2019 4:08:05 AM PST",11524204271,Adjustment,112-4066914-9014609,3MM-2113,3MM-2113,FBA Inventory Reimbursement - Customer Return,1.0,,,,,,0.0,-0.0,-0.0,52.48
22,"Jan 20, 2019 3:20:11 AM PST",11524204271,Adjustment,,3MM-1527-2,3MM-1527-2,FBA Inventory Reimbursement - Lost:Warehouse,1.0,,,,,,0.0,-0.0,-0.0,4.3
23,"Jan 20, 2019 6:21:26 AM PST",11524204271,Adjustment,114-5529755-5819431,MOL-281200,MOL-281200-1,FBA Inventory Reimbursement - Customer Return,1.0,,,,,,0.0,-0.0,-0.0,7.15
24,"Jan 22, 2019 10:54:30 PM PST",11480988371,Adjustment,,MDL-NON80328,MDL-NON80328,FBA Inventory Reimbursement - Damaged:Warehouse,1.0,,,,,,0.0,-0.0,-0.0,3.43
25,"Jan 23, 2019 1:22:09 AM PST",11480988371,Adjustment,,3MM-1539(X3),3MM-1539,FBA Inventory Reimbursement - Lost:Warehouse,1.0,,,,,,0.0,-0.0,-0.0,8.25
26,"Jan 24, 2019 12:36:58 AM PST",11480988371,Adjustment,111-7315613-3393040,3MM-2862(X2),3MM-2862(2),FBA Inventory Reimbursement - Customer Return,1.0,,,,,,0.0,-0.0,-0.0,4.36
27,"Jan 24, 2019 4:56:35 AM PST",11480988371,Adjustment,114-4562640-2141855,3MM-R1547,3MM-R1547(50 PACK),FBA Inventory Reimbursement - Customer Return,1.0,,,,,,0.0,-0.0,-0.0,13.37
28,"Jan 28, 2019 4:33:29 AM PST",11480988371,Adjustment,,3MM-2866,3MM-2866,FBA Inventory Reimbursement - Lost:Warehouse,1.0,,,,,,0.0,-0.0,-0.0,4.01
29,"Jan 29, 2019 7:02:19 AM PST",11480988371,Adjustment,,MDL-NON80328,MDL-NON80328,FBA Inventory Reimbursement - Damaged:Warehouse,2.0,,,,,,0.0,-0.0,-0.0,6.86
30,"Jan 29, 2019 7:02:19 AM PST",11480988371,Adjustment,,MDL-NON80328,MDL-NON80328,FBA Inventory Reimbursement - Damaged:Warehouse,1.0,,,,,,0.0,-0.0,-0.0,3.43
31,"Jan 31, 2019 12:13:01 AM PST",11480988371,Adjustment,112-3397214-1262662,SOT-140172,SOT-140172,FBA Inventory Reimbursement - Customer Return,1.0,,,,,,0.0,-0.0,-0.0,23.41
32,"Feb 1, 2019 1:28:55 AM PST",11480988371,Adjustment,114-4377136-2543441,SOT-140176,SOT-140176,FBA Inventory Reimbursement - Customer Return,1.0,,,,,,0.0,-0.0,-0.0,23.41
33,"Feb 1, 2019 2:20:37 AM PST",11480988371,Adjustment,111-0082591-8442631,MOL-281000,MOL-281000,FBA Inventory Reimbursement - Customer Return,1.0,,,,,,0.0,-0.0,-0.0,6.67
34,"Feb 2, 2019 3:23:42 AM PST",11480988371,Adjustment,114-6022038-5743448,MOL-295300,MOL-295300,FBA Inventory Reimbursement - Customer Return,1.0,,,,,,0.0,-0.0,-0.0,10.32
35,"Feb 3, 2019 5:10:59 AM PST",11480988371,Adjustment,,3MM-2862(X2),3MM-2862(2),FBA Inventory Reimbursement - Lost:Warehouse,1.0,,,,,,0.0,-0.0,-0.0,4.36
36,"Feb 5, 2019 12:24:31 PM PST",11582476291,Adjustment,S01-2505537-0086251,,LUX-NEO185B,FBA Inventory Reimbursement - Customer Service Issue,1.0,,,,,,0.0,-0.0,-0.0,24.03
37,"Feb 6, 2019 5:06:13 AM PST",11582476291,Adjustment,114-9107628-4996216,3MM-R1547,3MM-R1547(50 PACK),FBA Inventory Reimbursement - Customer Return,1.0,,,,,,0.0,-0.0,-0.0,13.37
38,"Feb 7, 2019 3:04:22 AM PST",11582476291,Adjustment,112-6947973-6660226,MDL-NON80328,MDL-NON80328,FBA Inventory Reimbursement - Customer Return,1.0,,,,,,0.0,-0.0,-0.0,3.43
39,"Feb 7, 2019 12:51:43 PM PST",11582476291,Adjustment,,MOL-295300,MOL-295300,FBA Inventory Reimbursement - General Adjustment,1.0,,,,,,0.0,-0.0,-0.0,10.32
40,"Feb 8, 2019 5:27:47 AM PST",11582476291,Adjustment,112-8374412-2377031,3MM-2113R,3MM-2113R,FBA Inventory Reimbursement - Customer Return,1.0,,,,,,0.0,-0.0,-0.0,52.48
41,"Feb 9, 2019 9:25:18 AM PST",11582476291,Adjustment,112-5175133-3998607,3MM-1626W(10),3MM-1626W(10),FBA Inventory Reimbursement - Customer Return,1.0,,,,,,0.0,-0.0,-0.0,1.96
42,"Feb 10, 2019 7:12:13 AM PST",11582476291,Adjustment,114-9030056-9162659,3MM-2113,3MM-2113,FBA Inventory Reimbursement - Customer Return,1.0,,,,,,0.0,-0.0,-0.0,52.48
43,"Feb 11, 2019 2:09:34 AM PST",11582476291,Adjustment,114-2755102-5810645,MOL-281000,MOL-281000,FBA Inventory Reimbursement - Customer Return,1.0,,,,,,0.0,-0.0,-0.0,6.67
44,"Feb 12, 2019 2:22:29 AM PST",11582476291,Adjustment,114-5953503-8152235,MDL-NON80328,MDL-NON80328,FBA Inventory Reimbursement - Customer Return,1.0,,,,,,0.0,-0.0,-0.0,3.43
45,"Feb 12, 2019 5:41:31 AM PST",11582476291,Adjustment,114-7462346-3381818,MOL-295300,MOL-295300,FBA Inventory Reimbursement - Customer Return,1.0,,,,,,0.0,-0.0,-0.0,10.32
46,"Feb 13, 2019 3:58:36 AM PST",11582476291,Adjustment,,3MM-1539(X3),3MM-1539,FBA Inventory Reimbursement - Lost:Warehouse,1.0,,,,,,0.0,-0.0,-0.0,8.25
47,"Feb 14, 2019 3:16:22 AM PST",11582476291,Adjustment,111-1019251-1347417,3MM-2113,3MM-2113,FBA Inventory Reimbursement - Customer Return,1.0,,,,,,0.0,-0.0,-0.0,52.48
48,"Feb 15, 2019 10:47:20 AM PST",11582476291,Adjustment,,3MM-1628,3MM-1628,FBA Inventory Reimbursement - General Adjustment,1.0,,,,,,0.0,-0.0,-0.0,7.92
49,"Feb 16, 2019 12:51:11 AM PST",11582476291,Adjustment,,MOL-295300,MOL-295300,FBA Inventory Reimbursement - Damaged:Warehouse,1.0,,,,,,0.0,-0.0,-0.0,10.32
50,"Feb 17, 2019 1:29:31 AM PST",11582476291,Adjustment,113-9181699-1912258,3MM-2113,3MM-2113,FBA Inventory Reimbursement - Customer Return,1.0,,,,,,0.0,-0.0,-0.0,52.48
51,"Feb 17, 2019 5:03:11 AM PST",11582476291,Adjustment,111-1836252-8581868,3MM-1626W(10),3MM-1626W(10),FBA Inventory Reimbursement - Customer Return,1.0,,,,,,0.0,-0.0,-0.0,1.96
52,"Feb 17, 2019 11:36:29 AM PST",11627329191,Adjustment,,SOT-140176,SOT-140176,FBA Inventory Reimbursement - General Adjustment,1.0,,,,,,0.0,-0.0,-0.0,23.41
53,"Feb 17, 2019 11:54:33 AM PST",11627329191,Adjustment,,WEL-52434-U,WEL-52434-U(850),FBA Inventory Reimbursement - General Adjustment,1.0,,,,,,0.0,-0.0,-0.0,19.5
54,"Feb 18, 2019 4:01:16 AM PST",11627329191,Adjustment,111-5803012-2443464,3MM-1626W,3MM-1626W,FBA Inventory Reimbursement - Customer Return,1.0,,,,,,0.0,-0.0,-0.0,9.82
55,"Feb 19, 2019 5:40:22 AM PST",11627329191,Adjustment,,MDL-NON80328,MDL-NON80328,FBA Inventory Reimbursement - Damaged:Warehouse,1.0,,,,,,0.0,-0.0,-0.0,3.43
56,"Feb 20, 2019 2:23:17 AM PST",11627329191,Adjustment,113-7387069-7379454,MDL-NON80328,MDL-NON80328,FBA Inventory Reimbursement - Customer Return,1.0,,,,,,0.0,-0.0,-0.0,3.43
57,"Feb 20, 2019 4:28:09 AM PST",11627329191,Adjustment,113-5974059-7689069,3MM-2113,3MM-2113,FBA Inventory Reimbursement - Customer Return,1.0,,,,,,0.0,-0.0,-0.0,52.48
58,"Feb 20, 2019 4:30:03 AM PST",11627329191,Adjustment,,3MM-2113R,3MM-2113R,FBA Inventory Reimbursement - Lost:Warehouse,1.0,,,,,,0.0,-0.0,-0.0,52.48
59,"Feb 22, 2019 12:47:00 AM PST",11627329191,Adjustment,111-4734170-9183412,3MM-2113R,3MM-2113R,FBA Inventory Reimbursement - Customer Return,1.0,,,,,,0.0,-0.0,-0.0,52.48
60,"Feb 23, 2019 3:48:47 AM PST",11627329191,Adjustment,112-4570725-9469039,3MM-2113R,3MM-2113R,FBA Inventory Reimbursement - Customer Return,1.0,,,,,,0.0,-0.0,-0.0,52.48
61,"Feb 23, 2019 11:42:35 AM PST",11627329191,Adjustment,,MDL-NON80328,MDL-NON80328,FBA Inventory Reimbursement - General Adjustment,1.0,,,,,,0.0,-0.0,-0.0,3.43
62,"Feb 24, 2019 4:55:14 AM PST",11627329191,Adjustment,111-5426567-6279425,3MM-2113R,3MM-2113R,FBA Inventory Reimbursement - Customer Return,1.0,,,,,,0.0,-0.0,-0.0,52.48
63,"Feb 25, 2019 12:00:59 AM PST",11627329191,Adjustment,114-6761949-2149021,MOL-281000,MOL-281000,FBA Inventory Reimbursement - Customer Return,1.0,,,,,,0.0,-0.0,-0.0,6.67
64,"Feb 25, 2019 1:35:20 AM PST",11627329191,Adjustment,,MDL-NON80328,MDL-NON80328,FBA Inventory Reimbursement - Damaged:Warehouse,1.0,,,,,,0.0,-0.0,-0.0,3.43
65,"Feb 25, 2019 1:35:20 AM PST",11627329191,Adjustment,,MDL-NON80328,MDL-NON80328,FBA Inventory Reimbursement - Damaged:Warehouse,1.0,,,,,,0.0,-0.0,-0.0,3.43
66,"Feb 25, 2019 4:24:28 AM PST",11627329191,Adjustment,114-6761949-2149021,MOL-281000,MOL-281000,FBA Inventory Reimbursement - Customer Return,1.0,,,,,,0.0,-0.0,-0.0,6.67
67,"Feb 26, 2019 3:11:06 AM PST",11627329191,Adjustment,,MOL-281000,MOL-281000,FBA Inventory Reimbursement - Lost:Warehouse,1.0,,,,,,0.0,-0.0,-0.0,6.67
68,"Feb 26, 2019 3:27:51 AM PST",11627329191,Adjustment,112-5300809-1695430,3MM-2862(X2),3MM-2862(2),FBA Inventory Reimbursement - Customer Return,1.0,,,,,,0.0,-0.0,-0.0,4.36
69,"Mar 2, 2019 3:34:04 AM PST",11627329191,Adjustment,,MOL-295300,MOL-295300,FBA Inventory Reimbursement - Lost:Warehouse,1.0,,,,,,0.0,-0.0,-0.0,10.32
70,"Mar 2, 2019 3:34:04 AM PST",11627329191,Adjustment,,MOL-295300,MOL-295300,FBA Inventory Reimbursement - Lost:Warehouse,2.0,,,,,,0.0,-0.0,-0.0,20.64
71,"Mar 2, 2019 3:34:04 AM PST",11627329191,Adjustment,,MOL-295300,MOL-295300,FBA Inventory Reimbursement - Lost:Warehouse,2.0,,,,,,0.0,-0.0,-0.0,20.64
72,"Mar 2, 2019 3:34:04 AM PST",11627329191,Adjustment,,MOL-295300,MOL-295300,FBA Inventory Reimbursement - Lost:Warehouse,1.0,,,,,,0.0,-0.0,-0.0,10.32
73,"Mar 2, 2019 3:34:04 AM PST",11627329191,Adjustment,,MOL-295300,MOL-295300,FBA Inventory Reimbursement - Lost:Warehouse,1.0,,,,,,0.0,-0.0,-0.0,10.32
74,"Mar 2, 2019 7:34:27 PM PST",11627329191,Adjustment,112-6909330-6657813,3MM-R1546,3MM-R1546(50),FBA Inventory Reimbursement - Customer Return,1.0,,,,,,0.0,-0.0,-0.0,13.28
75,"Mar 3, 2019 1:34:19 AM PST",11627329191,Adjustment,112-5127838-7107404,3MM-2862(X2),3MM-2862(2),FBA Inventory Reimbursement - Customer Return,1.0,,,,,,0.0,-0.0,-0.0,4.36
76,"Mar 3, 2019 5:27:26 AM PST",11627329191,Adjustment,,MOL-281200,MOL-281200-1,FBA Inventory Reimbursement - Lost:Warehouse,1.0,,,,,,0.0,-0.0,-0.0,7.15
77,"Mar 3, 2019 5:27:26 AM PST",11627329191,Adjustment,,MOL-281200,MOL-281200-1,FBA Inventory Reimbursement - Lost:Warehouse,1.0,,,,,,0.0,-0.0,-0.0,7.15
78,"Mar 3, 2019 7:30:11 AM PST",11627329191,Adjustment,,3MM-R1542(5),3MM-R1542 (5),FBA Inventory Reimbursement - Lost:Inbound,30.0,,,,,,0.0,-0.0,-0.0,31.5
79,"Mar 3, 2019 7:30:11 AM PST",11627329191,Adjustment,,3MM-R1540(10),3MM-R1540 (10),FBA Inventory Reimbursement - Lost:Inbound,1.0,,,,,,0.0,-0.0,-0.0,1.71
