,date/time,settlement id,type,order id,group-sku,sku,description,quantity,marketplace,fulfillment,order city,order state,order postal,product sales,selling fees,fba fees,landing cost
0,"Jan 2, 2019 3:32:37 AM PST",11263149161,Refund,114-5953503-8152235,MDL-NON80328,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1.0,amazon.com,Amazon,Cincinnati,OH,45211,-7.75,-0.8,-5.99,3.43
1,"Jan 3, 2019 9:57:14 AM PST",11263149161,Refund,112-0245914-0039421,MCR-1577,MCR-1577,Xbox One Media Remote,1.0,amazon.com,Amazon,Houston,TX,77027,-44.88,-7.18,-0.0,26.3
2,"Jan 4, 2019 2:07:08 PM PST",11263149161,Refund,114-2803045-2625021,3MM-2560(X2),3MM-2560(100),3M 2560 Red Dot Multi-Purpose Monitoring Electrode - Bag of 100,2.0,amazon.com,Amazon,MEMPHIS,TN,38104-6603,-27.4,-6.56,-0.0,12.92
3,"Jan 4, 2019 2:07:08 PM PST",11263149161,Refund,114-2803045-2625021,3MM-2560(X2),3MM-2560(100),3M 2560 Red Dot Multi-Purpose Monitoring Electrode - Bag of 100,3.0,amazon.com,Amazon,MEMPHIS,TN,38104-6603,-41.1,-0.0,-0.0,19.38
4,"Jan 4, 2019 4:07:42 PM PST",11263149161,Refund,113-1918542-0971445,3MM-2862(X2),3MM-2862(2),"3m 2862 Medipore H Soft Cloth Surgical Tape 2"" x 10 Yards - 2 Rolls",1.0,amazon.com,Amazon,AVONDALE,AZ,85323-8404,-9.79,-0.94,-0.0,4.36
5,"Jan 4, 2019 8:24:54 PM PST",11263149161,Refund,111-1019251-1347417,3MM-2113,3MM-2113,"3M Littmann Classic II Pediatric Stethoscope, Black Tube, 28 inch, 2113",1.0,amazon.com,Amazon,MERLIN,OR,97532-0473,-80.0,-7.68,-0.0,52.48
6,"Jan 6, 2019 2:49:46 AM PST",11263149161,Refund,114-4938258-3296208,3MM-1628,3MM-1628,"Tegaderm Transparent Dressing, 6 x 8 Inch, 10 Count",1.0,amazon.com,Amazon,LONGWOOD,FL,32750-6807,-14.63,-1.75,-0.0,7.92
7,"Jan 7, 2019 4:11:03 PM PST",11524204271,Refund,111-1836252-8581868,3MM-1626W(10),3MM-1626W(10),"3M Tegaderm Transparent Film Dressing - 4"" x 4 3/4"" - Pack of 10",1.0,amazon.com,Amazon,BROOKLYN,NY,11213-1803,-6.5,-0.8,-0.0,1.96
8,"Jan 7, 2019 8:10:25 PM PST",11524204271,Refund,113-9181699-1912258,3MM-2113,3MM-2113,"3M Littmann Classic II Pediatric Stethoscope, Black Tube, 28 inch, 2113",1.0,amazon.com,Amazon,Newtown Square,PA,19073,-79.0,-6.76,-0.0,52.48
9,"Jan 8, 2019 2:31:21 AM PST",11524204271,Refund,114-0517420-0178643,3MM-2862(X3),3MM-2862(3),"3M Medipore H 2"" x 10 Yard Hypoallergenic Soft Cloth Surgical Tape, Special Pack of 3 Rolls, Item 2862",1.0,amazon.com,Amazon,SAN JOSE,CA,95120-4517,-10.79,-1.03,-0.0,6.54
10,"Jan 8, 2019 11:31:39 AM PST",11524204271,Refund,111-5803012-2443464,3MM-1626W,3MM-1626W,"3M Tegaderm Transparent Dressing with Label 4"" x 4 3/4"" (10 x 12 cm)50 per Box #1626W",1.0,amazon.com,Amazon,Tuolumne,CA,95379,-17.95,-2.15,-0.0,9.82
11,"Jan 9, 2019 3:28:10 PM PST",11524204271,Refund,111-0420192-3155413,3MM-2862(X2),3MM-2862(2),"3m 2862 Medipore H Soft Cloth Surgical Tape 2"" x 10 Yards - 2 Rolls",1.0,amazon.com,Amazon,DES PLAINES,IL,60016-4844,-9.2,-0.88,-0.0,4.36
12,"Jan 9, 2019 5:58:40 PM PST",11524204271,Refund,114-8873632-6119424,3MM-5620,3MM-5620,"3M Littmann  Classic III Monitoring Stethoscope, Black Tube, 27 inch, 5620",1.0,amazon.com,Amazon,Long Beach,CA,90803-2629,-81.5,-7.82,-0.0,60.46
13,"Jan 10, 2019 6:10:53 AM PST",11524204271,Refund,113-5974059-7689069,3MM-2113,3MM-2113,"3M Littmann Classic II Pediatric Stethoscope, Black Tube, 28 inch, 2113",1.0,amazon.com,Amazon,WEBSTER,NY,14580-1122,-79.0,-6.76,-0.0,52.48
14,"Jan 11, 2019 4:20:52 AM PST",11524204271,Refund,112-9962993-5559467,SOT-140172,SOT-140172,Sothys Hydra3Ha Hydrating Youth Creme - 1.69 oz,1.0,amazon.com,Amazon,Debrecen,Hajdu-Bihar County,4026,0.0,-0.0,-0.0,23.41
15,"Jan 12, 2019 8:26:50 AM PST",11524204271,Refund,111-4734170-9183412,3MM-2113R,3MM-2113R,"3M Littmann 2113R Classic II Pediatric Stethoscope, Red, 28 inch",1.0,amazon.com,Amazon,KISSIMMEE,FL,34746-4716,-74.99,-7.2,-7.27,52.48
16,"Jan 13, 2019 8:29:52 AM PST",11524204271,Refund,112-4570725-9469039,3MM-2113R,3MM-2113R,"3M Littmann 2113R Classic II Pediatric Stethoscope, Red, 28 inch",1.0,amazon.com,Amazon,MESA,AZ,85201-2553,-79.0,-7.58,-0.0,52.48
17,"Jan 13, 2019 6:20:48 PM PST",11524204271,Refund,114-5523259-0953032,MCR-1577,MCR-1577,Xbox One Media Remote,1.0,amazon.com,Amazon,Fontana,CA,92336,-44.88,-7.18,-0.0,26.3
18,"Jan 14, 2019 7:33:37 PM PST",11524204271,Refund,111-5426567-6279425,3MM-2113R,3MM-2113R,"3M Littmann 2113R Classic II Pediatric Stethoscope, Red, 28 inch",1.0,amazon.com,Amazon,MIAMI,FL,33166-2626,-74.99,-7.2,-0.0,52.48
19,"Jan 14, 2019 11:41:14 PM PST",11524204271,Refund,114-6761949-2149021,MOL-281000,MOL-281000,Mepilex Border Lite Dressing 1.6'' x 2'' Box of 10,2.0,amazon.com,Amazon,BATON ROUGE,LA,70809-7426,-28.0,-3.36,-0.0,13.34
20,"Jan 15, 2019 4:36:21 PM PST",11524204271,Refund,114-9311184-7197009,WEL-52432-U,WEL-52432-U,"Welch Allyn Universal Kleenspec Pediatric Disposable Ear Specula for Diagnostic Otoscopes, 850 Count",1.0,amazon.com,Amazon,GREENVILLE,SC,29607,-33.5,-4.02,-0.0,19.5
21,"Jan 16, 2019 10:18:46 PM PST",11524204271,Refund,112-5300809-1695430,3MM-2862(X2),3MM-2862(2),"3m 2862 Medipore H Soft Cloth Surgical Tape 2"" x 10 Yards - 2 Rolls",1.0,amazon.com,Amazon,Higginsville,MO,64037,-9.83,-0.94,-0.0,4.36
22,"Jan 16, 2019 10:29:55 PM PST",11524204271,Refund,111-4279799-4245816,MOL-1443,MOL-1443-1,"Tubigrip Tubular Bandage Size C, 2.75"" (Medium Arms, Small Ankles), Natural, 10M Box",1.0,amazon.com,Amazon,AMBLER,PA,19002-2310,-20.14,-1.94,-0.0,9.7
