ID Group,Sub-ID,landing cost
3MM-1527-1,3MM-1527-1,4.73
3MM-1527-1,3MM-1527-1-12,4.73
3MM-1527-2,3MM-1527-2,4.3
3MM-1537(X4),3MM-1537,7.92
3MM-1537(X4),3MM-1537(X4),7.92
3MM-1539(X3),3MM-1539,8.25
3MM-1539(X3),3MM-1539(X3),8.25
3MM-1539(X4),3MM-1539(X4),11
3MM-1539(X4),3MM-1539(20),11
3MM-1622W,3MM-1622W,13.83
3MM-1624W,3MM-1624W,9
3MM-1624W,3MM-1624W(B),9
3MM-1624W(20),3MM-1624W(20),1.8
3MM-1624W(20),3MM-1624W(20B),1.8
3MM-1626W,3MM-1626W,9.82
3MM-1626W,3MM-1626W(B),9.82
3MM-1626W,3MM-1626W(C),9.82
3MM-1626W(10),3MM-1626W(10),1.96
3MM-1626W(25),3MM-1626W(25),
3MM-1626W(25),3MM-1626W-25 PACK,
3MM-1626W(X2),3MM-1626W(X2),19.64
3MM-1626W(X2),3MM-1626W(DOUBLE PACK-1),19.64
3MM-1626W(X2),3MM-1626W(DOUBLE PACK-2),19.64
3MM-1626W(X2),3MM-1626W(X2),19.64
3MM-1626W(X2),3MM-1626W(X2B),19.64
3MM-1628,3MM-1628,7.92
3MM-2113,3MM-2113,52.48
3MM-2113R,3MM-2113R,52.48
3MM-2146,3MM-2146,54.24
3MM-2155,3MM-2155,54.24
3MM-2161,3MM-2161,124.02
3MM-2165,3MM-2165,123.55
3MM-2178,3MM-2178,123.55
3MM-2560,3MM-2560,3.23
3MM-2560,3MM-2560(50),3.23
3MM-2560(X2),3MM-2560(X2),6.46
3MM-2560(X2),3MM-2560(100),6.46
3MM-2862(X2),3MM-2862(X2),4.36
3MM-2862(X2),3MM-2862(2),4.36
3MM-2862(X3),3MM-2862(X3),6.54
3MM-2862(X3),3MM-2862(3),6.54
3MM-2863(X2),3MM-2863(X2),4.72
3MM-2863(X2),3MM-2863(2),4.72
3MM-2864(X3),3MM-2864(X3),8.88
3MM-2864(X3),3MM-2864(3),8.88
3MM-2866,3MM-2866,4.01
3MM-2866,3MM-2866(1),4.01
3MM-3346(E),3MM-3346(E),4.78
3MM-3346(E),3MM-3346E,4.78
3MM-3346E(X3),3MM-3346E(X3),14.34
3MM-5620,3MM-5620,60.46
3MM-6151,3MM-6151,116.52
3MM-6152,3MM-6152,116.96
3MM-6155,3MM-6155,116.52
3MM-6156,3MM-6156,116.52
3MM-6158,3MM-6158,116.52
3MM-6165,3MM-6165,116.96
3MM-6166,3MM-6166,116.96
3MM-6168,3MM-6168,116.52
3MM-AC-036,3MM-AC-036,2.31
3MM-AC-036(X2),3MM-AC-036(X2),4.62
3MM-B1550,3MM-B1550,9.1
3MM-B1551,3MM-B1551,9.1
3MM-B1557,3MM-B1557,16.89
3MM-H1546,3MM-H1546,1.81
3MM-H1547,3MM-H1547,1.81
3MM-H1624,3MM-H1624,1.84
3MM-H1626,3MM-H1626,2.52
3MM-R1540(10),3MM-R1540(10),1.71
3MM-R1540(10),3MM-R1540 (10),1.71
3MM-R1541(5)/R1547(5),3MM-R1541(5)/R1547(5),2.19
3MM-R1541(5)/R1547(5),3MM-R1541+R1547(10 PACK/5 EACH),2.19
3MM-R1541(20),3MM-R1541(20),3.4
3MM-R1542(5),3MM-R1542(5),1.05
3MM-R1542(5),3MM-R1542 (5),1.05
3MM-R1546(5),3MM-R1546 (5),1.33
3MM-R1546,3MM-R1546(50),13.28
3MM-R1546,3MM-R1546(B),13.28
3MM-R1547,3MM-R1547,13.37
3MM-R1547,3MM-1547(B),13.37
3MM-R1547,3MM-R1547(A),13.37
3MM-R1547,3MM-R1547(B),13.37
3MM-R1547,3MM-R1547(50 PACK),13.37
3MM-R1547(10),3MM-R1547(10),2.67
3MM-R1548(5),3MM-R1548(5),2.68
3MM-R1548(5),3MM-R1548 (5),2.68
3MM-SLT-1(X2),3MM-SLT-1(X2),5.86
3MM-SLT-1(X4),3MM-SLT-1(X4),11.72
BEU-0283-0293-31,BEU-0283-0293-31,4.43
BEU-0283-0293-31,BEU-0283-0293-31(X2),4.43
BEU-0283-0679-02,BEU-0283-0679-02,15.09
BEU-0283-0871-31,BEU-0283-0871-31,4.43
