date,type,order id,sku,quantity,product sales
01-Jan-19,Adjustment,,3M-2864(3),1,0
01-Jan-19,Order,113-6367239-5079454,3MM-1626W(10),1,6.5
01-Jan-19,Order,111-9068523-7753045,3MM-2862(2),1,9.79
01-Jan-19,Order,113-0264648-2380248,3MM-2862(3),2,21.6
01-Jan-19,Order,113-9437923-0745861,3M-2113R,1,74.99
01-Jan-19,Order,111-9301430-4157819,3MM-1527-2,1,12.83
01-Jan-19,Order,112-6256754-8717046,3MM-1527-2,2,25.58
01-Jan-19,Order,114-9064258-3475457,3MM-1626W-25 Pack,1,10.35
01-Jan-19,Order,113-4195757-5332227,MOL-1443-1,1,20.14
01-Jan-19,Order,114-8940069-7155464,3M-1539,2,33.68
01-Jan-19,Order,114-3972055-6192239,3MM-2862(3),1,10.8
01-Jan-19,Order,114-5415143-7986625,MOL-1451,1,20.01
01-Jan-19,Order,111-9243091-7060240,MCR-1577,1,44.88
01-Jan-19,Order,114-5408237-9145812,3MM-1626W,1,17.95
01-Jan-19,Order,111-3015785-9502623,3MM-R1547(50 Pack),1,27.03
01-Jan-19,Order,112-6037538-3689846,3M-2863(2),3,31.2
01-Jan-19,Order,112-5597129-7892210,3MM-2560(100),1,13.7
01-Jan-19,Order,113-4816505-6819431,3M-1539,1,16.84
01-Jan-19,Order,111-2157165-7964213,MDL-NON80328,1,7.7
01-Jan-19,Order,113-7781583-8136232,3M-2113R,1,74.99
01-Jan-19,Order,111-6150993-1034653,MOL-1451,1,20.01
01-Jan-19,Order,111-0382379-6370613,MOL-281000,1,14.69
01-Jan-19,Order,112-3129064-7647456,3MM-2862(2),1,9.79
01-Jan-19,Order,113-2547014-8133050,3M-2113R,1,74.99
01-Jan-19,Order,113-0252234-8853803,MCR-1577,1,44.88
01-Jan-19,Order,112-4453229-0893852,3MM-1626W(10),1,6.5
01-Jan-19,Order,114-8412690-1441828,3MM-1527-2,3,38.07
01-Jan-19,Order,113-9066253-2874628,SOT-154131,1,19
01-Jan-19,Order,111-0610139-7345004,3MM-1626W(10),1,6.5
01-Jan-19,Order,113-6218463-4946600,3MM-1527-2,1,12.83
01-Jan-19,Order,111-3996287-8975463,3MM-1527-2,1,12.83
01-Jan-19,Order,113-1793420-2423450,3MM-1626W(10),1,6.5
01-Jan-19,Order,112-5110592-2269806,MOL-1434,1,27.98
01-Jan-19,Order,111-0785165-2232252,MCR-1577,1,44.88
01-Jan-19,Order,114-9599670-8470639,SOT-160214,1,29.09
02-Jan-19,Order,111-4232680-0626660,3MM-1626W(10),1,6.5
02-Jan-19,Order,113-9842598-9836257,MCR-1577,1,44.88
02-Jan-19,Order,112-6907865-7613849,3MM-2862(3),1,10.79
02-Jan-19,Order,113-2421903-7127460,3MM-1626W(10),1,6.5
02-Jan-19,Order,112-7589666-9225840,3M-2863(2),1,10.4
02-Jan-19,Order,114-6311694-9722632,3MM-2862(3),1,10.8
02-Jan-19,Order,114-1344941-2189869,3MM-1626W(10),1,6.5
02-Jan-19,Order,114-4537047-8637843,MCR-1577,1,44.88
