,Quantity Sold,Revenue
0,0.251799989,0.745811276
1,-0.234479813,-0.201066834
2,-0.372259091,-0.480713162
3,-0.401435879,-0.574187824
4,-0.240963544,-0.23372853
5,-0.286349659,-0.294541496
6,-0.330114841,-0.350377443
7,-0.236100746,-0.432187214
8,-0.307421784,-0.389104882
9,-0.330114841,-0.457072315
10,-0.22637515,-0.234350657
11,-0.373880023,-0.441830191
12,-0.372259091,-0.530327833
13,-0.106426132,-0.079751965
14,-0.318768312,-0.218953001
15,0.188583615,-0.271678309
16,0.000555424,-0.179136838
17,-0.273382198,-0.268256608
18,-0.187472766,-0.179136838
19,-0.359291629,-0.498288264
20,-0.227996083,-0.491911457
21,0.008660088,0.130993738
22,-0.351186966,-0.475736141
23,0.402546728,-0.033403463
24,-0.309042716,0.200827554
25,-0.354428831,-0.51524124
26,-0.015653902,-0.328291915
27,-0.145328516,-0.44836253
28,-0.399814946,-0.580098035
29,-0.104805199,-0.363753185
30,-0.164779708,-0.200289175
31,-0.396573081,-0.548836127
32,-0.401435879,-0.570921654
33,-0.257172871,1.636231312
34,-0.307421784,0.841463385
35,-0.354428831,-0.191423857
36,-0.398194013,-0.572632505
37,-0.245826342,-0.268723204
38,-0.271761265,-0.333113404
39,-0.383605619,-0.53343847
40,-0.326872976,-0.532971875
41,-0.354428831,-0.517418686
42,-0.305800851,-0.326581064
43,-0.32363111,-0.49626635
44,-0.236100746,-0.037913888
45,-0.198819294,1.028723773
46,-0.339840437,-0.101837492
47,-0.352807899,0.432570061
