,sku,Total-Quantity-Sold,Total-Product-Revenue,Total-Selling-Fee,Total-Fba-Fees,Total-Landing-Costs,Total-Cost,Total-Product-Profit,Return on Sales,Total Return= ROS - Operating Cost (10%),Profit Per Quantity Sold,"1: R.O.S>=15%, 0: else"
0,3MM-1527-1-12,297,3217.77,483.17,946.8,1404.81,2834.78,382.99,1.28952862,-8.71047138,1.28952862,0
1,3MM-1527-2,493,6074.33,911.69,2420.98,2119.9,5452.57,621.76,1.261176471,-8.738823529,1.261176471,0
2,3MM-1537,36,704.23,105.74,133.75,285.12,524.61,179.62,4.989444444,-5.010555556,4.989444444,0
3,3MM-1537(X4),90,1648.8,247.7,314.26,712.8,1274.76,374.04,4.156000000000001,-5.843999999999999,4.156000000000001,0
4,3MM-1539,147,2453.0,367.76,522.78,1212.75,2103.29,349.71,2.378979592,-7.621020408,2.378979592,0
5,3MM-1539(20),109,2234.52,335.23,374.43,1199.0,1908.66,325.86,2.989541284,-7.0104587160000005,2.989541284,0
6,3MM-1539(X3),269,3993.08,598.88,878.63,2219.25,3696.76,296.32,1.101561338,-8.898438662,1.101561338,0
7,3MM-1539(X4),45,802.62,120.45,166.65,495.0,782.1,20.52,0.456,-9.544,0.456,0
8,3MM-1547(B),12,311.84,37.42,41.4,160.44,239.26,72.58,6.0483333329999995,-3.951666667,6.0483333329999995,0
9,3MM-1622W,40,881.66,105.79,131.2,553.2,790.19,91.47,2.28675,-7.71325,2.28675,0
10,3MM-1624W,202,3087.64,370.17,694.84,1818.0,2883.01,204.63,1.013019802,-8.986980198,1.013019802,0
11,3MM-1624W(20),183,897.07,71.42,298.94,329.4,699.76,197.31,1.0781967209999999,-8.921803279,1.0781967209999999,0
12,3MM-1624W(20B),921,5441.48,565.72,1741.21,1657.8,3964.73,1476.75,1.603420195,-8.396579805,1.603420195,0
13,3MM-1624W(B),804,12859.92,1928.58,2810.54,7236.0,11975.12,884.8,1.100497512,-8.899502488,1.100497512,0
14,3MM-1626W,376,6607.21,989.74,1314.01,3692.32,5996.07,611.14,1.62537234,-8.37462766,1.62537234,0
15,3MM-1626W(10),2065,11600.53,1344.34,4139.71,4047.4,9531.45,2069.08,1.0019757870000001,-8.998024212999999,1.0019757870000001,0
16,3MM-1626W(B),505,9210.76,1381.78,1788.99,4959.1,8129.87,1080.89,2.140376238,-7.859623762000001,2.140376238,0
17,3MM-1626W(C),82,1435.58,172.39,290.61,805.24,1268.24,167.34,2.040731707,-7.959268292999999,2.040731707,0
18,3MM-1626W(DOUBLE PACK-1),45,1488.56,223.29,238.45,883.8,1345.54,143.02,3.178222222,-6.8217777779999995,3.178222222,0
19,3MM-1626W(DOUBLE PACK-2),18,655.28,98.29,92.37,353.52,544.18,111.1,6.172222222,-3.827777778,6.172222222,0
20,3MM-1626W(X2),73,2341.91,351.32,355.09,1433.72,2140.13,201.78,2.764109589,-7.235890411000001,2.764109589,0
21,3MM-1626W(X2B),133,4303.77,645.87,718.03,2612.12,3976.02,327.75,2.464285714,-7.535714286,2.464285714,0
22,3MM-1626W-25 PACK,157,1624.95,242.88,442.27,0.0,685.15,939.8,5.985987261,-4.014012739,5.985987261,0
23,3MM-1628,33,630.77,94.64,83.09,261.36,439.09,191.68,5.808484847999999,-4.191515152,5.808484847999999,0
24,3MM-2113,39,3086.0,335.3,151.15,2046.72,2533.17,552.83,14.17512821,4.175128205,14.17512821,0
25,3MM-2113R,58,4501.8,540.24,192.29,3043.84,3776.37,725.43,12.50741379,2.507413793,12.50741379,0
26,3MM-2146,30,2510.31,301.26,99.92,1627.2,2028.38,481.93,16.06433333,6.0643333329999995,16.06433333,1
27,3MM-2155,9,702.24,84.28,33.82,488.16,606.26,95.98,10.66444444,0.664444444,10.66444444,0
28,3MM-2161,62,12133.46,1455.93,374.86,7689.24,9520.03,2613.43,42.15209677,32.15209677,42.15209677,1
29,3MM-2165,30,5197.28,623.63,154.75,3706.5,4484.88,712.4,23.74666667,13.74666667,23.74666667,1
30,3MM-2178,31,6522.26,782.66,151.55,3830.05,4764.26,1758.0,56.70967742,46.70967742,56.70967742,1
31,3MM-2560,480,3692.02,443.32,718.33,1550.4,2712.05,979.97,2.041604167,-7.958395832999999,2.041604167,0
32,3MM-2560(100),380,5240.64,626.54,980.79,2454.8,4062.13,1178.51,3.101342105,-6.898657895,3.101342105,0
33,3MM-2560(50),184,1402.63,179.3,608.61,594.32,1382.23,20.4,0.110869565,-9.889130435,0.110869565,0
34,3MM-2560(X2),1180,16109.35,1917.59,2208.24,7622.8,11748.63,4360.72,3.695525424,-6.3044745760000005,3.695525424,0
35,3MM-2862(2),95,851.18,102.0,344.0,414.2,860.2,-9.02,-0.094947368,-10.09494737,-0.094947368,0
36,3MM-2862(3),117,1263.81,151.31,387.68,765.18,1304.17,-40.36,-0.344957265,-10.34495726,-0.344957265,0
37,3MM-2863(2),249,2589.6,310.51,852.63,1175.28,2338.42,251.18,1.00875502,-8.99124498,1.00875502,0
38,3MM-2864(3),5,87.81,13.17,15.95,44.4,73.52,14.29,2.858,-7.142,2.858,0
39,3MM-2866,60,621.23,93.15,165.34,240.6,499.09,122.14,2.035666667,-7.964333333,2.035666667,0
40,3MM-2866(1),12,149.64,22.44,18.6,48.12,89.16,60.48,5.04,-4.96,5.04,0
41,3MM-3346E,180,2067.34,309.49,744.94,860.4,1914.83,152.51,0.8472777779999999,-9.152722222000001,0.8472777779999999,0
42,3MM-3346E(X3),140,3807.16,571.08,560.11,2007.6,3138.79,668.37,4.774071429,-5.225928571,4.774071429,0
43,3MM-6151,30,4915.08,589.81,154.73,3495.6,4240.14,674.94,22.498,12.498,22.498,1
44,3MM-6152,90,14261.29,1711.33,451.51,10526.4,12689.24,1572.05,17.46722222,7.467222222,17.46722222,1
45,3MM-6155,59,9151.76,1098.23,312.73,6874.68,8285.64,866.12,14.68,4.68,14.68,0
