date,3MM-1626W(10)_quantity,3MM-1626W(10)_product sales,"bought:1, absent:0"
2019-01-01,4,26,0
2019-01-02,25,162.5,1
2019-01-03,31,201.5,1
2019-01-04,30,195,1
2019-01-05,30,195,1
2019-01-06,23,149.5,1
2019-01-07,20,130,1
2019-01-08,32,208,1
2019-01-09,26,168.82,1
2019-01-10,9,58.36,0
2019-01-11,24,155.54,1
2019-01-12,14,90.72,1
2019-01-13,13,84.24,1
2019-01-14,23,149.04,1
2019-01-15,12,73.78,1
2019-01-16,19,117.97,1
2019-01-17,17,103.53,1
2019-01-18,18,109.93,1
2019-01-19,11,67.2,1
2019-01-20,24,145.74,1
2019-01-21,15,91.05,1
2019-01-22,39,237.14,1
2019-01-23,17,103.19,1
2019-01-24,19,115.37,1
2019-01-25,9,54.63,0
2019-01-26,18,109.26,1
2019-01-27,25,151.75,1
2019-01-28,10,60.64,0
2019-01-29,19,115.07,1
2019-01-30,14,84.78,1
2019-01-31,11,66.63,1
2019-02-01,6,36.3,0
2019-02-02,6,36.3,0
2019-02-03,7,42.35,0
2019-02-04,9,54.47,0
2019-02-05,7,42.35,0
2019-02-06,8,48.4,0
2019-02-07,13,78.65,1
2019-02-08,5,30.25,0
2019-02-09,2,12.12,0
2019-02-10,17,102.85,1
2019-02-11,8,48.4,0
2019-02-12,5,30.25,0
2019-02-13,17,102.85,1
2019-02-14,15,90.77,1
2019-02-15,22,133.1,1
2019-02-16,30,181.52,1
2019-02-17,7,42.35,0
2019-02-18,22,133.1,1
2019-02-19,14,84.7,1
2019-02-20,10,60.5,0
2019-02-21,1,6.05,0
2019-02-22,1,6.05,0
2019-02-23,4,24.2,0
2019-02-24,3,18.15,0
2019-02-25,2,12.1,0
2019-02-26,2,12.1,0
2019-02-27,2,12.1,0
2019-02-28,,,0
2019-03-01,,,0
2019-03-02,1,6.05,0
2019-03-03,1,6.05,0
2019-03-04,1,6.05,0
2019-03-05,1,6.05,0
2019-03-06,,,0
2019-03-07,,,0
2019-03-08,,,0
2019-03-09,,,0
2019-03-10,2,12.1,0
2019-03-11,4,24.2,0
2019-03-12,1,6.05,0
2019-03-13,,,0
2019-03-14,1,6.05,0
2019-03-15,,,0
2019-03-16,,,0
2019-03-17,,,0
2019-03-18,,,0
2019-03-19,,,0
2019-03-20,2,12.1,0
2019-03-21,,,0
2019-03-22,,,0
2019-03-23,,,0
2019-03-24,,,0
2019-03-25,,,0
2019-03-26,,,0
2019-03-27,,,0
2019-03-28,,,0
2019-03-29,,,0
2019-03-30,,,0
2019-03-31,,,0
2019-04-01,,,0
2019-04-02,,,0
2019-04-03,,,0
2019-04-04,,,0
2019-04-05,,,0
2019-04-06,,,0
2019-04-07,,,0
2019-04-08,,,0
2019-04-09,,,0
2019-04-10,,,0
2019-04-11,1,6.05,0
2019-04-12,7,39.62,0
2019-04-13,13,73.58,1
2019-04-14,13,73.58,1
2019-04-15,3,16.98,0
2019-04-16,2,11.21,0
2019-04-17,6,33.51,0
2019-04-18,4,22.12,0
2019-04-19,7,39.91,0
2019-04-20,,,0
2019-04-21,1,5.51,0
2019-04-22,,,0
2019-04-23,1,5.66,0
2019-04-24,,,0
2019-04-25,,,0
2019-04-26,,,0
2019-04-27,,,0
2019-04-28,,,0
2019-04-29,,,0
2019-04-30,,,0
2019-05-01,,,0
2019-05-02,,,0
2019-05-03,,,0
2019-05-04,,,0
2019-05-05,,,0
2019-05-06,,,0
2019-05-07,,,0
2019-05-08,,,0
2019-05-09,,,0
2019-05-10,,,0
2019-05-11,,,0
2019-05-12,,,0
2019-05-13,1,5.6,0
2019-05-14,,,0
2019-05-15,1,5.6,0
2019-05-16,1,5.6,0
2019-05-17,,,0
2019-05-18,1,5.49,0
2019-05-19,,,0
2019-05-20,,,0
2019-05-21,2,10.98,0
2019-05-22,1,5.49,0
2019-05-23,1,5.49,0
2019-05-24,,,0
2019-05-25,,,0
2019-05-26,,,0
2019-05-27,,,0
2019-05-28,,,0
2019-05-29,,,0
2019-05-30,,,0
2019-05-31,,,0
2019-06-01,1,5.49,0
2019-06-02,,,0
2019-06-03,,,0
2019-06-04,,,0
2019-06-05,,,0
2019-06-06,,,0
2019-06-07,,,0
2019-06-08,,,0
2019-06-09,,,0
2019-06-10,,,0
2019-06-11,1,5.49,0
2019-06-12,,,0
2019-06-13,1,5.49,0
2019-06-14,1,5.49,0
2019-06-15,,,0
2019-06-16,,,0
2019-06-17,,,0
2019-06-18,,,0
2019-06-19,2,10.98,0
2019-06-20,2,10.98,0
2019-06-21,1,5.49,0
2019-06-22,,,0
2019-06-23,,,0
2019-06-24,,,0
2019-06-25,1,5.49,0
2019-06-26,4,19.57,0
2019-06-27,39,189.73,1
2019-06-28,58,278.93,1
2019-06-29,26,124.92,1
2019-06-30,19,91.2,1
2019-07-01,24,115.27,1
2019-07-02,6,28.8,0
2019-07-03,2,9.6,0
2019-07-04,,,0
2019-07-05,8,38.4,0
2019-07-06,1,4.8,0
2019-07-07,1,4.8,0
2019-07-08,12,59.13,1
2019-07-09,43,219.65,1
2019-07-10,29,163.2,1
2019-07-11,26,154.84,1
2019-07-12,8,48,0
2019-07-13,12,70.8,1
2019-07-14,13,78,1
2019-07-15,24,144,1
2019-07-16,17,102,1
2019-07-17,20,117.11,1
2019-07-18,41,238.44,1
2019-07-19,35,198.18,1
2019-07-20,15,83.63,1
2019-07-21,41,224.13,1
2019-07-22,85,441.41,1
2019-07-23,117,589.47,1
2019-07-24,119,586.2,1
2019-07-25,137,668.38,1
2019-07-26,41,201.2,1
2019-07-27,23,111.37,1
2019-07-28,25,120.77,1
2019-07-29,19,91.45,1
2019-07-30,12,58.61,1
2019-07-31,10,48.18,0
2019-08-01,1,4.9,0
2019-08-02,5,24.74,0
2019-08-03,,,0
2019-08-04,1,4.91,0
2019-08-05,1,5,0
2019-08-06,,,0
2019-08-07,,,0
2019-08-08,,,0
2019-08-09,2,15.12,0
2019-08-10,1,7.56,0
2019-08-11,2,13.57,0
2019-08-12,,,0
2019-08-13,,,0
2019-08-14,,,0
2019-08-15,,,0
2019-08-16,,,0
2019-08-17,,,0
2019-08-18,,,0
2019-08-19,,,0
2019-08-20,1,7.52,0
2019-08-21,,,0
2019-08-22,,,0
2019-08-23,,,0
2019-08-24,,,0
2019-08-25,,,0
2019-08-26,,,0
2019-08-27,,,0
2019-08-28,,,0
2019-08-29,,,0
2019-08-30,,,0
2019-08-31,,,0
2019-09-01,,,0
2019-09-02,,,0
2019-09-03,,,0
2019-09-04,,,0
2019-09-05,1,5.77,0
2019-09-06,,,0
2019-09-07,,,0
2019-09-08,,,0
2019-09-09,1,5.74,0
2019-09-10,,,0
2019-09-11,,,0
2019-09-12,,,0
2019-09-13,,,0
2019-09-14,,,0
2019-09-15,,,0
2019-09-16,,,0
2019-09-17,1,5.74,0
2019-09-18,,,0
2019-09-19,,,0
2019-09-20,,,0
2019-09-21,,,0
2019-09-22,,,0
2019-09-23,,,0
2019-09-24,,,0
2019-09-25,,,0
2019-09-26,,,0
2019-09-27,,,0
2019-09-28,,,0
2019-09-29,,,0
2019-09-30,,,0
2019-10-01,,,0
2019-10-02,,,0
2019-10-03,,,0
2019-10-04,,,0
2019-10-05,,,0
2019-10-06,,,0
2019-10-07,,,0
2019-10-08,,,0
2019-10-09,,,0
2019-10-10,,,0
2019-10-11,,,0
2019-10-12,,,0
2019-10-13,,,0
2019-10-14,,,0
2019-10-15,,,0
2019-10-16,,,0
2019-10-17,,,0
2019-10-18,,,0
2019-10-19,,,0
2019-10-20,,,0
2019-10-21,,,0
2019-10-22,,,0
2019-10-23,,,0
2019-10-24,,,0
2019-10-25,,,0
2019-10-26,,,0
2019-10-27,,,0
2019-10-28,,,0
2019-10-29,,,0
2019-10-30,,,0
2019-10-31,,,0
2019-11-01,,,0
2019-11-02,,,0
2019-11-03,,,0
2019-11-04,,,0
