State,Location,Code
Alabama,Bessemer ,BSM1
Alabama,Mobile ,MOB1
Alabama,Theodore ,MOB5
Arizona,Phoenix ,PHX3
Arizona,Phoenix ,PHX6
Arizona,Phoenix ,PHX7
Arizona,Phoenix ,PHX8
Arizona,Phoenix ,TUS1
Arizona,Goodyear ,PHX5
Arizona,Tolleson ,PHX9
California,Carlsbad ,DSD2
California,Eastvale ,SNA6
California,Eastvale ,SNA9
California,Eastvale ,LGB3
California,Fresno ,FAT1
California,Fontana ,LAX9
California,Irvine ,DLA9
California,Moreno Valley,ONT6
California,Moreno Valley,ONT8
California,National City ,DSD3
California,Newark ,OAK5
California,Patterson ,OAK3
California,"Redding, California ",AMZ2
California,Redlands ,ONT9
California,Redlands ,LGB4
California,Rialto ,SNA4
California,Rialto ,LGB8
California,Riverside ,LGB6
California,Sacramento ,SMF1
California,San Bernardino ,ONT2
California,San Bernardino ,ONT5
California,San Bernardino ,SNA7
California,San Bernardino ,SNA8
California,San Diego ,DSD1
California,Stockton ,SMF3
California,Stockton ,SCK1
California,Tracy ,OAK4
California,Tracy ,SJC7
California,Tracy ,OAK6
California,Vacaville ,SMF5
Colorado,Aurora ,DEN2
Colorado,Aurora ,DEN5
Colorado,Thornton ,DEN3
Connecticut,Wallingford ,BDL5
Connecticut,Windsor ,BDL2
Connecticut,North Haven ,BDL3
Delaware,New Castle ,PHL1
Delaware,Middletown,PHL7
Delaware,Middletown,PHL9
Florida,Orlando ,MCO1
Florida,Davenport ,MCO5
Florida,Opa-Locka ,MIA1
Florida,Miami ,MIA5
Florida,Sunrise,DMI4
Florida,Ruskin ,TPA1
Florida,Lakeland ,TPA2
Florida,Jacksonville ,JAX2
Florida,Jacksonville ,JAX3
Florida,Jacksonville ,JAX5
Georgia,Braselton,MGE1
Georgia,Jefferson,MGE3
Georgia,East Point ,ATL6
Georgia,Lithia Springs,ATL8
Georgia,Union City ,ATL7
Illinois,Joliet,MDW2
Illinois,Joliet,MDW4
Illinois,Romeoville ,MDW6
Illinois,Edwardsville ,STL4
Illinois,Edwardsville ,STL6
Illinois,Edwardsville ,STL7
Illinois,Monee ,MDW7
Illinois,Waukegan ,MDW8
Illinois,Aurora ,MDW9
