,date,time,type,group-sku,sku,description,quantity,order city,order state,order postal,product sales,selling fees,fba fees,landing cost
0,01-Jan-19,2:24:14 AM PST,Adjustment,3MM-2864(X3),3MM-2864(3),FBA Inventory Reimbursement - Lost:Warehouse,1.0,,,,0.0,-0.0,-0.0,8.88
1,04-Jan-19,3:33:53 AM PST,Adjustment,3MM-1628,3MM-1628,FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,7.92
2,04-Jan-19,4:01:23 AM PST,Adjustment,3MM-1628,3MM-1628,FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,7.92
3,05-Jan-19,2:02:37 AM PST,Adjustment,3MM-1628,3MM-1628,FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,7.92
4,05-Jan-19,2:45:57 AM PST,Adjustment,,3MM-2164(1),FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,0.0
5,05-Jan-19,5:43:49 AM PST,Adjustment,3MM-2113,3MM-2113,FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,52.48
6,08-Jan-19,2:52:11 AM PST,Adjustment,,3MM-2164(1),FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,0.0
7,08-Jan-19,3:57:03 AM PST,Adjustment,3MM-1628,3MM-1628,FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,7.92
8,09-Jan-19,12:32:26 AM PST,Adjustment,3MM-1527-2,3MM-1527-2,FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,4.3
9,09-Jan-19,5:24:10 AM PST,Adjustment,3MM-2863(X2),3MM-2863(2),FBA Inventory Reimbursement - Damaged:Warehouse,2.0,,,,0.0,-0.0,-0.0,9.44
10,09-Jan-19,1:30:05 PM PST,Adjustment,,3MM-6153,FBA Inventory Reimbursement - Return Adjustment,1.0,,,,0.0,-0.0,-0.0,0.0
11,"Jan 11, 201",9 12:29:33 AM PST,Adjustment,MOL-295300,MOL-295300,FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,10.32
12,"Jan 11, 201",9 1:26:47 AM PST,Adjustment,MOL-295300,MOL-295300,FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,10.32
13,"Jan 11, 201",9 3:06:09 AM PST,Adjustment,MOL-295300,MOL-295300,FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,10.32
14,"Jan 11, 201",9 3:28:59 AM PST,Adjustment,,3MM-R1541(10),FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,0.0
15,"Jan 11, 201",9 6:05:24 AM PST,Adjustment,MOL-295300,MOL-295300,FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,10.32
16,"Jan 12, 201",9 4:03:22 AM PST,Adjustment,3MM-1527-2,3MM-1527-2,FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,4.3
17,"Jan 12, 201",9 4:05:10 AM PST,Adjustment,3MM-1539(X3),3MM-1539,FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,8.25
