,date,time,type,group-sku,sku,description,quantity,order city,order state,order postal,product sales,selling fees,fba fees,landing cost
0,03-Jan-19,2:24:04 PM PST,FBA Inventory Fee,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
1,03-Jan-19,2:24:04 PM PST,FBA Inventory Fee,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
2,04-Jan-19,1:32:23 PM PST,FBA Inventory Fee,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
3,07-Jan-19,5:31:30 PM PST,FBA Inventory Fee,,NAN,FBA Inventory Storage Fee,,,,,0.0,-0.0,-0.0,
4,"Jan 17, 201",9 6:49:56 PM PST,FBA Inventory Fee,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
5,"Jan 25, 201",9 8:23:19 PM PST,FBA Inventory Fee,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
6,"Jan 25, 201",9 8:23:19 PM PST,FBA Inventory Fee,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
7,"Jan 28, 201",9 5:53:03 PM PST,FBA Inventory Fee,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
8,"Jan 31, 201",9 1:41:51 PM PST,FBA Inventory Fee,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
9,"Jan 31, 201",9 1:41:51 PM PST,FBA Inventory Fee,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
10,07-Feb-19,5:38:37 PM PST,FBA Inventory Fee,,NAN,FBA Inventory Storage Fee,,,,,0.0,-0.0,-0.0,
11,07-Feb-19,6:34:51 PM PST,FBA Inventory Fee,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
12,07-Feb-19,6:34:51 PM PST,FBA Inventory Fee,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
13,07-Feb-19,6:34:54 PM PST,FBA Inventory Fee,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
14,08-Feb-19,1:20:19 PM PST,FBA Inventory Fee,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
15,"Feb 18, 201",9 3:03:54 PM PST,FBA Inventory Fee,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
16,"Feb 18, 201",9 3:03:54 PM PST,FBA Inventory Fee,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
17,"Feb 28, 201",9 1:59:07 AM PST,FBA Inventory Fee,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
18,06-Mar-19,4:30:46 AM PST,FBA Inventory Fee,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
