,date,time,type,group-sku,sku,description,quantity,order city,order state,order postal,product sales,selling fees,fba fees,landing cost
0,02-Jan-19,3:32:37 AM PST,Refund,MDL-NON80328,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1.0,Cincinnati,OH,45211,-7.75,-0.8,-5.99,3.43
1,03-Jan-19,9:57:14 AM PST,Refund,MCR-1577,MCR-1577,Xbox One Media Remote,1.0,Houston,TX,77027,-44.88,-7.18,-0.0,26.3
2,04-Jan-19,2:07:08 PM PST,Refund,3MM-2560(X2),3MM-2560(100),3M 2560 Red Dot Multi-Purpose Monitoring Electrode - Bag of 100,2.0,MEMPHIS,TN,38104-6603,-27.4,-6.56,-0.0,12.92
3,04-Jan-19,2:07:08 PM PST,Refund,3MM-2560(X2),3MM-2560(100),3M 2560 Red Dot Multi-Purpose Monitoring Electrode - Bag of 100,3.0,MEMPHIS,TN,38104-6603,-41.1,-0.0,-0.0,19.38
4,04-Jan-19,4:07:42 PM PST,Refund,3MM-2862(X2),3MM-2862(2),"3m 2862 Medipore H Soft Cloth Surgical Tape 2"" x 10 Yards - 2 Rolls",1.0,AVONDALE,AZ,85323-8404,-9.79,-0.94,-0.0,4.36
5,04-Jan-19,8:24:54 PM PST,Refund,3MM-2113,3MM-2113,"3M Littmann Classic II Pediatric Stethoscope, Black Tube, 28 inch, 2113",1.0,MERLIN,OR,97532-0473,-80.0,-7.68,-0.0,52.48
6,06-Jan-19,2:49:46 AM PST,Refund,3MM-1628,3MM-1628,"Tegaderm Transparent Dressing, 6 x 8 Inch, 10 Count",1.0,LONGWOOD,FL,32750-6807,-14.63,-1.75,-0.0,7.92
7,07-Jan-19,4:11:03 PM PST,Refund,3MM-1626W(10),3MM-1626W(10),"3M Tegaderm Transparent Film Dressing - 4"" x 4 3/4"" - Pack of 10",1.0,BROOKLYN,NY,11213-1803,-6.5,-0.8,-0.0,1.96
8,07-Jan-19,8:10:25 PM PST,Refund,3MM-2113,3MM-2113,"3M Littmann Classic II Pediatric Stethoscope, Black Tube, 28 inch, 2113",1.0,Newtown Square,PA,19073,-79.0,-6.76,-0.0,52.48
9,08-Jan-19,2:31:21 AM PST,Refund,3MM-2862(X3),3MM-2862(3),"3M Medipore H 2"" x 10 Yard Hypoallergenic Soft Cloth Surgical Tape, Special Pack of 3 Rolls, Item 2862",1.0,SAN JOSE,CA,95120-4517,-10.79,-1.03,-0.0,6.54
10,08-Jan-19,11:31:39 AM PST,Refund,3MM-1626W,3MM-1626W,"3M Tegaderm Transparent Dressing with Label 4"" x 4 3/4"" (10 x 12 cm)50 per Box #1626W",1.0,Tuolumne,CA,95379,-17.95,-2.15,-0.0,9.82
11,09-Jan-19,3:28:10 PM PST,Refund,3MM-2862(X2),3MM-2862(2),"3m 2862 Medipore H Soft Cloth Surgical Tape 2"" x 10 Yards - 2 Rolls",1.0,DES PLAINES,IL,60016-4844,-9.2,-0.88,-0.0,4.36
12,09-Jan-19,5:58:40 PM PST,Refund,3MM-5620,3MM-5620,"3M Littmann  Classic III Monitoring Stethoscope, Black Tube, 27 inch, 5620",1.0,Long Beach,CA,90803-2629,-81.5,-7.82,-0.0,60.46
13,"Jan 10, 201",9 6:10:53 AM PST,Refund,3MM-2113,3MM-2113,"3M Littmann Classic II Pediatric Stethoscope, Black Tube, 28 inch, 2113",1.0,WEBSTER,NY,14580-1122,-79.0,-6.76,-0.0,52.48
14,"Jan 11, 201",9 4:20:52 AM PST,Refund,SOT-140172,SOT-140172,Sothys Hydra3Ha Hydrating Youth Creme - 1.69 oz,1.0,Debrecen,Hajdu-Bihar County,4026,0.0,-0.0,-0.0,23.41
15,"Jan 12, 201",9 8:26:50 AM PST,Refund,3MM-2113R,3MM-2113R,"3M Littmann 2113R Classic II Pediatric Stethoscope, Red, 28 inch",1.0,KISSIMMEE,FL,34746-4716,-74.99,-7.2,-7.27,52.48
16,"Jan 13, 201",9 8:29:52 AM PST,Refund,3MM-2113R,3MM-2113R,"3M Littmann 2113R Classic II Pediatric Stethoscope, Red, 28 inch",1.0,MESA,AZ,85201-2553,-79.0,-7.58,-0.0,52.48
17,"Jan 13, 201",9 6:20:48 PM PST,Refund,MCR-1577,MCR-1577,Xbox One Media Remote,1.0,Fontana,CA,92336,-44.88,-7.18,-0.0,26.3
18,"Jan 14, 201",9 7:33:37 PM PST,Refund,3MM-2113R,3MM-2113R,"3M Littmann 2113R Classic II Pediatric Stethoscope, Red, 28 inch",1.0,MIAMI,FL,33166-2626,-74.99,-7.2,-0.0,52.48
19,"Jan 14, 201",9 11:41:14 PM PST,Refund,MOL-281000,MOL-281000,Mepilex Border Lite Dressing 1.6'' x 2'' Box of 10,2.0,BATON ROUGE,LA,70809-7426,-28.0,-3.36,-0.0,13.34
20,"Jan 15, 201",9 4:36:21 PM PST,Refund,WEL-52432-U,WEL-52432-U,"Welch Allyn Universal Kleenspec Pediatric Disposable Ear Specula for Diagnostic Otoscopes, 850 Count",1.0,GREENVILLE,SC,29607,-33.5,-4.02,-0.0,19.5
21,"Jan 16, 201",9 10:18:46 PM PST,Refund,3MM-2862(X2),3MM-2862(2),"3m 2862 Medipore H Soft Cloth Surgical Tape 2"" x 10 Yards - 2 Rolls",1.0,Higginsville,MO,64037,-9.83,-0.94,-0.0,4.36
22,"Jan 16, 201",9 10:29:55 PM PST,Refund,MOL-1443,MOL-1443-1,"Tubigrip Tubular Bandage Size C, 2.75"" (Medium Arms, Small Ankles), Natural, 10M Box",1.0,AMBLER,PA,19002-2310,-20.14,-1.94,-0.0,9.7
23,"Jan 17, 201",9 11:53:37 PM PST,Refund,3MM-2560(X2),3MM-2560(100),3M 2560 Red Dot Multi-Purpose Monitoring Electrode - Bag of 100,1.0,Dubai,United Emirates of Arab,191984,0.0,-0.0,-0.0,6.46
24,"Jan 18, 201",9 1:46:10 PM PST,Refund,MCR-1577,MCR-1577,Xbox One Media Remote,1.0,HOMESTEAD,FL,33035-2120,-44.88,-7.18,-0.0,26.3
25,"Jan 18, 201",9 1:47:15 PM PST,Refund,SOT-140176,SOT-140176,Sothys Hydra3Ha Intensive Hydrating Serum - 1.69 oz,1.0,Kelowna,British Columbia,V1Y 4A5,0.0,-0.0,-0.0,23.41
26,"Jan 18, 201",9 6:58:41 PM PST,Refund,3MM-1539(X3),3MM-1539,"Nexcare Opticlude Orthoptic Eye Patches, Regular Size, 20 Count Boxes (Pack of 3)",1.0,FRANKLIN,WI,53132-8042,-16.68,-2.0,-0.0,8.25
27,"Jan 19, 201",9 4:05:30 PM PST,Refund,MCR-1577,MCR-1577,Xbox One Media Remote,1.0,ASHBURN,VA,20147-3774,-45.0,-5.4,-0.0,26.3
28,"Jan 20, 201",9 1:37:15 AM PST,Refund,3MM-2560,3MM-2560(50),3m Red Dot Monitoring Electrode - Model 2560 - Bag of 50,1.0,Houston,Texas,77096,-7.75,-0.8,-0.0,3.23
29,"Jan 20, 201",9 12:50:30 PM PST,Refund,3MM-1626W(10),3MM-1626W(10),"3M Tegaderm Transparent Film Dressing - 4"" x 4 3/4"" - Pack of 10",1.0,ELK GROVE,CA,95624-9637,-6.09,-0.8,-0.0,1.96
30,"Jan 21, 201",9 5:23:03 PM PST,Refund,3MM-2862(X2),3MM-2862(2),"3m 2862 Medipore H Soft Cloth Surgical Tape 2"" x 10 Yards - 2 Rolls",1.0,AUGUSTA,GA,30909-2411,-9.56,-0.92,-0.0,4.36
31,"Jan 22, 201",9 7:53:33 PM PST,Refund,3MM-2862(X2),3MM-2862(2),"3m 2862 Medipore H Soft Cloth Surgical Tape 2"" x 10 Yards - 2 Rolls",1.0,Laurel,MT,59044,0.0,-0.0,-0.0,4.36
32,"Jan 23, 201",9 1:02:16 AM PST,Refund,3MM-1626W(25),3MM-1626W-25 PACK,3M Tegaderm 1626w Transparent Dressing 25 Pack,1.0,Carlsbad,CA,92010,-10.35,-1.24,-5.99,
33,"Jan 23, 201",9 6:11:26 PM PST,Refund,3MM-1539(X3),3MM-1539,"Nexcare Opticlude Orthoptic Eye Patches, Regular Size, 20 Count Boxes (Pack of 3)",1.0,BOCA RATON,FL,33498-4815,-16.68,-2.0,-0.0,8.25
34,"Jan 23, 201",9 7:54:21 PM PST,Refund,3MM-2863(X2),3MM-2863(2),"3m 2863 Medipore H Soft Cloth Surgical Tape 3"" x 10 Yards - 2 Rolls",1.0,JUPITER,FL,33458-8069,-10.4,-1.0,-0.0,4.72
35,"Jan 24, 201",9 2:11:35 PM PST,Refund,3MM-1539(X3),3MM-1539,"Nexcare Opticlude Orthoptic Eye Patches, Regular Size, 20 Count Boxes (Pack of 3)",1.0,Pachuca,Hidalgo,42040,-16.68,-2.0,-15.97,8.25
36,"Jan 25, 201",9 9:50:56 AM PST,Refund,SOT-140172,SOT-140172,Sothys Hydra3Ha Hydrating Youth Creme - 1.69 oz,1.0,Lac Beauport,Quebec,G3B 1L7,0.0,-0.0,-0.0,23.41
37,"Jan 26, 201",9 5:07:18 PM PST,Refund,MCR-1577,MCR-1577,Xbox One Media Remote,1.0,Cambridge,MA,2139,-44.88,-7.18,-0.0,26.3
38,"Jan 26, 201",9 10:05:20 PM PST,Refund,MOL-281000,MOL-281000,Mepilex Border Lite Dressing 1.6'' x 2'' Box of 10,1.0,LINDENHURST,NY,11757,-13.89,-1.66,-3.99,6.67
39,"Jan 28, 201",9 9:52:25 AM PST,Refund,MDL-NON80328,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1.0,MONROE,GA,30655-5972,-7.5,-0.8,-0.0,3.43
40,"Jan 28, 201",9 8:09:45 PM PST,Refund,WEL-52432-U,WEL-52432-U,"Welch Allyn Universal Kleenspec Pediatric Disposable Ear Specula for Diagnostic Otoscopes, 850 Count",1.0,DENTON,TX,76201-7002,-33.5,-4.02,-0.0,19.5
41,"Jan 29, 201",9 3:39:01 AM PST,Refund,3MM-1628,3MM-1628,"Tegaderm Transparent Dressing, 6 x 8 Inch, 10 Count",1.0,DAVIS,CA,95616-1835,-15.1,-1.82,-5.99,7.92
42,"Jan 29, 201",9 8:10:49 AM PST,Refund,3MM-1539(X3),3MM-1539,"Nexcare Opticlude Orthoptic Eye Patches, Regular Size, 20 Count Boxes (Pack of 3)",1.0,Fairfax,VA,22033,-16.98,-2.04,-0.0,8.25
43,"Jan 29, 201",9 10:54:24 PM PST,Refund,3MM-2864(X3),3MM-2864(3),"3M Medipore H Soft Cloth Surgical Tape - 4"" wide by 10 yards (3 Rolls)",1.0,HILTON HEAD ISLAND,SC,29928,-17.27,-2.07,-0.0,8.88
44,"Jan 30, 201",9 8:17:33 AM PST,Refund,SOT-140176,SOT-140176,Sothys Hyaluronic Acid Serum: Sothys Hydra 3Ha Hyaluronic Acid Intensive Hydrating Serum - Anti Aging Skin Care (1.69oz),1.0,Jupiter,FL,33478,-32.95,-3.95,-0.0,23.41
45,"Jan 31, 201",9 3:15:39 PM PST,Refund,MOL-1443,MOL-1443-1,"Tubigrip Tubular Bandage Size C, 2.75"" (Medium Arms, Small Ankles), Natural, 10M Box",1.0,Carol Stream,IL,60188-2223,-20.14,-1.94,-0.0,9.7
46,01-Feb-19,8:33:42 AM PST,Refund,SOT-140172,SOT-140172,Sothys Hydra3Ha Hydrating Youth Creme - 1.69 oz,1.0,Surrey,British Columbia,V3S 4B1,0.0,-0.0,-0.0,23.41
47,02-Feb-19,10:10:47 AM PST,Refund,3MM-R1547,3MM-R1547(50 PACK),"3M Steri-Strip Adhesive Skin Closures (Reinforced) 1/2"" x 4"" Box: 50",1.0,Hillsburgh,ON,N0B 1Z0,0.0,-0.0,-0.0,13.37
48,05-Feb-19,4:09:38 PM PST,Refund,MOL-281000,MOL-281000,Mepilex Border Lite Dressing 1.6'' x 2'' Box of 10,1.0,OAKLAND,CA,94601-1612,-13.89,-1.66,-0.0,6.67
49,06-Feb-19,8:50:56 AM PST,Refund,3MM-1626W(10),3MM-1626W(10),"3M Tegaderm Transparent Film Dressing - 4"" x 4 3/4"" - Pack of 10",2.0,RICHARDSON,TEXAS,75082-4717,-12.1,-1.6,-0.0,3.92
50,06-Feb-19,9:40:26 AM PST,Refund,3MM-2560(X2),3MM-2560(100),3M 2560 Red Dot Multi-Purpose Monitoring Electrode - Bag of 100,1.0,JUPITER,FL,33458-6330,-13.7,-1.31,-0.0,6.46
51,07-Feb-19,8:05:42 PM PST,Refund,MOL-295400,MOL-295400,SC295400EA - Mepilex Border Self-Adherent Foam Dressing 6 x 6,1.0,river grove,IL,60171,-43.5,-5.22,-0.0,16.37
52,08-Feb-19,8:11:40 AM PST,Refund,CON-187660,CON-187660-1,"Convatec Duoderm CGF Wound Dressing, 5 Count 4x4 10cm x 10cm",2.0,PITTSBURGH,PA,15237-3027,-25.18,-3.02,-0.0,14.4
53,09-Feb-19,5:14:50 AM PST,Refund,MDL-NON80328,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1.0,MAGNOLIA,NJ,08049-1125,-9.9,-0.95,-0.0,3.43
54,"Feb 10, 201",9 10:33:20 PM PST,Refund,MOL-295300,MOL-295300,"Mepilex Border Self-Adhesive Foam Dressings 4""x4"", Box of 5",1.0,Lineville,IA,50147,0.0,-0.0,-0.0,10.32
55,"Feb 11, 201",9 2:32:26 PM PST,Refund,3MM-1539(X3),3MM-1539,"Nexcare Opticlude Orthoptic Eye Patches, Regular Size, 20 Count Boxes (Pack of 3)",1.0,SAN JOSE,CA,95136-4606,-16.68,-2.0,-0.0,8.25
56,"Feb 13, 201",9 5:09:16 PM PST,Refund,3MM-1626W(10),3MM-1626W(10),"3M Tegaderm Transparent Film Dressing - 4"" x 4 3/4"" - Pack of 10",1.0,Orangeburg,SC,29115-9145,-6.07,-0.8,-0.0,1.96
57,"Feb 13, 201",9 8:55:10 PM PST,Refund,TOR-MS407W,TOR-MS407W(B),Skin-TacTM Adhesive Barrier Wipes 50 count,1.0,jonesborough,tn,37659,-12.03,-1.44,-0.0,5.62
58,"Feb 14, 201",9 2:44:01 PM PST,Refund,MOL-281200,MOL-281200-1,Molynlycke -Mepilex Border Lite - 3x3 - Box of 5,1.0,SNOHOMISH,WA,98290-7551,-14.0,-1.68,-0.0,7.15
59,"Feb 14, 201",9 5:16:12 PM PST,Refund,3MM-1539(X4),3MM-1539(20),"Nexcare Opticlude Orthoptic Eye Patches, Regular Size, 20-Count Boxes (Pack of 4)",1.0,Berkeley,CA,94720-4555-95,-20.51,-2.46,-0.0,11.0
60,"Feb 14, 201",9 9:29:04 PM PST,Refund,MDL-NON80328,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1.0,NORTH PLAINFIELD,NJ,07060-4916,-9.9,-0.95,-5.99,3.43
61,"Feb 15, 201",9 11:30:43 AM PST,Refund,3MM-1626W(10),3MM-1626W(10),"3M Tegaderm Transparent Film Dressing - 4"" x 4 3/4"" - Pack of 10",1.0,LEXINGTON,KY,40517-1227,-6.05,-0.8,-0.0,1.96
62,"Feb 15, 201",9 1:26:37 PM PST,Refund,3MM-R1548(5),3MM-R1548 (5),"3m Steri Strip Skin Closure - 1"" x 5"" - 4/Envelope - PACK OF 5",1.0,RANDOLPH,MA,02368-3123,-6.74,-0.8,-0.0,2.68
63,"Feb 16, 201",9 1:28:53 AM PST,Refund,3MM-1624W,3MM-1624W(B),"3M Tegaderm 1624W Transparent Film Dressing 2 3/8"" x 2 3/4"" - Window Frame Box: 100",1.0,COVINGTON,WA,98042-4933,-17.99,-2.16,-0.0,9.0
64,"Feb 16, 201",9 4:06:58 PM PST,Refund,3MM-R1546(5),3MM-R1546 (5),3M R1546 Steri-Strip Adhesive Skin Closures-Reinforced 5packs of 10 (50 strips),1.0,CHAMPIONS GATE,FL,33896-8146,-5.6,-0.8,-0.0,1.33
65,"Feb 17, 201",9 10:46:04 AM PST,Refund,3MM-1626W,3MM-1626W(B),"3m Tegaderm Transparent Film Dressing 4"" x 4.75""/Picture Frame Style/Box of 50",1.0,MIAMI,FL,33130-3139,-20.0,-2.4,-0.0,9.82
66,"Feb 18, 201",9 1:29:45 AM PST,Refund,3MM-R1547(10),3MM-R1547(10),"3M Steri-Strip reinforced Skin Closures - 1/2"" x 4"" - 10 pack of 6 strip envelope (60 strips)",1.0,LYNNWOOD,WA,98087-5913,-7.05,-0.85,-0.0,2.67
67,"Feb 18, 201",9 4:48:02 PM PST,Refund,MDL-NON80328,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1.0,HOPKINS,MN,55343-8252,0.0,-0.0,-0.0,3.43
68,"Feb 20, 201",9 2:15:52 PM PST,Refund,MDL-NON80328,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1.0,NORCO,CA,92860-4135,-9.9,-0.95,-0.0,3.43
69,"Feb 21, 201",9 1:47:31 AM PST,Refund,MDL-NON80328,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1.0,PANACA,NV,89042-2314,-9.9,-0.9,-0.0,3.43
70,"Feb 21, 201",9 4:26:30 PM PST,Refund,SOT-140174,SOT-140174,Sothys Hydra 3Ha Hyaluronic Acid Hydrating Gel-Cream - 1.7 oz,1.0,CHARLOTTE,NC,28211-2091,-44.97,-5.4,-0.0,23.41
71,"Feb 21, 201",9 4:57:30 PM PST,Refund,3MM-R1540(10),3MM-R1540 (10),3M STERI STRIP SKIN CLOSURES 1/8'' X 3'' 10 PKG/5,1.0,Sylvan Grove,Ks,67481,-5.39,-0.8,-0.0,1.71
72,"Feb 22, 201",9 5:19:46 PM PST,Refund,MDL-NON80328,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1.0,HOUSE SPRINGS,MO,63051-2152,-9.9,-0.95,-0.0,3.43
