,date,time,type,group-sku,sku,description,quantity,order city,order state,order postal,product sales,selling fees,fba fees,landing cost
0,07-Jan-19,4:58:39 PM PST,Transfer,,NAN,"To your account ending in: 8217, Bank Transfer ID: 10370IA00009GD, GB707019PL0PE4ZK",,,,,0.0,-0.0,-0.0,
1,"Jan 21, 201",9 5:06:40 PM PST,Transfer,,NAN,"To your account ending in: 8217, Bank Transfer ID: 103L0H500002GD, GB721019OH1ZHGJK",,,,,0.0,-0.0,-0.0,
2,04-Feb-19,5:08:06 PM PST,Transfer,,NAN,"To your account ending in: 8217, Bank Transfer ID: 103Z0HX0000CGD, GB704029NF39KPMO",,,,,0.0,-0.0,-0.0,
3,"Feb 18, 201",9 5:01:29 PM PST,Transfer,,NAN,"To your account ending in: 8217, Bank Transfer ID: 103D1FE0000GGD, GB718029OH4JO2TC",,,,,0.0,-0.0,-0.0,
4,04-Mar-19,5:00:53 PM PST,Transfer,,NAN,"To your account ending in: 8217, Bank Transfer ID: 103R1I200006GD, GB704039PO5TRIO1",,,,,0.0,-0.0,-0.0,
5,"Mar 18, 201",9 5:54:05 PM PDT,Transfer,,NAN,"To your account ending in: 8217, Bank Transfer ID: 10352HA00001GD, GB718039ON73UKOW",,,,,0.0,-0.0,-0.0,
6,01-Apr-19,5:49:02 PM PDT,Transfer,,NAN,"To your account ending in: 8217, Bank Transfer ID: 103J2IQ0000DGD, GB701049OO8DXV7K",,,,,0.0,-0.0,-0.0,
7,"Apr 29, 201",9 6:01:20 PM PDT,Transfer,,NAN,"To your account ending in: 8217, Bank Transfer ID: 103B3JG00001GD, GB729049NTAY4EIO",,,,,0.0,-0.0,-0.0,
8,"May 13, 201",9 5:52:06 PM PDT,Transfer,,NAN,"To your account ending in: 8217, Bank Transfer ID: 103P3XQ00001GD, GB713059NIC861XC",,,,,0.0,-0.0,-0.0,
9,"May 27, 201",9 6:10:21 PM PDT,Transfer,,NAN,"To your account ending in: 8217, Bank Transfer ID: 11334J600002GD, GB727059NDDI9CJK",,,,,0.0,-0.0,-0.0,
10,"Jun 10, 201",9 6:16:47 PM PDT,Transfer,,NAN,"To your account ending in: 8217, Bank Transfer ID: 113H4KI00001GD, GB710069POESCUWW",,,,,0.0,-0.0,-0.0,
11,"Jun 24, 201",9 6:13:05 PM PDT,Transfer,,NAN,"To your account ending in: 8217, Bank Transfer ID: 113V4DQ00001GD, GB724069QVG2FOZK",,,,,0.0,-0.0,-0.0,
12,08-Jul-19,6:03:52 PM PDT,Transfer,,NAN,"To your account ending in: 8217, Bank Transfer ID: 11395DK00004GD, GB708079NFHCIXHC",,,,,0.0,-0.0,-0.0,
13,"Jul 22, 201",9 6:00:58 PM PDT,Transfer,,NAN,"To your account ending in: 8217, Bank Transfer ID: 113N5HZ00001GD, GB722079OMIMM7Y8",,,,,0.0,-0.0,-0.0,
14,05-Aug-19,6:05:55 PM PDT,Transfer,,NAN,"To your account ending in: 8217, Bank Transfer ID: 11316HV00001GD, GB705089R6JWPGE8",,,,,0.0,-0.0,-0.0,
15,"Aug 19, 201",9 5:53:16 PM PDT,Transfer,,NAN,"To your account ending in: 8217, Bank Transfer ID: 113F6HQ00002GD, GB719089PLL6SQ9S",,,,,0.0,-0.0,-0.0,
16,02-Sep-19,6:15:48 PM PDT,Transfer,,NAN,"To your account ending in: 8217, Bank Transfer ID: 113T6GT00003GD, GB702099PLMGW001",,,,,0.0,-0.0,-0.0,
17,"Sep 16, 201",9 5:54:03 PM PDT,Transfer,,NAN,"To your account ending in: 8217, Bank Transfer ID: 11377IP00001GD, GB716099PRNQZ8LC",,,,,0.0,-0.0,-0.0,
18,"Sep 30, 201",9 5:57:13 PM PDT,Transfer,,NAN,"To your account ending in: 8217, Bank Transfer ID: 113L7KU00001GD, GB730099PRP12X6O",,,,,0.0,-0.0,-0.0,
19,"Oct 14, 201",9 6:16:37 PM PDT,Transfer,,NAN,"To your account ending in: 8217, Bank Transfer ID: 113Z7F100002GD, GB714109PNQB5TVK",,,,,0.0,-0.0,-0.0,
20,"Oct 28, 201",9 7:03:32 PM PDT,Transfer,,NAN,"To your account ending in: 8217, Bank Transfer ID: 113D8IS00001GD, GB728109PQRL92TC",,,,,0.0,-0.0,-0.0,
