SKU,Rank,name,special1,shippingPrice,special2,special3,special4,special5
,1,Tradent Supply,$98.95,FREE Std. Shipping,0,0,0,0
,2,Top Dent,$98.98,FREE Std. Shipping,0,0,0,0
,3,First Dent Supply,$106.43,FREE Std. Shipping,0,0,0,0
,4,River Dental Supplies,$106.45,FREE Std. Shipping,0,0,0,0
,5,LV Dental Supply,$121.50,FREE Std. Shipping,7 @ $104.74,0,0,0
,6,Medical Dental Max,$117.50,+ $4.00 Std. Shipping,2 @ $112.00,Special: 3 @ $104.70,,0
,7,Dental Wholesale Direct,$137.99,FREE Std. Shipping,0,0,0,0
,8,Wisdom Dental Supply,$159.99,FREE Std. Shipping,0,0,0,0
,9,DDI Supply,$160.00,FREE Std. Shipping,0,0,0,0
,10,IDS,$179.99,+ $6.95 Std. Shipping,0,0,0,0
,11,PA Dental,$299.00,FREE Std. Shipping,0,0,0,0
