,vendor,date,order id,country,order city,order state,product brand,item,quantity,revenue,total cost,profit,return on sales,item description
45590,net32,01/02/2019,12927,USA,Mount Airy,NC,KERR,KER-36052(EU),2,162,81.06,80.94,0.49962963,KERR SONICFILL 2 UNIDOSE REFILL A2 20/PK                    
45591,net32,01/02/2019,12926,USA,Houston,TX,SHOFU,SHO-0244,4,63,36.12,26.88,0.426666667,SHOFU DURA-WHITE STONES FG FL2                              
45592,net32,01/02/2019,12926,USA,Houston,TX,KERR,KER-35129,2,55.9,41.66,14.24,0.254740608,KERR OPTIBOND ALL IN ONE SELF ETCH 6ML                      
45593,net32,01/02/2019,12935,USA,Houston,TX,3M ESPE,3MD-5905A2,2,84,55.96,28.04,0.333809524,3M ESPE Z100 RESTORATIVE CAPSULE A2                         
45594,net32,01/02/2019,12931,USA,Scottsdale,AZ,KURARAY,KUR-1981-KA,1,91.5,65.03,26.47,0.289289617,KURARAY CLEARFIL SE BOND LIQUID REFILL 5ML                  
45595,net32,01/02/2019,12933,USA,Prairieville,LA,KERR,KER-29835(EU),2,71.8,47.96,23.84,0.332033426,KERR HERCULITE XRV UNIDOSE ENAMEL A1 20/BX
45596,net32,01/02/2019,12933,USA,Prairieville,LA,KERR,KER-29837(EU),2,68.4,47.96,20.44,0.298830409,KERR HERCULITE XRV UNIDOSE ENAMEL A3 20/BX                  
45597,net32,01/02/2019,12934,USA,Durham,NC,DENTSPLY,DEN-610007,1,44,22.48,21.52,0.489090909,DENTSPLY IRM IVORY COMPLETE-KIT                             
45598,net32,01/02/2019,12909,USA,Woonsocket,RI,3M ESPE,3MD-41258(E),4,180,120,60,0.333333333,3M ESPE SCOTCHBOND UNIVERSAL ADHESIVE
45599,net32,01/02/2019,12911,USA,Bellingham,WA,DENTSPLY,DEN-80395,4,492,279.4,212.6,0.432113821,DENTSPLY CAVITRON 30K FSI SLI-10S                           
45600,net32,01/02/2019,12923,USA,Beaverton,OR,BEAVER,BEA-FG245,1,88,58.96,29.04,0.33,BEAVER BURS FG245 100/PK                                    
45601,net32,01/02/2019,12930,USA,Spanaway,WA,DENTSPLY,DEN-678775,1,74.9,48.52,26.38,0.352202937,DENTSPLY AQUASIL ULTRA REFILLS HEAVY REGULAR SET            
45602,net32,01/02/2019,12917,USA,Sylmar,CA,3M ESPE,3MD-56877,2,200,82.58,117.42,0.5871,3M ESPE RELY X U200 TRANSLUCENT CLICKER                     
45603,net32,01/02/2019,12917,USA,Sylmar,CA,3M ESPE,3MD-56878,2,152,78.38,73.62,0.484342105,3M ESPE RELY X U200 A2 UNIVERSAL CLICKER
45604,net32,01/02/2019,12915,USA,Stockton,CA,KROMOPAN,KRO-KRM302,20,130,77.4,52.6,0.404615385,KROMOPAN ALGINATE 100 1LN BAG                               
45605,net32,01/02/2019,12924,USA,Oklahoma City,OK,PREMIER(MISC),PRE-9007093,2,150.9,117.2,33.7,0.223326706,PREMIER HEMODENT TRAXODENT PASTE STARTER PACK              
45606,net32,01/02/2019,12914,USA,Cary,NC,DENTSPLY,DEN-610007,2,87.96,44.96,43,0.488858572,DENTSPLY IRM IVORY COMPLETE-KIT                             
45607,net32,01/02/2019,12921,USA,Red Bank,NJ,SULTAN,SUL-21115,1,110,51.82,58.18,0.528909091,SULTAN DENTAL PUREVAC 5 LITRE BOTTLE                        
45608,net32,01/02/2019,12906,USA,Lake Forest,CA,SHOFU,SHO-1754,2,101.8,58.94,42.86,0.421021611,SHOFU BEAUTIFUL II TIPS A3                                  
45609,net32,01/02/2019,12908,USA,Cupertino,CA,3M ESPE,3MD-6020A2(E),10,234,141.7,92.3,0.394444444,3M ESPE FILTEK Z250 SYRINGE A2                              
45610,net32,01/02/2019,12905,USA,Stephenville,TX,SHOFU,SHO-1753,3,148.5,88.41,60.09,0.404646465,SHOFU BEAUTIFUL II TIPS A2                                  
45611,net32,01/02/2019,12903,USA,Los Angeles,CA,SHOFU,SHO-0108,4,96,35.84,60.16,0.626666667,SHOFU DURA-GREEN STONES FG RD2                              
45612,net32,01/02/2019,12903,USA,Los Angeles,CA,J&J ,J&J-MS0005,3,66,36.54,29.46,0.446363636,J&J ETHICON SPONGOSTAN SPONGES GELATINE 24/BX
45613,net32,01/02/2019,12913,USA,Carmichael,CA,VIVADENT,VIV-590332,4,241.96,195.96,46,0.190114068,VIVADENT TETRIC EVOCERAM CAVIFIL CAPS A2 20/BX              
45614,net32,01/02/2019,12925,USA,Roanoke,VA,SS WHITE,SSW-15121-5,6,154.14,102.48,51.66,0.335149864,SS WHITE BURS 12 BLADE T&F FG7901 (5/PK)                    
45615,net32,01/02/2019,12932,USA,Norwich,CT,KURARAY,KUR-3384-KA,3,285,154.14,130.86,0.459157895,KURARAY PANAVIA  SA PLUS STANDARD KIT TRANSLUCENT           
45616,net32,01/02/2019,12922,USA,Los Gatos,CA,SHOFU,SHO-L508,4,50.8,28.92,21.88,0.430708661,SHOFU SUPER SNAP DISKS FINISHING                            
45617,net32,01/02/2019,12922,USA,Los Gatos,CA,3M ESPE,3MD-6020UD(E),2,67.8,28.16,39.64,0.584660767,3M ESPE FILTEK Z250 SYRINGE UD                              
45618,net32,01/02/2019,12922,USA,Los Gatos,CA,3M ESPE,3MD-6020A3.5(E),2,50.8,28.34,22.46,0.442125984,3M ESPE FILTEK Z250 SYRINGE A3.5                            
45619,net32,01/02/2019,12922,USA,Los Gatos,CA,PREMIER(MISC),PRE-9061109,1,33.2,19.64,13.56,0.408433735,Premier Sycamore Wedges Mini Light Blue 400/BxÂ Â Â Â Â Â Â Â Â Â Â Â Â 
45620,net32,01/02/2019,12922,USA,Los Gatos,CA,J&J ,J&J-MS0005,1,24.2,12.18,12.02,0.496694215,J&J ETHICON SPONGOSTAN SPONGES GELATINE 24/BX
45621,net32,01/02/2019,12922,USA,Los Gatos,CA,3M ESPE,3MD-6020A4(E),1,27.2,14.17,13.03,0.479044118,3M ESPE FILTEK Z250 SYRINGE A4                              
45622,net32,01/02/2019,12922,USA,Los Gatos,CA,3M ESPE,3MD-6020A3(E),1,28,14.17,13.83,0.493928571,3M Espe Filtek Z250 Syringe A3                              
