date,order id,country,order city,order state,item,quantity,revenue,total cost,profit,return on sale
01/02/2019,12927,USA,Mount Airy,NC,KER-36052(EU),2,162,81.06,80.94,0.49962963
01/02/2019,12926,USA,Houston,TX,SHO-0244,4,63,36.12,26.88,0.426666667
01/02/2019,12926,USA,Houston,TX,KER-35129,2,55.9,41.66,14.24,0.254740608
01/02/2019,12935,USA,Houston,TX,3MD-5905A2,2,84,55.96,28.04,0.333809524
01/02/2019,12931,USA,Scottsdale,AZ,KUR-1981-KA,1,91.5,65.03,26.47,0.289289617
01/02/2019,12933,USA,Prairieville,LA,KER-29835(EU),2,71.8,47.96,23.84,0.332033426
01/02/2019,12933,USA,Prairieville,LA,KER-29837(EU),2,68.4,47.96,20.44,0.298830409
01/02/2019,12934,USA,Durham,NC,DEN-610007,1,44,22.48,21.52,0.489090909
01/02/2019,12909,USA,Woonsocket,RI,3MD-41258(E),4,180,120,60,0.333333333
01/02/2019,12911,USA,Bellingham,WA,DEN-80395,4,492,279.4,212.6,0.432113821
01/02/2019,12923,USA,Beaverton,OR,BEA-FG245,1,88,58.96,29.04,0.33
01/02/2019,12930,USA,Spanaway,WA,DEN-678775,1,74.9,48.52,26.38,0.352202937
01/02/2019,12917,USA,Sylmar,CA,3MD-56877,2,200,82.58,117.42,0.5871
01/02/2019,12917,USA,Sylmar,CA,3MD-56878,2,152,78.38,73.62,0.484342105
01/02/2019,12915,USA,Stockton,CA,KRO-KRM302,20,130,77.4,52.6,0.404615385
01/02/2019,12924,USA,Oklahoma City,OK,PRE-9007093,2,150.9,117.2,33.7,0.223326706
01/02/2019,12914,USA,Cary,NC,DEN-610007,2,87.96,44.96,43,0.488858572
01/02/2019,12921,USA,Red Bank,NJ,SUL-21115,1,110,51.82,58.18,0.528909091
01/02/2019,12906,USA,Lake Forest,CA,SHO-1754,2,101.8,58.94,42.86,0.421021611
01/02/2019,12908,USA,Cupertino,CA,3MD-6020A2(E),10,234,141.7,92.3,0.394444444
01/02/2019,12905,USA,Stephenville,TX,SHO-1753,3,148.5,88.41,60.09,0.404646465
01/02/2019,12903,USA,Los Angeles,CA,SHO-0108,4,96,35.84,60.16,0.626666667
01/02/2019,12903,USA,Los Angeles,CA,J&J-MS0005,3,66,36.54,29.46,0.446363636
01/02/2019,12913,USA,Carmichael,CA,VIV-590332,4,241.96,195.96,46,0.190114068
01/02/2019,12925,USA,Roanoke,VA,SSW-15121-5,6,154.14,102.48,51.66,0.335149864
01/02/2019,12932,USA,Norwich,CT,KUR-3384-KA,3,285,154.14,130.86,0.459157895
01/02/2019,12922,USA,Los Gatos,CA,SHO-L508,4,50.8,28.92,21.88,0.430708661
01/02/2019,12922,USA,Los Gatos,CA,3MD-6020UD(E),2,67.8,28.16,39.64,0.584660767
01/02/2019,12922,USA,Los Gatos,CA,3MD-6020A3.5(E),2,50.8,28.34,22.46,0.442125984
01/02/2019,12922,USA,Los Gatos,CA,PRE-9061109,1,33.2,19.64,13.56,0.408433735
01/02/2019,12922,USA,Los Gatos,CA,J&J-MS0005,1,24.2,12.18,12.02,0.496694215
01/02/2019,12922,USA,Los Gatos,CA,3MD-6020A4(E),1,27.2,14.17,13.03,0.479044118
01/02/2019,12922,USA,Los Gatos,CA,3MD-6020A3(E),1,28,14.17,13.83,0.493928571
