,Unnamed: 0,vendor,date,order id,country,order city,order state,product brand,item,quantity,revenue,total cost,profit,return on sales,item description
0,45590,net32,2019-01-02,12927,USA,Mount Airy,NC,KERR,KER-36052(EU),2,162.0,81.06,80.94,0.49962963,KERR SONICFILL 2 UNIDOSE REFILL A2 20/PK                    
1,45591,net32,2019-01-02,12926,USA,Houston,TX,SHOFU,SHO-0244,4,63.0,36.12,26.88,0.42666666700000005,SHOFU DURA-WHITE STONES FG FL2                              
2,45592,net32,2019-01-02,12926,USA,Houston,TX,KERR,KER-35129,2,55.9,41.66,14.24,0.25474060800000004,KERR OPTIBOND ALL IN ONE SELF ETCH 6ML                      
3,45593,net32,2019-01-02,12935,USA,Houston,TX,3M ESPE,3MD-5905A2,2,84.0,55.96,28.04,0.33380952399999997,3M ESPE Z100 RESTORATIVE CAPSULE A2                         
4,45594,net32,2019-01-02,12931,USA,Scottsdale,AZ,KURARAY,KUR-1981-KA,1,91.5,65.03,26.47,0.289289617,KURARAY CLEARFIL SE BOND LIQUID REFILL 5ML                  
5,45595,net32,2019-01-02,12933,USA,Prairieville,LA,KERR,KER-29835(EU),2,71.8,47.96,23.84,0.332033426,KERR HERCULITE XRV UNIDOSE ENAMEL A1 20/BX
6,45596,net32,2019-01-02,12933,USA,Prairieville,LA,KERR,KER-29837(EU),2,68.4,47.96,20.44,0.29883040899999996,KERR HERCULITE XRV UNIDOSE ENAMEL A3 20/BX                  
7,45597,net32,2019-01-02,12934,USA,Durham,NC,DENTSPLY,DEN-610007,1,44.0,22.48,21.52,0.48909090899999996,DENTSPLY IRM IVORY COMPLETE-KIT                             
8,45598,net32,2019-01-02,12909,USA,Woonsocket,RI,3M ESPE,3MD-41258(E),4,180.0,120.0,60.0,0.333333333,3M ESPE SCOTCHBOND UNIVERSAL ADHESIVE
9,45599,net32,2019-01-02,12911,USA,Bellingham,WA,DENTSPLY,DEN-80395,4,492.0,279.4,212.6,0.432113821,DENTSPLY CAVITRON 30K FSI SLI-10S                           
10,45600,net32,2019-01-02,12923,USA,Beaverton,OR,BEAVER,BEA-FG245,1,88.0,58.96,29.04,0.33,BEAVER BURS FG245 100/PK                                    
11,45601,net32,2019-01-02,12930,USA,Spanaway,WA,DENTSPLY,DEN-678775,1,74.9,48.52,26.38,0.35220293700000005,DENTSPLY AQUASIL ULTRA REFILLS HEAVY REGULAR SET            
12,45602,net32,2019-01-02,12917,USA,Sylmar,CA,3M ESPE,3MD-56877,2,200.0,82.58,117.42,0.5871,3M ESPE RELY X U200 TRANSLUCENT CLICKER                     
13,45603,net32,2019-01-02,12917,USA,Sylmar,CA,3M ESPE,3MD-56878,2,152.0,78.38,73.62,0.484342105,3M ESPE RELY X U200 A2 UNIVERSAL CLICKER
14,45604,net32,2019-01-02,12915,USA,Stockton,CA,KROMOPAN,KRO-KRM302,20,130.0,77.4,52.6,0.404615385,KROMOPAN ALGINATE 100 1LN BAG                               
15,45605,net32,2019-01-02,12924,USA,Oklahoma City,OK,PREMIER(MISC),PRE-9007093,2,150.9,117.2,33.7,0.223326706,PREMIER HEMODENT TRAXODENT PASTE STARTER PACK              
16,45606,net32,2019-01-02,12914,USA,Cary,NC,DENTSPLY,DEN-610007,2,87.96,44.96,43.0,0.48885857200000005,DENTSPLY IRM IVORY COMPLETE-KIT                             
17,45607,net32,2019-01-02,12921,USA,Red Bank,NJ,SULTAN,SUL-21115,1,110.0,51.82,58.18,0.528909091,SULTAN DENTAL PUREVAC 5 LITRE BOTTLE                        
18,45608,net32,2019-01-02,12906,USA,Lake Forest,CA,SHOFU,SHO-1754,2,101.8,58.94,42.86,0.421021611,SHOFU BEAUTIFUL II TIPS A3                                  
19,45609,net32,2019-01-02,12908,USA,Cupertino,CA,3M ESPE,3MD-6020A2(E),10,234.0,141.7,92.3,0.394444444,3M ESPE FILTEK Z250 SYRINGE A2                              
20,45610,net32,2019-01-02,12905,USA,Stephenville,TX,SHOFU,SHO-1753,3,148.5,88.41,60.09,0.404646465,SHOFU BEAUTIFUL II TIPS A2                                  
21,45611,net32,2019-01-02,12903,USA,Los Angeles,CA,SHOFU,SHO-0108,4,96.0,35.84,60.16,0.6266666670000001,SHOFU DURA-GREEN STONES FG RD2                              
22,45612,net32,2019-01-02,12903,USA,Los Angeles,CA,J&J ,J&J-MS0005,3,66.0,36.54,29.46,0.446363636,J&J ETHICON SPONGOSTAN SPONGES GELATINE 24/BX
23,45613,net32,2019-01-02,12913,USA,Carmichael,CA,VIVADENT,VIV-590332,4,241.96,195.96,46.0,0.190114068,VIVADENT TETRIC EVOCERAM CAVIFIL CAPS A2 20/BX              
24,45614,net32,2019-01-02,12925,USA,Roanoke,VA,SS WHITE,SSW-15121-5,6,154.14,102.48,51.66,0.33514986399999996,SS WHITE BURS 12 BLADE T&F FG7901 (5/PK)                    
25,45615,net32,2019-01-02,12932,USA,Norwich,CT,KURARAY,KUR-3384-KA,3,285.0,154.14,130.86,0.459157895,KURARAY PANAVIA  SA PLUS STANDARD KIT TRANSLUCENT           
26,45616,net32,2019-01-02,12922,USA,Los Gatos,CA,SHOFU,SHO-L508,4,50.8,28.92,21.88,0.430708661,SHOFU SUPER SNAP DISKS FINISHING                            
27,45617,net32,2019-01-02,12922,USA,Los Gatos,CA,3M ESPE,3MD-6020UD(E),2,67.8,28.16,39.64,0.584660767,3M ESPE FILTEK Z250 SYRINGE UD                              
28,45618,net32,2019-01-02,12922,USA,Los Gatos,CA,3M ESPE,3MD-6020A3.5(E),2,50.8,28.34,22.46,0.44212598399999997,3M ESPE FILTEK Z250 SYRINGE A3.5                            
29,45619,net32,2019-01-02,12922,USA,Los Gatos,CA,PREMIER(MISC),PRE-9061109,1,33.2,19.64,13.56,0.408433735,Premier Sycamore Wedges Mini Light Blue 400/BxÂ Â Â Â Â Â Â Â Â Â Â Â Â 
30,45620,net32,2019-01-02,12922,USA,Los Gatos,CA,J&J ,J&J-MS0005,1,24.2,12.18,12.02,0.496694215,J&J ETHICON SPONGOSTAN SPONGES GELATINE 24/BX
31,45621,net32,2019-01-02,12922,USA,Los Gatos,CA,3M ESPE,3MD-6020A4(E),1,27.2,14.17,13.03,0.47904411799999996,3M ESPE FILTEK Z250 SYRINGE A4                              
32,45622,net32,2019-01-02,12922,USA,Los Gatos,CA,3M ESPE,3MD-6020A3(E),1,28.0,14.17,13.83,0.49392857100000004,3M Espe Filtek Z250 Syringe A3                              
33,45623,net32,2019-01-02,12925,USA,Roanoke,VA,SS WHITE,SSW-15092-5,2,67.1,33.98,33.12,0.493591654,SS WHITE BURS TRIM & FINISHING FG7803 (5/PK)                
34,45624,net32,2019-01-02,12916,USA,Murfreesboro,TN,3M ESPE,3MD-56878,5,380.0,195.95,184.05,0.484342105,3M ESPE RELY X U200 A2 UNIVERSAL CLICKER
35,45625,net32,2019-01-02,12920,USA,La Quinta,CA,3M ESPE,3MD-7312,2,100.0,70.94,29.06,0.2906,3M ESPE EXPRESS PUTTY                                       
36,45626,net32,2019-01-02,12918,USA,Redmond,WA,3M ESPE,3MD-41258(E),2,90.0,60.0,30.0,0.333333333,3M ESPE SCOTCHBOND UNIVERSAL ADHESIVE
37,45627,net32,2019-01-02,12906,USA,Lake Forest,CA,SHOFU,SHO-1753,2,99.0,58.94,40.06,0.404646465,SHOFU BEAUTIFUL II TIPS A2                                  
38,45628,net32,2019-01-02,12927,USA,Mount Airy,NC,KERR,KER-36053(EU),2,141.4,81.06,60.34,0.42673267299999995,KERR SONICFILL 2 UNIDOSE REFILL A3 20/PK                    
39,45629,net32,2019-01-02,12928,USA,Auburn,NY,KROMOPAN,KRO-KRM302,10,65.0,38.7,26.3,0.404615385,KROMOPAN ALGINATE 100 1LN BAG                               
40,45630,net32,2019-01-02,12919,USA,Columbia,MO,DENTSPLY,DEN-80395,6,738.0,419.1,318.9,0.432113821,DENTSPLY CAVITRON 30K FSI SLI-10S                           
41,45631,net32,2019-01-02,12912,USA,Towson,MD,PARKELL ,PAR-S017,3,64.8,47.79,17.01,0.2625,PARKELL  ACCUFILM II RED/BLACK                              
42,45632,net32,2019-01-02,12910,USA,Sunnyvale,CA,KURARAY,KUR-1970-KA(E),1,97.94,68.46,29.48,0.30100061300000003,KURARAY CLEARFIL SE BOND KIT                                
43,45633,net32,2019-01-02,12912,USA,Towson,MD,SHOFU,SHO-L507,6,84.9,39.12,45.78,0.539222615,SHOFU SUPER SNAP DISKS CONTOURING BLACK SSD                 
44,45634,net32,2019-01-02,12912,USA,Towson,MD,SHOFU,SHO-L519,5,75.0,32.75,42.25,0.563333333,SHOFU SUPER SNAP DISKS POLISHING DARK GREEN MINI            
45,45635,net32,2019-01-02,12910,USA,Sunnyvale,CA,DENTSPLY,DEN-610007,2,87.96,44.96,43.0,0.48885857200000005,DENTSPLY IRM IVORY COMPLETE-KIT                             
46,45636,net32,2019-01-02,12912,USA,Towson,MD,SHOFU,SHO-L506,3,42.3,19.56,22.74,0.5375886520000001,SHOFU SUPER SNAP DISKS CONTOURING                           
47,45637,net32,2019-01-02,12910,USA,Sunnyvale,CA,3M ESPE,3MD-7510,3,140.97,90.51,50.46,0.3579485,3M ESPE VITREBOND INTRODUCTORY KIT                          
48,45638,net32,2019-01-03,12966,USA,Colorado Springs,CO,SS WHITE,SSW-13095,2,399.98,282.78,117.2,0.293014651,SS WHITE BURS FG GW2 (100/PK)                               
49,45639,net32,2019-01-03,12954,USA,Midlothian,VA,3M ESPE,3MD-6020A2(E),3,72.0,42.51,29.49,0.409583333,3M ESPE FILTEK Z250 SYRINGE A2                              
50,45640,net32,2019-01-03,12973,USA,Castle Dale,UT,KURARAY,KUR-1970-KA(E),1,97.94,68.46,29.48,0.30100061300000003,KURARAY CLEARFIL SE BOND KIT                                
51,45641,net32,2019-01-03,12967,USA,Hopewell Junction,NY,3M ESPE,3MD-41258(E),4,180.0,120.0,60.0,0.333333333,3M ESPE SCOTCHBOND UNIVERSAL ADHESIVE
52,45642,net32,2019-01-03,12960,USA,Everett,WA,KROMOPAN,KRO-KRM302,12,78.0,46.44,31.56,0.404615385,KROMOPAN ALGINATE 100 1LN BAG                               
53,45643,net32,2019-01-03,12942,USA,Fleming Island,FL,KURARAY,KUR-1970-KA(E),1,97.94,68.46,29.48,0.30100061300000003,KURARAY CLEARFIL SE BOND KIT                                
54,45644,net32,2019-01-03,12972,USA,Phoenix,AZ,KURARAY,KUR-3303-KA,1,46.0,29.37,16.63,0.361521739,
55,45645,net32,2019-01-03,12979,USA,Hercules,CA,KURARAY,KUR-1970-KA(E),1,97.94,68.46,29.48,0.30100061300000003,KURARAY CLEARFIL SE BOND KIT                                
56,45646,net32,2019-01-03,12974,USA,Indianapolis,IN,3M ESPE,3MD-6020A2(E),1,27.0,14.17,12.83,0.475185185,3M ESPE FILTEK Z250 SYRINGE A2                              
57,45647,net32,2019-01-03,12955,USA,Toms River,NJ,3M ESPE,3MD-41258(E),2,90.0,60.0,30.0,0.333333333,3M ESPE SCOTCHBOND UNIVERSAL ADHESIVE
58,45648,net32,2019-01-03,12968,USA,Kenai,AK,3M ESPE,3MD-5905A3,10,420.0,279.8,140.2,0.33380952399999997,3M ESPE Z100 RESTORATIVE CAPSULE A3                         
59,45649,net32,2019-01-03,12957,USA,Perrysburg,OH,3M ESPE,3MD-5905A2,5,210.0,139.9,70.1,0.33380952399999997,3M ESPE Z100 RESTORATIVE CAPSULE A2                         
60,45650,net32,2019-01-03,12980,USA,Leesburg,VA,VIVADENT,VIV-590332,3,181.47,146.97,34.5,0.190114068,VIVADENT TETRIC EVOCERAM CAVIFIL CAPS A2 20/BX              
61,45651,net32,2019-01-03,12977,USA,Conway,AR,KEYSTONE/BOSWORTH,NKY-921896,3,24.9,11.1,13.8,0.5542168670000001,Bosworth/Keystone Tray-Away #9S Perforated La (12/Bag)Â Â Â Â Â 
62,45652,net32,2019-01-03,12983,USA,Mabank,TX,3M ESPE,3MD-56890,2,314.0,222.02,91.98,0.292929936,3M ESPE RELY X ULTIMATE ADHESIVE CEMENT TRANSLUCENT 8.5 G
