date,order id,country,order city,order state,item,quantity,revenue,total cost,profit,return on sales
01-01-2019,113-6367239-5079454,USA,ST PETERSBURG,FL,3MM-1626W(10),1,6.5,5.37,1.13,0.173846154
01-01-2019,111-9068523-7753045,USA,Charlotte,NC,3MM-2862(2),1,9.79,8.72,1.07,0.109295199
01-01-2019,113-0264648-2380248,USA,FREDERICKSBURG,VA,3MM-2862(3),2,21.6,22.06,-0.46,-0.021296296
01-01-2019,113-9437923-0745861,USA,Winfield,IL,3MM-2113R,1,74.99,64.67,10.32,0.137618349
01-01-2019,111-9301430-4157819,USA,TORRANCE,CA,3MM-1527-2,1,12.83,10.93,1.9,0.148090413
01-01-2019,112-6256754-8717046,USA,EVERETT,MA,3MM-1527-2,2,25.58,21.86,3.72,0.145426114
01-01-2019,114-9064258-3475457,USA,HICKSVILLE,NY,3MM-1626W-25 PACK,1,10.35,3.96,6.39,0.617391304
01-01-2019,113-4195757-5332227,USA,RYDAL,PA,MOL-1443-1,1,20.14,16.83,3.31,0.164349553
01-01-2019,114-8940069-7155464,USA,BOWIE,MD,3MM-1539,2,33.68,27.94,5.74,0.170427553
01-01-2019,114-3972055-6192239,USA,ODESSA,FL,3MM-2862(3),1,10.8,11.03,-0.23,-0.021296296
01-01-2019,114-5415143-7986625,USA,PEARLAND,TX,MOL-1451,1,20.01,18,2.01,0.100449775
01-01-2019,111-9243091-7060240,USA,JEFFERSON HILLS,PA,MCR-1577,1,44.88,38.02,6.86,0.15285205
01-01-2019,114-5408237-9145812,USA,BLUE POINT,NY,3MM-1626W,1,17.95,15.7,2.25,0.125348189
01-01-2019,111-3015785-9502623,USA,Columbia,PA,3MM-R1547(50 PACK),1,27.03,20.61,6.42,0.237513873
01-01-2019,112-6037538-3689846,USA,CARY,NC,3MM-2863(2),3,31.2,27.48,3.72,0.119230769
01-01-2019,112-5597129-7892210,USA,MIDDLETOWN,NJ,3MM-2560(100),1,13.7,11.29,2.41,0.175912409
01-01-2019,113-4816505-6819431,USA,WEST NEW YORK,NJ,3MM-1539,1,16.84,13.97,2.87,0.170427553
01-01-2019,111-2157165-7964213,USA,HOUSTON,TX,MDL-NON80328,1,7.7,7.62,0.08,0.01038961
01-01-2019,113-7781583-8136232,USA,CEDAR PARK,TX,3MM-2113R,1,74.99,64.67,10.32,0.137618349
01-01-2019,111-6150993-1034653,USA,GLADWYNE,PA,MOL-1451,1,20.01,18,2.01,0.100449775
01-01-2019,111-0382379-6370613,USA,LEAGUE CITY,TX,MOL-281000,1,14.69,12.06,2.63,0.179033356
01-01-2019,112-3129064-7647456,USA,Stowe,PA,3MM-2862(2),1,9.79,8.72,1.07,0.109295199
01-01-2019,113-2547014-8133050,USA,PORTLAND,OR,3MM-2113R,1,74.99,64.67,10.32,0.137618349
01-01-2019,113-0252234-8853803,USA,TOMBALL,TX,MCR-1577,1,44.88,38.02,6.86,0.15285205
01-01-2019,112-4453229-0893852,USA,CHESHIRE,CT,3MM-1626W(10),1,6.5,5.37,1.13,0.173846154
01-01-2019,114-8412690-1441828,USA,GLENDALE,CA,3MM-1527-2,3,38.07,32.73,5.34,0.140267928
01-01-2019,113-9066253-2874628,USA,MIDDLETOWN,NJ,SOT-154131,1,19,17.24,1.76,0.092631579
01-01-2019,111-0610139-7345004,USA,BROOKLYN,NY,3MM-1626W(10),1,6.5,5.37,1.13,0.173846154
01-01-2019,113-6218463-4946600,USA,LITCHFIELD,OH,3MM-1527-2,1,12.83,10.93,1.9,0.148090413
01-01-2019,111-3996287-8975463,USA,CONCORD,CA,3MM-1527-2,1,12.83,10.93,1.9,0.148090413
01-01-2019,113-1793420-2423450,USA,SAN PABLO,CA,3MM-1626W(10),1,6.5,5.37,1.13,0.173846154
01-01-2019,112-5110592-2269806,USA,EDEN PRAIRIE,MN,MOL-1434,1,27.98,15.08,12.9,0.461043603
01-01-2019,111-0785165-2232252,USA,HOBOKEN,NJ,MCR-1577,1,44.88,38.02,6.86,0.15285205
01-01-2019,114-9599670-8470639,USA,Bronx,NY,SOT-160214,1,29.09,27.4,1.69,0.058095565
02-01-2019,111-4232680-0626660,USA,CHATHAM,NY,3MM-1626W(10),1,6.5,5.37,1.13,0.173846154
02-01-2019,113-9842598-9836257,USA,LEESBURG,FL,MCR-1577,1,44.88,38.02,6.86,0.15285205
02-01-2019,112-6907865-7613849,USA,HOUSTON,TX,3MM-2862(3),1,10.79,15.01,-4.22,-0.391102873
02-01-2019,113-2421903-7127460,USA,Sherman,CT,3MM-1626W(10),1,6.5,5.37,1.13,0.173846154
02-01-2019,112-7589666-9225840,USA,Nacogdoches,TX,3MM-2863(2),1,10.4,9.16,1.24,0.119230769
