date,order id,item,country,order city,order state,quantity,revenue,total cost,profit
01-01-2019,113-6367239-5079454,3MM-1626W(10),,ST PETERSBURG,FL,1,6.5,5.37,1.13
01-01-2019,111-9068523-7753045,3MM-2862(2),,Charlotte,NC,1,9.79,8.72,1.07
01-01-2019,113-0264648-2380248,3MM-2862(3),,FREDERICKSBURG,VA,2,21.6,22.06,-0.46
01-01-2019,113-9437923-0745861,3MM-2113R,,Winfield,IL,1,74.99,64.67,10.32
01-01-2019,111-9301430-4157819,3MM-1527-2,,TORRANCE,CA,1,12.83,10.93,1.9
01-01-2019,112-6256754-8717046,3MM-1527-2,,EVERETT,MA,2,25.58,21.86,3.72
01-01-2019,114-9064258-3475457,3MM-1626W-25 PACK,,HICKSVILLE,NY,1,10.35,3.96,6.39
01-01-2019,113-4195757-5332227,MOL-1443-1,,RYDAL,PA,1,20.14,16.83,3.31
01-01-2019,114-8940069-7155464,3MM-1539,,BOWIE,MD,2,33.68,27.94,5.74
01-01-2019,114-3972055-6192239,3MM-2862(3),,ODESSA,FL,1,10.8,11.03,-0.23
01-01-2019,114-5415143-7986625,MOL-1451,,PEARLAND,TX,1,20.01,18,2.01
01-01-2019,111-9243091-7060240,MCR-1577,,JEFFERSON HILLS,PA,1,44.88,38.02,6.86
01-01-2019,114-5408237-9145812,3MM-1626W,,BLUE POINT,NY,1,17.95,15.7,2.25
01-01-2019,111-3015785-9502623,3MM-R1547(50 PACK),,Columbia,PA,1,27.03,20.61,6.42
01-01-2019,112-6037538-3689846,3MM-2863(2),,CARY,NC,3,31.2,27.48,3.72
01-01-2019,112-5597129-7892210,3MM-2560(100),,MIDDLETOWN,NJ,1,13.7,11.29,2.41
01-01-2019,113-4816505-6819431,3MM-1539,,WEST NEW YORK,NJ,1,16.84,13.97,2.87
01-01-2019,111-2157165-7964213,MDL-NON80328,,HOUSTON,TX,1,7.7,7.62,0.08
01-01-2019,113-7781583-8136232,3MM-2113R,,CEDAR PARK,TX,1,74.99,64.67,10.32
01-01-2019,111-6150993-1034653,MOL-1451,,GLADWYNE,PA,1,20.01,18,2.01
01-01-2019,111-0382379-6370613,MOL-281000,,LEAGUE CITY,TX,1,14.69,12.06,2.63
01-01-2019,112-3129064-7647456,3MM-2862(2),,Stowe,PA,1,9.79,8.72,1.07
01-01-2019,113-2547014-8133050,3MM-2113R,,PORTLAND,OR,1,74.99,64.67,10.32
01-01-2019,113-0252234-8853803,MCR-1577,,TOMBALL,TX,1,44.88,38.02,6.86
01-01-2019,112-4453229-0893852,3MM-1626W(10),,CHESHIRE,CT,1,6.5,5.37,1.13
01-01-2019,114-8412690-1441828,3MM-1527-2,,GLENDALE,CA,3,38.07,32.73,5.34
01-01-2019,113-9066253-2874628,SOT-154131,,MIDDLETOWN,NJ,1,19,17.24,1.76
