date,Profit_OMR-BP742N,Avg. return on sales_OMR-BP742N,7dayRosAverage,7dayRosAverage*100,Distinct count of order id_OMR-BP742N,quantity_OMR-BP742N,7DaySumOfQTY,profitPerQuantitySold_OMR-BP742N,profitPerOrderMade_OMR-BP742N,net32Top1ItemAvg.weeklyReturn,net32Top1ItemAvg.weeklyReturn*100,Prediction_OMR-BP742N
2019-01-01,0,0,,,0,0,,0,0,,,
2019-01-02,150,0.3148,,,7,7,,21,21,,,
2019-01-03,247,0.3306,,,11,11,,22,22,,,
2019-01-04,135,0.3306,,,6,6,,22,22,,,
2019-01-05,22,0.3306,,,1,1,,22,22,,,
2019-01-06,66,0.326,,,3,3,,22,22,,,
2019-01-07,378,0.3083,,,17,18,,21,22,,,
2019-01-08,130,0.3181,0.2773,277,6,6,46,22,22,0.1081,108,1
2019-01-09,65,0.3181,0.3227,323,3,3,52,22,22,0.2141,214,1
2019-01-10,65,0.3181,0.3232,323,3,3,48,22,22,0.3201,320,1
2019-01-11,51,0.3519,0.3214,321,2,2,40,25,25,0.4261,426,0
2019-01-12,0,0,0.3244,324,0,0,36,0,0,0.5321,532,0
2019-01-13,0,0,0.2772,277,0,0,35,0,0,0.5321,532,0
2019-01-14,43,0.3181,0.2306,231,2,2,32,22,22,0.5321,532,0
2019-01-15,0,0,0.232,232,0,0,16,0,0,0.424,424,0
2019-01-16,0,0,0.1866,187,0,0,10,0,0,0.424,424,0
2019-01-17,0,0,0.1412,141,0,0,7,0,0,0.318,318,0
2019-01-18,0,0,0.0957,96,0,0,4,0,0,0.318,318,0
2019-01-19,0,0,0.0454,45,0,0,2,0,0,0.318,318,0
2019-01-20,0,0,0.0454,45,0,0,2,0,0,0.318,318,0
2019-01-21,0,0,0.0454,45,0,0,2,0,0,0.318,318,0
2019-01-22,0,0,0,0,0,0,0,0,0,0.318,318,0
2019-01-23,0,0,0,0,0,0,0,0,0,0.318,318,0
2019-01-24,0,0,0,0,0,0,0,0,0,0.318,318,0
