date,Profit_OMR-BP742N,Avg. return on sales_OMR-BP742N,Distinct count of order id_OMR-BP742N,quantity_OMR-BP742N,profitPerQuantitySold_OMR-BP742N,profitPerOrderMade_OMR-BP742N,Total Cost_OMR-BP742N,Prediction_OMR-BP742N
2019-January-2,150,31.48%,7,7,21,21,326,
2019-January-3,247,33.06%,11,11,22,22,500,
2019-January-4,135,33.06%,6,6,22,22,273,
2019-January-5,22,33.06%,1,1,22,22,45,
2019-January-6,66,32.60%,3,3,22,22,137,
2019-January-7,378,30.83%,17,18,21,22,847,
2019-January-8,130,31.81%,6,6,22,22,278,
2019-January-9,65,31.81%,3,3,22,22,139,
2019-January-10,65,31.81%,3,3,22,22,139,
2019-January-11,51,35.19%,2,2,25,25,93,
2019-January-14,43,31.81%,2,2,22,22,93,
2019-January-27,42,29.36%,2,2,21,21,102,
2019-January-28,25,34.85%,1,1,25,25,47,
2019-January-29,26,35.53%,1,1,26,26,46,
2019-February-27,26,36.03%,1,1,26,26,46,
2019-February-28,20,27.44%,1,1,20,20,52,
2019-March-9,20,30.03%,1,1,20,20,45,
2019-March-11,39,30.03%,2,2,20,20,91,
2019-April-16,20,30.03%,1,1,20,20,45,
2019-April-19,20,30.03%,1,1,20,20,45,
2019-April-21,20,30.03%,1,1,20,20,45,
2019-April-23,196,31.76%,9,9,22,22,419,
2019-April-24,345,34.68%,13,14,25,27,649,
2019-April-25,534,34.18%,22,22,24,24,"1,028",
2019-April-26,387,34.04%,16,16,24,24,749,
2019-April-27,485,34.16%,20,20,24,24,935,
2019-April-28,364,34.13%,14,15,24,26,701,
2019-April-29,430,33.67%,18,18,24,24,846,
2019-April-30,308,31.11%,14,14,22,22,682,
2019-May-1,490,33.12%,21,21,23,23,989,
2019-May-2,300,32.81%,13,13,23,23,613,
2019-May-3,309,33.96%,13,13,24,24,601,
2019-May-4,190,33.96%,8,8,24,24,370,
2019-May-5,231,32.98%,10,10,23,23,469,
2019-May-6,261,33.96%,11,11,24,24,509,
2019-May-7,348,33.18%,15,15,23,23,702,
2019-May-8,404,33.96%,17,17,24,24,786,
2019-May-9,95,33.96%,4,4,24,24,185,
2019-May-10,24,33.96%,1,1,24,24,46,
2019-May-15,24,34.63%,1,1,24,24,46,
2019-May-16,218,34.63%,9,9,24,24,412,
2019-May-17,354,33.73%,15,15,24,24,696,
2019-May-18,48,34.63%,2,2,24,24,92,
2019-May-20,654,34.63%,27,27,24,24,"1,236",
2019-May-21,334,31.78%,15,15,22,22,716,
2019-May-22,262,34.05%,11,11,24,24,508,
2019-May-23,282,31.24%,13,13,22,22,621,
2019-May-24,298,27.60%,11,14,21,27,675,
2019-May-25,323,33.25%,14,14,23,23,649,
2019-May-26,304,33.74%,12,13,23,25,598,
2019-May-27,273,32.77%,12,12,23,23,560,
2019-May-28,584,33.68%,25,25,23,23,"1,150",
2019-May-29,505,33.10%,22,22,23,23,"1,021",
2019-May-30,390,33.05%,17,17,23,23,789,
2019-May-31,320,32.92%,14,14,23,23,651,
2019-June-1,234,33.70%,10,10,23,23,460,
2019-June-2,303,32.41%,11,13,23,28,598,
2019-June-3,537,33.64%,23,23,23,23,"1,059",
2019-June-4,389,32.95%,16,17,23,24,791,
2019-June-5,466,33.59%,19,20,23,25,921,
2019-June-6,257,33.74%,11,11,23,23,506,
2019-June-7,447,33.89%,17,19,24,26,871,
2019-June-8,336,32.29%,15,15,22,22,704,
