date,Profit_3MD-712-036,Avg. return on sales_3MD-712-036,7dayRosAverage,7dayRosAverage*100,Distinct count of order id_3MD-712-036,quantity_3MD-712-036,7DaySumOfQTY,profitPerQuantitySold_3MD-712-036,profitPerOrderMade_3MD-712-036,amazonTop1ItemAvg.weeklyReturn,amazonTop1ItemAvg.weeklyReturn*100,Prediction_3MD-712-036
2019-01-01,0,0,,,0,0,,0,0,,,
2019-01-02,0,0,,,0,0,,0,0,,,
2019-01-03,0,0,,,0,0,,0,0,,,
2019-01-04,0,0,,,0,0,,0,0,,,
2019-01-05,0,0,,,0,0,,0,0,,,
2019-01-06,0,0,,,0,0,,0,0,,,
2019-01-07,132,0.7567,,,1,1,,132,132,,,
2019-01-08,490,0.742,0.1081,108,2,4,1,122,245,0.277271429,277,0
2019-01-09,245,0.742,0.2141,214,2,2,5,122,122,0.322714286,323,0
2019-01-10,122,0.742,0.3201,320,1,1,7,122,122,0.323185714,323,0
2019-01-11,122,0.742,0.4261,426,1,1,8,122,122,0.3214,321,1
2019-01-12,0,0,0.5321,532,0,0,9,0,0,0.324442857,324,1
2019-01-13,0,0,0.5321,532,0,0,9,0,0,0.277214286,277,1
2019-01-14,0,0,0.5321,532,0,0,9,0,0,0.230642857,231,1
2019-01-15,245,0.742,0.424,424,1,2,8,122,245,0.232042857,232,1
2019-01-16,0,0,0.424,424,0,0,6,0,0,0.1866,187,1
2019-01-17,245,0.742,0.318,318,2,2,4,122,122,0.141157143,141,1
2019-01-18,245,0.742,0.318,318,2,2,5,122,122,0.095714286,96,1
2019-01-19,0,0,0.318,318,0,0,6,0,0,0.045442857,45,1
2019-01-20,0,0,0.318,318,0,0,6,0,0,0.045442857,45,1
2019-01-21,0,0,0.318,318,0,0,6,0,0,0.045442857,45,1
2019-01-22,122,0.742,0.318,318,1,1,6,122,122,0,0,1
2019-01-23,0,0,0.318,318,0,0,5,0,0,0,0,1
2019-01-24,122,0.742,0.318,318,1,1,5,122,122,0,0,1
2019-01-25,0,0,0.318,318,0,0,4,0,0,0,0,1
2019-01-26,0,0,0.212,212,0,0,2,0,0,0,0,1
2019-01-27,0,0,0.212,212,0,0,2,0,0,0,0,1
2019-01-28,490,0.742,0.212,212,1,4,2,122,490,0.041942857,42,1
2019-01-29,0,0,0.318,318,0,0,6,0,0,0.091728571,92,1
2019-01-30,0,0,0.212,212,0,0,5,0,0,0.142485714,142,1
2019-01-31,0,0,0.212,212,0,0,5,0,0,0.142485714,142,1
2019-02-01,0,0,0.106,106,0,0,4,0,0,0.142485714,142,0
2019-02-02,0,0,0.106,106,0,0,4,0,0,0.142485714,142,0
2019-02-03,0,0,0.106,106,0,0,4,0,0,0.142485714,142,0
2019-02-04,367,0.742,0.106,106,3,3,4,122,122,0.100542857,101,1
2019-02-05,0,0,0.106,106,0,0,3,0,0,0.050757143,51,1
2019-02-06,367,0.742,0.106,106,2,3,3,122,184,0,0,1
2019-02-07,122,0.742,0.212,212,1,1,6,122,122,0,0,1
2019-02-08,592,0.7366,0.318,318,3,5,7,118,197,0,0,1
2019-02-09,0,0,0.423228571,423,0,0,12,0,0,0,0,1
2019-02-10,0,0,0.423228571,423,0,0,12,0,0,0,0,1
2019-02-11,235,0.7339,0.423228571,423,2,2,12,117,117,0,0,1
2019-02-12,0,0,0.422071429,422,0,0,11,0,0,0,0,1
2019-02-13,117,0.7339,0.422071429,422,1,1,11,117,117,0,0,1
2019-02-14,0,0,0.420914286,421,0,0,9,0,0,0,0,1
2019-02-15,225,0.7254,0.314914286,315,1,2,8,112,225,0,0,1
2019-02-16,0,0,0.313314286,313,0,0,5,0,0,0,0,1
2019-02-17,0,0,0.313314286,313,0,0,5,0,0,0,0,1
2019-02-18,0,0,0.313314286,313,0,0,5,0,0,0,0,1
2019-02-19,225,0.7254,0.208471429,208,2,2,3,112,112,0,0,1
2019-02-20,112,0.7254,0.3121,312,1,1,5,112,112,0,0,1
2019-02-21,322,0.7162,0.310885714,311,3,3,5,107,107,0,0,1
