date,Profit_3MD-712-036,Avg. return on sales_3MD-712-036,Distinct count of order id_3MD-712-036,quantity_3MD-712-036,profitPerQuantitySold_3MD-712-036,profitPerOrderMade_3MD-712-036,Prediction_3MD-712-036
2019-January-2,0,0,0,0,0,0,
2019-January-3,0,0,0,0,0,0,
2019-January-4,0,0,0,0,0,0,
2019-January-7,132,0.7567,1,1,132,132,
2019-January-8,490,0.742,2,4,122,245,
2019-January-9,245,0.742,2,2,122,122,
2019-January-10,122,0.742,1,1,122,122,
2019-January-11,122,0.742,1,1,122,122,
2019-January-14,0,0,0,0,0,0,
2019-January-15,245,0.742,1,2,122,245,
2019-January-16,0,0,0,0,0,0,
2019-January-17,245,0.742,2,2,122,122,
2019-January-18,245,0.742,2,2,122,122,
2019-January-21,0,0,0,0,0,0,
2019-January-22,122,0.742,1,1,122,122,
2019-January-23,0,0,0,0,0,0,
2019-January-24,122,0.742,1,1,122,122,
2019-January-25,0,0,0,0,0,0,
2019-January-28,490,0.742,1,4,122,490,
2019-January-29,0,0,0,0,0,0,
2019-January-30,0,0,0,0,0,0,
2019-January-31,0,0,0,0,0,0,
2019-February-1,0,0,0,0,0,0,
2019-February-4,367,0.742,3,3,122,122,
2019-February-5,0,0,0,0,0,0,
2019-February-6,367,0.742,2,3,122,184,
2019-February-7,122,0.742,1,1,122,122,
2019-February-8,592,0.7366,3,5,118,197,
2019-February-11,235,0.7339,2,2,117,117,
2019-February-12,0,0,0,0,0,0,
2019-February-13,117,0.7339,1,1,117,117,
2019-February-14,0,0,0,0,0,0,
2019-February-15,225,0.7254,1,2,112,225,
2019-February-19,225,0.7254,2,2,112,112,
2019-February-20,112,0.7254,1,1,112,112,
2019-February-21,322,0.7162,3,3,107,107,
2019-February-22,0,0,0,0,0,0,
2019-February-25,215,0.7162,2,2,107,107,
2019-February-26,0,0,0,0,0,0,
2019-February-27,0,0,0,0,0,0,
2019-February-28,107,0.7162,1,1,107,107,
2019-March-1,0,0,0,0,0,0,
2019-March-4,0,0,0,0,0,0,
2019-March-5,0,0,0,0,0,0,
2019-March-6,0,0,0,0,0,0,
2019-March-7,215,0.7162,2,2,107,107,
2019-March-8,0,0,0,0,0,0,
2019-March-11,102,0.7064,1,1,102,102,
2019-March-12,303,0.7044,2,3,101,152,
2019-March-13,0,0,0,0,0,0,
2019-March-14,205,0.7064,2,2,102,102,
2019-March-15,102,0.7064,1,1,102,102,
2019-March-18,0,0,0,0,0,0,
2019-March-19,102,0.7064,1,1,102,102,
2019-March-20,0,0,0,0,0,0,
2019-March-21,0,0,0,0,0,0,
2019-March-22,0,0,0,0,0,0,
2019-March-25,0,0,0,0,0,0,
2019-March-26,102,0.7064,1,1,102,102,
2019-March-27,0,0,0,0,0,0,
2019-March-28,0,0,0,0,0,0,
2019-March-29,350,0.6725,3,4,87,117,
2019-April-1,262,0.6725,2,3,87,131,
2019-April-2,87,0.6725,1,1,87,87,
2019-April-3,0,0,0,0,0,0,
2019-April-4,87,0.6725,1,1,87,87,
2019-April-5,410,0.7064,4,4,102,102,
2019-April-8,452,0.6908,3,5,90,151,
2019-April-9,0,0,0,0,0,0,
2019-April-10,350,0.6829,2,4,87,175,
2019-April-11,508,0.7054,4,5,102,127,
2019-April-12,0,0,0,0,0,0,
2019-April-15,102,0.7064,1,1,102,102,
2019-April-16,0,0,0,0,0,0,
2019-April-17,303,0.7044,2,3,101,152,
2019-April-18,0,0,0,0,0,0,
2019-April-22,102,0.7064,1,1,102,102,
2019-April-23,0,0,0,0,0,0,
2019-April-24,0,0,0,0,0,0,
2019-April-25,0,0,0,0,0,0,
2019-April-26,682,0.6959,3,7,97,227,
2019-April-29,195,0.6959,1,2,97,195,
2019-April-30,195,0.6959,2,2,97,97,
2019-May-1,0,0,0,0,0,0,
2019-May-2,0,0,0,0,0,0,
2019-May-3,292,0.6959,3,3,97,97,
2019-May-6,330,0.6594,1,4,82,330,
2019-May-7,0,0,0,0,0,0,
2019-May-8,247,0.6594,1,3,82,247,
2019-May-9,0,0,0,0,0,0,
2019-May-10,0,0,0,0,0,0,
2019-May-13,0,0,0,0,0,0,
2019-May-14,87,0.6725,1,1,87,87,
2019-May-15,0,0,0,0,0,0,
2019-May-16,85,0.6673,1,1,85,85,
2019-May-17,0,0,0,0,0,0,
2019-May-21,639,0.6525,4,8,80,160,
