date,Profit_3MD-712-036,sumOfProfitNet32,Avg. return on sales_3MD-712-036,7dayRosAverage,7dayRosAverage*1000,Distinct count of order id_3MD-712-036,quantity_3MD-712-036,sumOfQuantity,7DaySumOfQTY,sumOfProfitbySumOfQty,profitPerQuantitySold_3MD-712-036,profitPerOrderMade_3MD-712-036,amazonTop1ItemAvg.weeklyReturn,amazonTop1ItemAvg.weeklyReturn*100,Prediction_3MD-712-036
2019-01-01,0,0,0,,,0,0,,,,0,0,,,
2019-01-02,0,0,0,,,0,0,,,,0,0,,,
2019-01-03,0,0,0,,,0,0,,,,0,0,,,
2019-01-04,0,0,0,,,0,0,,,,0,0,,,
2019-01-05,0,0,0,,,0,0,,,,0,0,,,
2019-01-06,0,0,0,,,0,0,,,,0,0,,,
2019-01-07,132,132,0.7567,,,1,1,1,,,132,132,,,
2019-01-08,490,622,0.742,0.1081,108,2,4,5,1,124.4,122,245,0.277271429,277,0
2019-01-09,245,867,0.742,0.2141,214,2,2,7,5,123.8571429,122,122,0.322714286,323,0
2019-01-10,122,989,0.742,0.3201,320,1,1,8,7,123.625,122,122,0.323185714,323,0
2019-01-11,122,1111,0.742,0.4261,426,1,1,9,8,123.4444444,122,122,0.3214,321,1
2019-01-12,0,1111,0,0.5321,532,0,0,9,9,123.4444444,0,0,0.324442857,324,1
2019-01-13,0,1111,0,0.5321,532,0,0,9,9,123.4444444,0,0,0.277214286,277,1
2019-01-14,0,1111,0,0.5321,532,0,0,9,9,123.4444444,0,0,0.230642857,231,1
2019-01-15,245,1356,0.742,0.424,424,1,2,11,8,123.2727273,122,245,0.232042857,232,1
2019-01-16,0,1356,0,0.424,424,0,0,11,6,123.2727273,0,0,0.1866,187,1
2019-01-17,245,1601,0.742,0.318,318,2,2,13,4,123.1538462,122,122,0.141157143,141,1
2019-01-18,245,1846,0.742,0.318,318,2,2,15,5,123.0666667,122,122,0.095714286,96,1
2019-01-19,0,1846,0,0.318,318,0,0,15,6,123.0666667,0,0,0.045442857,45,1
2019-01-20,0,1846,0,0.318,318,0,0,15,6,123.0666667,0,0,0.045442857,45,1
2019-01-21,0,1846,0,0.318,318,0,0,15,6,123.0666667,0,0,0.045442857,45,1
2019-01-22,122,1968,0.742,0.318,318,1,1,16,6,123,122,122,0,0,1
2019-01-23,0,1968,0,0.318,318,0,0,16,5,123,0,0,0,0,1
2019-01-24,122,2090,0.742,0.318,318,1,1,17,5,122.9411765,122,122,0,0,1
2019-01-25,0,2090,0,0.318,318,0,0,17,4,122.9411765,0,0,0,0,1
2019-01-26,0,2090,0,0.212,212,0,0,17,2,122.9411765,0,0,0,0,1
2019-01-27,0,2090,0,0.212,212,0,0,17,2,122.9411765,0,0,0,0,1
2019-01-28,490,2580,0.742,0.212,212,1,4,21,2,122.8571429,122,490,0.041942857,42,1
2019-01-29,0,2580,0,0.318,318,0,0,21,6,122.8571429,0,0,0.091728571,92,1
2019-01-30,0,2580,0,0.212,212,0,0,21,5,122.8571429,0,0,0.142485714,142,1
2019-01-31,0,2580,0,0.212,212,0,0,21,5,122.8571429,0,0,0.142485714,142,1
2019-02-01,0,2580,0,0.106,106,0,0,21,4,122.8571429,0,0,0.142485714,142,0
2019-02-02,0,2580,0,0.106,106,0,0,21,4,122.8571429,0,0,0.142485714,142,0
2019-02-03,0,2580,0,0.106,106,0,0,21,4,122.8571429,0,0,0.142485714,142,0
2019-02-04,367,2947,0.742,0.106,106,3,3,24,4,122.7916667,122,122,0.100542857,101,1
2019-02-05,0,2947,0,0.106,106,0,0,24,3,122.7916667,0,0,0.050757143,51,1
2019-02-06,367,3314,0.742,0.106,106,2,3,27,3,122.7407407,122,184,0,0,1
2019-02-07,122,3436,0.742,0.212,212,1,1,28,6,122.7142857,122,122,0,0,1
2019-02-08,592,4028,0.7366,0.318,318,3,5,33,7,122.0606061,118,197,0,0,1
2019-02-09,0,4028,0,0.423228571,423,0,0,33,12,122.0606061,0,0,0,0,1
2019-02-10,0,4028,0,0.423228571,423,0,0,33,12,122.0606061,0,0,0,0,1
2019-02-11,235,4263,0.7339,0.423228571,423,2,2,35,12,121.8,117,117,0,0,1
2019-02-12,0,4263,0,0.422071429,422,0,0,35,11,121.8,0,0,0,0,1
2019-02-13,117,4380,0.7339,0.422071429,422,1,1,36,11,121.6666667,117,117,0,0,1
2019-02-14,0,4380,0,0.420914286,421,0,0,36,9,121.6666667,0,0,0,0,1
2019-02-15,225,4605,0.7254,0.314914286,315,1,2,38,8,121.1842105,112,225,0,0,1
2019-02-16,0,4605,0,0.313314286,313,0,0,38,5,121.1842105,0,0,0,0,1
2019-02-17,0,4605,0,0.313314286,313,0,0,38,5,121.1842105,0,0,0,0,1
2019-02-18,0,4605,0,0.313314286,313,0,0,38,5,121.1842105,0,0,0,0,1
2019-02-19,225,4830,0.7254,0.208471429,208,2,2,40,3,120.75,112,112,0,0,1
2019-02-20,112,4942,0.7254,0.3121,312,1,1,41,5,120.5365854,112,112,0,0,1
2019-02-21,322,5264,0.7162,0.310885714,311,3,3,44,5,119.6363636,107,107,0,0,1
2019-02-22,0,5264,0,0.4132,413,0,0,44,8,119.6363636,0,0,0,0,1
2019-02-23,0,5264,0,0.309571429,310,0,0,44,6,119.6363636,0,0,0,0,1
2019-02-24,0,5264,0,0.309571429,310,0,0,44,6,119.6363636,0,0,0,0,1
2019-02-25,215,5479,0.7162,0.309571429,310,2,2,46,6,119.1086957,107,107,0,0,1
2019-02-26,0,5479,0,0.411885714,412,0,0,46,8,119.1086957,0,0,0,0,1
2019-02-27,0,5479,0,0.308257143,308,0,0,46,6,119.1086957,0,0,0,0,1
