item,Profit,Avg. return on sales,Total Cost,profitPerOrderMade,profitPerQuantitySold,quantity,returnOnCost(%),Distinct count of order id,prediction
3MD-10771J,225,0.272194463,596,112,112,2,0.377100876,2,0
3MD-12627(E),"1,426",0.387301691,"2,249",39,7,211,0.634071,37,0
3MD-1942FB,"2,478",0.410348887,"3,803",50,12,210,0.651584,50,0
3MD-1942FR,66,0.474848614,72,22,17,4,0.911927112,3,0
3MD-1954,"1,487",0.411999919,"2,158",25,10,151,0.689196,59,0
3MD-1954N,"1,648",0.486940814,"1,772",26,13,124,0.930224,64,0
3MD-1956,43,0.496503497,43,43,14,3,0.986111111,1,0
3MD-1983RA,966,0.374042267,"1,570",30,9,107,0.615657,32,0
3MD-2380,76,0.311234568,167,76,25,3,0.451873096,1,0
3MD-30103(E),180,0.241992353,563,60,60,3,0.319833022,3,0
3MD-30413(E),"1,838",0.426230054,"2,413",115,80,23,0.761893,16,0
3MD-30600,273,0.418790333,405,18,9,30,0.674815,15,0
3MD-31642(E),"9,248",0.190713505,"39,936",83,36,258,0.231564,112,0
3MD-31712(E),"2,772",0.238738976,"8,844",89,21,132,0.313389,31,0
3MD-31752(E),393,0.314952322,843,44,36,11,0.466057,9,0
3MD-31765(E),"1,324",0.285617715,"3,602",102,58,23,0.367458,13,0
3MD-3505(E),448,0.202879539,"1,770",37,11,41,0.253149,12,0
3MD-3525,"4,950",0.745700052,"1,687",215,190,26,2.934483,23,0
3MD-3525(E),"16,282",0.318561503,"35,363",58,35,470,0.460440,280,1
3MD-3525(TE),"19,315",0.686912467,"8,645",149,78,247,2.234295,130,1
3MD-3525TK,214,0.550553931,140,71,53,4,1.528285714,3,0
3MD-3525TKA,560,0.670589729,280,112,35,16,1.999429,5,0
3MD-37010,354,0.206870232,"1,372",51,22,16,0.258166,7,0
3MD-37231(E),"1,170",0.216572445,"4,257",62,24,49,0.274764,19,0
3MD-38216,280,0.516015254,283,28,12,23,0.989545,10,0
3MD-38236,495,0.422174997,681,18,17,29,0.726633,27,0
3MD-38265,480,0.371026809,847,28,22,22,0.566641,17,0
3MD-41258,"4,761",0.277340425,"12,782",57,24,199,0.372498,84,0
3MD-41258(E),"6,494",0.378500935,"11,280",56,17,376,0.575736,117,0
3MD-41263,18,0.393111111,27,18,18,1,0.647748078,1,0
3MD-41926,873,0.230074869,"2,657",97,27,32,0.328772,9,0
3MD-41926(X2),710,0.219704053,"2,657",79,44,16,0.267372,9,0
3MD-44130,463,0.564268884,360,27,7,71,1.287024,17,0
3MD-44313,461,0.377725557,749,33,3,141,0.615512,14,0
3MD-46954,289,0.239806523,823,41,19,15,0.351595,7,0
3MD-46956,"3,185",0.299574139,"7,650",46,22,142,0.416399,70,0
3MD-46957,365,0.278519097,943,61,20,18,0.387479,6,0
3MD-4720A3(E),426,0.254397594,"1,277",61,5,84,0.333302,7,0
3MD-4720B2(E),321,0.296582114,789,36,6,52,0.407370,9,0
3MD-4862A2(E),107,0.308279812,266,36,13,8,0.4016486,3,0
3MD-4864A2,85,0.323106739,181,28,21,4,0.468570164,3,0
3MD-51102(E),"4,677",0.199321773,"19,764",31,6,814,0.236643,153,0
3MD-56061(E),408,0.208735627,"1,572",37,18,23,0.259585,11,0
3MD-56660,582,0.492569271,594,23,15,40,0.978550,25,0
3MD-56816,580,0.094336832,"5,572",26,21,28,0.104058,22,0
3MD-56818,215,0.096569538,"2,130",27,20,11,0.10078582,8,0
3MD-56819,126,0.228447555,426,25,25,5,0.296113655,5,0
3MD-56846,"1,724",0.284501798,"4,382",59,30,58,0.393423,29,0
3MD-56848,"1,679",0.286923121,"4,155",56,31,55,0.403968,30,0
3MD-56849,"1,212",0.279667383,"2,961",87,71,17,0.409265,14,0
3MD-56861,180,0.196701318,756,26,20,9,0.23750595,7,0
3MD-56872,28,0.145249031,162,14,14,2,0.170127302,2,0
3MD-56877,"10,499",0.462696446,"12,428",62,35,301,0.844736,169,0
3MD-56878,"2,966",0.471390815,"3,331",54,35,85,0.890341,55,0
3MD-56890,"1,664",0.282059359,"4,218",72,44,38,0.394365,23,0
3MD-56941(E),"2,604",0.3922698,"4,190",41,27,98,0.621318,64,0
3MD-5904A1(E),497,0.383692993,807,28,7,75,0.615651,18,0
3MD-5904A2(E),"1,790",0.422455222,"2,481",45,7,239,0.721596,40,0
3MD-5904A3(E),721,0.445767641,893,34,8,86,0.808207,21,0
3MD-5904A3.5(E),192,0.48312867,228,32,9,22,0.840777719,6,0
3MD-5904UD(E),59,0.437981347,86,15,8,7,0.691913307,4,0
3MD-5905A1,"2,041",0.315549468,"4,441",49,13,159,0.459536,42,0
3MD-5905A2,"4,712",0.305396907,"10,968",53,12,392,0.429639,89,0
