Date,3MD-712-036_Profit,3MD-712-036_Avg. return on sales,3MD-712-036_Distinct count of order id,3MD-712-036_quantity,3MD-712-036_profitPerQuantitySold,3MD-712-036_profitPerOrderMade,DEN-80395_Profit,DEN-80395_Avg. return on sales,DEN-80395_Distinct count of order id,DEN-80395_quantity,DEN-80395_profitPerQuantitySold,DEN-80395_profitPerOrderMade,3MD-3525(TE)_Profit,3MD-3525(TE)_Avg. return on sales,3MD-3525(TE)_Distinct count of order id,3MD-3525(TE)_quantity,3MD-3525(TE)_profitPerQuantitySold,3MD-3525(TE)_profitPerOrderMade,SUL-21115_Profit,SUL-21115_Avg. return on sales,SUL-21115_Distinct count of order id,SUL-21115_quantity,SUL-21115_profitPerQuantitySold,SUL-21115_profitPerOrderMade,KER-31513(EU)_Profit,KER-31513(EU)_Avg. return on sales,KER-31513(EU)_Distinct count of order id,KER-31513(EU)_quantity,KER-31513(EU)_profitPerQuantitySold,KER-31513(EU)_profitPerOrderMade,3MD-3525(E)_Profit,3MD-3525(E)_Avg. return on sales,3MD-3525(E)_Distinct count of order id,3MD-3525(E)_quantity,3MD-3525(E)_profitPerQuantitySold,3MD-3525(E)_profitPerOrderMade,DEN-610007_Profit,DEN-610007_Avg. return on sales,DEN-610007_Distinct count of order id,DEN-610007_quantity,DEN-610007_profitPerQuantitySold,DEN-610007_profitPerOrderMade,KER-33872_Profit,KER-33872_Avg. return on sales,KER-33872_Distinct count of order id,KER-33872_quantity,KER-33872_profitPerQuantitySold,KER-33872_profitPerOrderMade,KRO-KRM302_Profit,KRO-KRM302_Avg. return on sales,KRO-KRM302_Distinct count of order id,KRO-KRM302_quantity,KRO-KRM302_profitPerQuantitySold,KRO-KRM302_profitPerOrderMade,3MD-56877_Profit,3MD-56877_Avg. return on sales,3MD-56877_Distinct count of order id,3MD-56877_quantity,3MD-56877_profitPerQuantitySold,3MD-56877_profitPerOrderMade,KER-36052(EU)_Profit,KER-36052(EU)_Avg. return on sales,KER-36052(EU)_Distinct count of order id,KER-36052(EU)_quantity,KER-36052(EU)_profitPerQuantitySold,KER-36052(EU)_profitPerOrderMade,3MD-31642(E)_Profit,3MD-31642(E)_Avg. return on sales,3MD-31642(E)_Distinct count of order id,3MD-31642(E)_quantity,3MD-31642(E)_profitPerQuantitySold,3MD-31642(E)_profitPerOrderMade,KOD-1753664(E)_Profit,KOD-1753664(E)_Avg. return on sales,KOD-1753664(E)_Distinct count of order id,KOD-1753664(E)_quantity,KOD-1753664(E)_profitPerQuantitySold,KOD-1753664(E)_profitPerOrderMade,SIR-6176528_Profit,SIR-6176528_Avg. return on sales,SIR-6176528_Distinct count of order id,SIR-6176528_quantity,SIR-6176528_profitPerQuantitySold,SIR-6176528_profitPerOrderMade,KUL-65872354_Profit,KUL-65872354_Avg. return on sales,KUL-65872354_Distinct count of order id,KUL-65872354_quantity,KUL-65872354_profitPerQuantitySold,KUL-65872354_profitPerOrderMade,DEN-666220_Profit,DEN-666220_Avg. return on sales,DEN-666220_Distinct count of order id,DEN-666220_quantity,DEN-666220_profitPerQuantitySold,DEN-666220_profitPerOrderMade,KER-33351_Profit,KER-33351_Avg. return on sales,KER-33351_Distinct count of order id,KER-33351_quantity,KER-33351_profitPerQuantitySold,KER-33351_profitPerOrderMade,3MD-6020A2(E)_Profit,3MD-6020A2(E)_Avg. return on sales,3MD-6020A2(E)_Distinct count of order id,3MD-6020A2(E)_quantity,3MD-6020A2(E)_profitPerQuantitySold,3MD-6020A2(E)_profitPerOrderMade,3MD-712-035_Profit,3MD-712-035_Avg. return on sales,3MD-712-035_Distinct count of order id,3MD-712-035_quantity,3MD-712-035_profitPerQuantitySold,3MD-712-035_profitPerOrderMade,SIR-6176510_Profit,SIR-6176510_Avg. return on sales,SIR-6176510_Distinct count of order id,SIR-6176510_quantity,SIR-6176510_profitPerQuantitySold,SIR-6176510_profitPerOrderMade
2019-January-2,,,,,,,532,0.4321,2,10,53,266,,,,,,,58,0.5289,1,1,58,58,,,,,,,,,,,,,108,0.4889,3,5,22,36,,,,,,,79,0.4046,2,30,3,39,117,0.5871,1,2,59,117,81,0.4996,1,2,40,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,0.3944,1,10,9,92,,,,,,,,,,,,
2019-January-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,0.4891,1,1,22,22,283,0.3149,2,20,14,142,32,0.4046,1,12,3,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,0.4264,3,8,10,26,94,0.6997,1,1,94,94,,,,,,
2019-January-4,,,,,,,106,0.4321,1,2,53,106,,,,,,,,,,,,,,,,,,,,,,,,,43,0.4891,2,2,22,22,219,0.3085,5,16,14,44,29,0.4938,2,8,4,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283,0.6997,2,3,94,142,,,,,,
2019-January-7,132,0.7567,1,1,132,132,585,0.4321,4,11,53,146,,,,,,,,,,,,,,,,,,,,,,,,,65,0.4889,1,3,22,65,269,0.3085,5,20,13,54,84,0.4046,3,32,3,28,,,,,,,,,,,,,,,,,,,130,0.4442,2,5,26,65,,,,,,,,,,,,,,,,,,,,,,,,,66,0.402,2,7,9,33,,,,,,,,,,,,
2019-January-8,490,0.742,2,4,122,245,478,0.4321,3,9,53,159,,,,,,,323,0.5155,2,6,54,162,,,,,,,,,,,,,65,0.489,2,3,22,32,207,0.3021,5,16,13,41,79,0.4046,3,30,3,26,,,,,,,81,0.4996,1,2,40,81,,,,,,,104,0.4442,1,4,26,104,,,,,,,,,,,,,,,,,,,,,,,,,240,0.3944,2,26,9,120,,,,,,,,,,,,
2019-January-9,245,0.742,2,2,122,122,,,,,,,,,,,,,114,0.5246,2,2,57,57,,,,,,,,,,,,,,,,,,,300,0.2957,5,24,12,60,,,,,,,,,,,,,,,,,,,,,,,,,363,0.4442,3,14,26,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-January-10,122,0.742,1,1,122,122,159,0.4321,1,3,53,159,,,,,,,172,0.5246,3,3,57,57,,,,,,,,,,,,,86,0.4889,1,4,22,86,278,0.302,6,21,13,46,58,0.4046,2,22,3,29,,,,,,,474,0.4934,4,12,39,118,,,,,,,104,0.4442,1,4,26,104,,,,,,,,,,,,,,,,,,,,,,,,,37,0.3944,1,4,9,37,94,0.6997,1,1,94,94,,,,,,
2019-January-11,122,0.742,1,1,122,122,,,,,,,,,,,,,286,0.5246,3,5,57,95,,,,,,,,,,,,,22,0.4891,1,1,22,22,,,,,,,53,0.4046,1,20,3,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,0.6997,1,1,94,94,,,,,,
2019-January-14,,,,,,,,,,,,,,,,,,,229,0.5246,3,4,57,76,,,,,,,,,,,,,43,0.4889,1,2,22,43,,,,,,,53,0.4046,2,20,3,26,,,,,,,,,,,,,326,0.1896,6,9,36,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,0.3812,1,6,9,52,,,,,,,,,,,,
2019-January-15,245,0.742,1,2,122,245,,,,,,,,,,,,,114,0.5246,1,2,57,114,,,,,,,,,,,,,64,0.4879,3,3,21,21,87,0.3114,3,7,12,29,,,,,,,,,,,,,103,0.4596,1,3,34,103,531,0.1879,5,15,35,106,127,0.4374,2,5,25,63,,,,,,,,,,,,,,,,,,,,,,,,,74,0.4001,3,8,9,25,,,,,,,,,,,,
