,,Item,,Description,,Type,,Cost,,Price,,Sales Tax Code,,Purchase Tax Code,,Quantity On Hand,,Quantity On Sales Order,,Reorder Pt (Min),,Quantity On Purchase Order,,U/M Set,,U/M,,Preferred Vendor
,,3MD-10771(E),,3M ESPE IMPRINT 3 HEAVY BODY REFILL CARTRIDGES 4-50ML,,Inventory Part,,76.67,,0.00,,Non,,Non,,0.00,,0.00,,,,0.00,,ea,,each (ea),,
,,3MD-10771J,,3M ESPE IMPRINT 3 HEAVY BODY CARTRIDGE JUMBO PACK 50ML 30/PK,,Inventory Part,,298.09,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,3MD-12627(E),,3M ESPE CLINPRO SEALANT SYRINGE REFILL 10 X1.2ML,,Inventory Part,,10.66,,0.00,,Non,,Non,,0.00,,0.00,,,,10.00,,ea,,each (ea),,
,,3MD-1942FB,,3M ESPE MASKS FLUID RESIST (50/BX),,Inventory Part,,18.11,,0.02,,Non,,Non,,0.00,,0.00,,,,0.00,,ea,,each (ea),,
,,3MD-1942FR,,3M ESPE MASKS FLUID RESIST (50/BX),,Inventory Part,,18.11,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,3MD-1954,,3M ESPE SOF-LEX FINISHING STRIPS COARSE/MEDIUM,,Inventory Part,,14.29,,0.00,,Non,,Non,,0.00,,0.00,,,,1.00,,ea,,each (ea),,
,,3MD-1954N,,3M ESPE SOF-LEX FINISHING STRIPS COARSE/MED.NARROW,,Inventory Part,,14.29,,0.00,,Non,,Non,,0.00,,0.00,,,,0.00,,ea,,each (ea),,
,,3MD-1956,,3M ESPE SOF-LEX FINISHING AND POLISHING STRIPS,,Inventory Part,,14.40,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,3MD-1981C,,3M ESPE SOF-LEX POP-ON POLISHING DISCS 3/8' COARSE,,Inventory Part,,18.47,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,3MD-1981F,,3M ESPE SOF-LEX POP-ON POLISHING DISCS 3/8' FINE,,Inventory Part,,15.94,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,3MD-1981M,,3M ESPE SOF-LEX POP-ON POLISHING DISCS 3/8' MEDIUM,,Inventory Part,,18.47,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
